Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Асиновский район																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260					
1	"Число избирателей, внесенных в список"	27937	296	1987	1311	1461	599	1633	522	1059	1548	1117	1378	1132	1518	1629	703	1167	122	655	765	142	195	578	235	277	930	354	303	1183	458	325	165	122	119	182	135	425	135	551	304	217					
2	Число полученных избирательных бюллетеней	26640	289	1746	1216	1352	597	1561	507	990	1435	1052	1261	1037	1408	1495	695	1122	130	652	784	147	196	578	223	273	931	355	296	1137	452	333	168	125	118	191	137	435	131	544	309	232					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15569	171	1013	700	792	401	957	182	430	875	633	710	527	664	855	320	549	80	431	476	95	140	349	154	245	487	238	186	719	271	217	104	96	93	131	100	307	76	369	230	196					
5	"Число избирательных бюллетеней, выданных вне помещения"	2128	45	167	98	66	29	56	111	189	49	43	71	122	99	105	99	132	18	39	60	12	3	16	21	3	132	10	27	22	52	15	9	7	16	15	6	51	24	46	40	3					
6	Число погашенных избирательных бюллетеней	8943	73	566	418	494	167	548	214	371	511	376	480	388	645	535	276	441	32	182	248	40	53	213	48	25	312	107	83	396	129	101	55	22	9	45	31	77	31	129	39	33					
7	Число избирательных бюллетеней в переносных ящиках	2128	45	167	98	66	29	56	111	189	49	43	71	122	99	105	99	132	18	39	60	12	3	16	21	3	132	10	27	22	52	15	9	7	16	15	6	51	24	46	40	3					
8	Число бюллетеней в стационарных ящиках для голосования	15568	171	1013	700	792	401	957	182	430	875	633	710	527	664	855	320	549	80	431	476	95	140	349	154	245	486	238	186	719	271	217	104	96	93	131	100	307	76	369	230	196					
9	Число недействительных избирательных бюллетеней	135	4	3	9	9	2	6	2	0	5	2	9	6	4	7	3	12	0	1	0	0	1	2	0	2	5	3	1	7	5	1	1	1	0	0	1	2	2	8	7	2					
10	Число действительных избирательных бюллетеней	17561	212	1177	789	849	428	1007	291	619	919	674	772	643	759	953	416	669	98	469	536	107	142	363	175	246	613	245	212	734	318	231	112	102	109	146	105	356	98	407	263	197					
11	Число полученных открепительных  удостоверений	525	10	30	20	20	20	30	15	20	30	20	20	20	20	20	15	20	5	10	10	5	5	10	5	5	10	5	8	20	10	15	5	5	5	5	5	12	5	20	5	5					
12	Число выданных открепительных удостоверений	204	3	14	9	15	7	11	3	3	20	11	8	6	10	11	1	3	0	0	0	0	3	8	2	1	3	1	1	8	2	6	1	1	0	2	4	8	0	17	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	143	5	7	11	2	7	12	6	17	7	5	0	4	2	5	1	6	0	0	1	0	3	3	0	1	2	1	3	3	1	0	4	1	2	2	2	3	2	7	4	1					
14	Число неиспользованных открепительных удостоверений	321	7	16	11	5	13	19	12	17	10	9	12	14	10	9	14	17	5	10	10	5	2	2	3	4	7	4	7	12	8	9	4	4	5	3	1	4	5	3	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	408	8	23	30	31	8	37	4	16	21	9	16	23	19	27	12	10	3	26	13	0	2	3	1	1	8	1	2	20	2	6	2	2	2	1	6	2	1	4	5	1					
		2.31%	3.70%	1.95%	3.76%	3.61%	1.86%	3.65%	1.37%	2.58%	2.27%	1.33%	2.05%	3.54%	2.49%	2.81%	2.86%	1.47%	3.06%	5.53%	2.43%	0.00%	1.40%	0.82%	0.57%	0.40%	1.29%	0.40%	0.94%	2.70%	0.62%	2.59%	1.77%	1.94%	1.83%	0.68%	5.66%	0.56%	1.00%	0.96%	1.85%	0.50%					
19	. Малышкин Олег Александрович	570	3	36	20	23	11	16	11	12	28	14	24	16	16	37	9	14	11	23	30	1	10	6	8	10	14	10	11	29	14	12	3	7	6	5	8	15	6	17	15	9					
		3.22%	1.39%	3.05%	2.51%	2.68%	2.56%	1.58%	3.75%	1.94%	3.03%	2.07%	3.07%	2.47%	2.10%	3.85%	2.15%	2.06%	11.22%	4.89%	5.60%	0.93%	6.99%	1.64%	4.57%	4.03%	2.27%	4.03%	5.16%	3.91%	4.33%	5.17%	2.65%	6.80%	5.50%	3.42%	7.55%	4.19%	6.00%	4.10%	5.56%	4.52%					
20	. Миронов Сергей Михайлович	181	0	14	8	8	3	11	2	8	13	6	10	7	11	6	4	2	0	9	7	0	0	3	4	1	8	1	1	2	5	3	2	0	0	1	2	3	0	9	6	1					
		1.02%	0.00%	1.19%	1.00%	0.93%	0.70%	1.09%	0.68%	1.29%	1.41%	0.89%	1.28%	1.08%	1.44%	0.62%	0.95%	0.29%	0.00%	1.91%	1.31%	0.00%	0.00%	0.82%	2.29%	0.40%	1.29%	0.40%	0.47%	0.27%	1.55%	1.29%	1.77%	0.00%	0.00%	0.68%	1.89%	0.84%	0.00%	2.17%	2.22%	0.50%					
21	. Путин Владимир Владимирович	11429	156	763	485	524	267	634	196	385	558	435	487	416	460	613	283	440	72	302	392	95	122	244	114	194	341	120	158	485	208	146	97	81	92	104	72	246	58	311	170	103					
