Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Базарно-Карабулакская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	3	1	1	1	2	0	0	0	0	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	934	18	105	203	141	178	24	6	0	5	22	1	6	26	20	27	23	23	8	8	15	5	1	2	0	48	1	5	2	4	7					
		3.94%	1.06%	11.08%	13.33%	12.26%	10.83%	1.65%	1.01%	0.00%	0.87%	4.58%	0.13%	1.19%	4.02%	2.22%	1.80%	6.97%	1.45%	1.54%	1.49%	1.98%	0.36%	0.25%	0.70%	0.00%	5.36%	0.29%	1.35%	0.49%	1.11%	4.12%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	695	8	63	167	60	137	7	0	13	5	33	0	19	12	16	48	28	8	5	8	6	3	0	1	0	39	1	3	5	0	0					
		2.94%	0.47%	6.65%	10.97%	5.22%	8.33%	0.48%	0.00%	1.87%	0.87%	6.88%	0.00%	3.77%	1.85%	1.77%	3.21%	8.48%	0.50%	0.96%	1.49%	0.79%	0.22%	0.00%	0.35%	0.00%	4.36%	0.29%	0.81%	1.22%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	56	0	8	13	4	15	2	0	1	0	5	0	0	0	1	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
		0.24%	0.00%	0.84%	0.85%	0.35%	0.91%	0.14%	0.00%	0.14%	0.00%	1.04%	0.00%	0.00%	0.00%	0.11%	0.20%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1783	192	103	257	138	225	52	87	22	10	51	98	33	52	87	95	69	39	20	26	15	15	6	6	3	38	13	5	10	13	3					
		7.53%	11.35%	10.86%	16.87%	12.00%	13.69%	3.57%	14.70%	3.16%	1.75%	10.63%	12.58%	6.55%	8.04%	9.65%	6.35%	20.91%	2.46%	3.85%	4.84%	1.98%	1.09%	1.48%	2.11%	1.21%	4.25%	3.82%	1.35%	2.44%	3.61%	1.76%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	75	0	7	16	10	19	3	0	1	0	0	0	1	2	4	4	4	0	0	0	0	0	0	0	0	1	0	2	1	0	0					
		0.32%	0.00%	0.74%	1.05%	0.87%	1.16%	0.21%	0.00%	0.14%	0.00%	0.00%	0.00%	0.20%	0.31%	0.44%	0.27%	1.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.54%	0.24%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19916	1465	635	845	785	1044	1365	499	658	552	369	680	442	552	755	1299	189	1505	484	495	723	1355	385	271	245	754	325	355	391	334	160					
		84.12%	86.58%	66.98%	55.48%	68.26%	63.50%	93.81%	84.29%	94.40%	96.50%	76.88%	87.29%	87.70%	85.32%	83.70%	86.77%	57.27%	94.95%	93.08%	92.18%	95.26%	98.05%	95.06%	95.42%	98.79%	84.25%	95.59%	95.95%	95.37%	92.78%	94.12%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	30	0	2	3	1	6	2	0	2	0	0	0	1	1	5	0	0	0	1	0	0	4	1	0	0	1	0	0	0	0	0					
		0.13%	0.00%	0.21%	0.20%	0.09%	0.36%	0.14%	0.00%	0.29%	0.00%	0.00%	0.00%	0.20%	0.15%	0.55%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.29%	0.25%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
