Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Ардатовская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38					
1	"Число избирателей, внесенных в список"	22824	1003	1019	948	1598	641	1798	622	290	348	1289	1351	1649	124	201	933	121	470	403	744	502	386	599	375	791	141	346	443	289	537	405	294	385	460	290	169	211	492	157					
2	Число полученных избирательных бюллетеней	20694	902	928	858	1406	572	1634	565	266	308	1155	1205	1471	124	182	873	123	428	362	681	452	357	540	335	707	143	309	400	261	484	375	261	351	423	268	173	199	457	156					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12779	517	553	477	922	328	952	318	198	164	666	593	814	63	112	789	86	297	271	519	242	220	307	147	457	96	245	286	207	229	303	225	231	197	184	67	122	287	88					
5	"Число избирательных бюллетеней, выданных вне помещения"	2280	45	44	45	65	34	44	7	23	52	60	152	79	13	24	72	25	66	72	51	84	27	143	98	122	21	32	45	25	202	45	13	56	136	34	71	38	77	38					
6	Число погашенных избирательных бюллетеней	5635	340	331	336	419	210	638	240	45	92	429	460	578	48	46	12	12	65	19	111	126	110	90	90	128	26	32	69	29	53	27	23	64	90	50	35	39	93	30					
7	Число избирательных бюллетеней в переносных ящиках	2280	45	44	45	65	34	44	7	23	52	60	152	79	13	24	72	25	66	72	51	84	27	143	98	122	21	32	45	25	202	45	13	56	136	34	71	38	77	38					
8	Число бюллетеней в стационарных ящиках для голосования	12779	517	553	477	922	328	952	318	198	164	666	593	814	63	112	789	86	297	271	519	242	220	307	147	457	96	245	286	207	229	303	225	231	197	184	67	122	287	88					
9	Число недействительных избирательных бюллетеней	117	9	3	6	3	0	10	0	0	2	10	5	8	1	1	10	0	0	0	4	1	2	5	0	9	0	0	6	1	4	2	2	0	2	5	2	2	2	0					
10	Число действительных избирательных бюллетеней	14942	553	594	516	984	362	986	325	221	214	716	740	885	75	135	851	111	363	343	566	325	245	445	245	570	117	277	325	231	427	346	236	287	331	213	136	158	362	126					
11	Число полученных открепительных  удостоверений	403	18	10	10	10	10	25	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	139	4	1	6	10	3	15	6	2	0	10	4	3	0	1	5	0	4	1	3	3	5	0	1	4	1	1	4	0	6	5	0	4	9	6	0	5	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	3	0	3	37	1	7	2	0	1	3	1	3	4	1	0	0	1	1	2	1	0	0	1	6	1	2	4	1	0	0	1	1	0	0	0	0	1	1					
