Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Чемальская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203					
1	"Число избирателей, внесенных в список"	6402	169	132	174	117	105	393	329	369	379	441	657	339	365	390	202	282	272	81	80	342	505	279					
2	Число полученных избирательных бюллетеней	6313	155	167	173	125	112	355	322	393	355	478	645	327	345	367	204	275	251	77	85	325	510	267					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4042	140	125	123	72	70	232	197	165	220	199	380	159	245	262	148	196	191	64	46	275	347	186					
5	"Число избирательных бюллетеней, выданных вне помещения"	448	7	7	0	6	4	39	27	19	29	26	25	79	38	16	12	15	8	1	10	16	37	27					
6	Число погашенных избирательных бюллетеней	1823	8	35	50	47	38	84	98	209	106	253	240	89	62	89	44	64	52	12	29	34	126	54					
7	Число избирательных бюллетеней в переносных ящиках	448	7	7	0	6	4	39	27	19	29	26	25	79	38	16	12	15	8	1	10	16	37	27					
8	Число бюллетеней в стационарных ящиках для голосования	4042	140	125	123	72	70	232	197	165	220	199	380	159	245	262	148	196	191	64	46	275	347	186					
9	Число недействительных избирательных бюллетеней	31	1	2	0	0	0	1	1	4	2	2	2	0	2	2	0	3	1	1	0	0	6	1					
10	Число действительных избирательных бюллетеней	4459	146	130	123	78	74	270	223	180	247	223	403	238	281	276	160	208	198	64	56	291	378	212					
11	Число полученных открепительных  удостоверений	176	5	5	5	5	7	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	10	7					
12	Число выданных открепительных удостоверений	45	1	0	0	0	7	3	3	4	2	1	5	0	2	2	0	1	3	2	1	5	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	2	0	1	0	1	11	7	0	6	2	4	2	1	0	0	2	3	0	2	0	5	8					
14	Число неиспользованных открепительных удостоверений	131	4	5	5	5	0	7	7	6	8	9	5	10	8	8	7	6	4	5	6	2	8	6					
15	"Число открепительных удостоверений, выданных в ТИК"	15	2	0	0	0	0	3	1	1	0	0	0	1	1	1	0	0	3	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	94	1	4	2	1	0	14	4	2	5	7	10	2	9	3	2	2	2	3	0	7	8	6					
		2.09%	0.68%	3.03%	1.63%	1.28%	0.00%	5.17%	1.79%	1.09%	2.01%	3.11%	2.47%	0.84%	3.18%	1.08%	1.25%	0.95%	1.01%	4.62%	0.00%	2.41%	2.08%	2.82%					
19	. Малышкин Олег Александрович	52	1	1	1	1	0	7	3	2	4	3	6	4	1	1	2	3	1	1	0	2	4	4					
		1.16%	0.68%	0.76%	0.81%	1.28%	0.00%	2.58%	1.34%	1.09%	1.61%	1.33%	1.48%	1.68%	0.35%	0.36%	1.25%	1.42%	0.50%	1.54%	0.00%	0.69%	1.04%	1.88%					
20	. Миронов Сергей Михайлович	21	0	2	0	0	0	1	0	2	0	0	0	0	2	4	2	1	1	0	0	1	5	0					
		0.47%	0.00%	1.52%	0.00%	0.00%	0.00%	0.37%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.71%	1.44%	1.25%	0.47%	0.50%	0.00%	0.00%	0.34%	1.30%	0.00%					
21	. Путин Владимир Владимирович	3652	130	108	113	63	67	196	178	148	196	159	344	206	213	228	130	181	179	36	46	239	315	177					
		81.34%	88.44%	81.82%	91.87%	80.77%	90.54%	72.32%	79.46%	80.43%	78.71%	70.67%	84.94%	86.55%	75.27%	82.01%	81.25%	85.78%	89.95%	55.38%	82.14%	82.13%	82.03%	83.10%					
22	. Хакамада Ирина Муцуовна	102	1	4	0	3	1	2	11	5	4	8	11	2	7	4	3	3	5	3	4	8	6	7					
		2.27%	0.68%	3.03%	0.00%	3.85%	1.35%	0.74%	4.91%	2.72%	1.61%	3.56%	2.72%	0.84%	2.47%	1.44%	1.88%	1.42%	2.51%	4.62%	7.14%	2.75%	1.56%	3.29%					
23	. Харитонов Николай Михайлович	476	13	11	7	10	4	42	24	16	29	40	24	24	46	32	19	17	9	18	5	30	39	17					
		10.60%	8.84%	8.33%	5.69%	12.82%	5.41%	15.50%	10.71%	8.70%	11.65%	17.78%	5.93%	10.08%	16.25%	11.51%	11.88%	8.06%	4.52%	27.69%	8.93%	10.31%	10.16%	7.98%					
																													
24	Против всех	62	0	0	0	0	2	8	3	5	9	6	8	0	3	4	2	1	1	3	1	4	1	1					
		1.38%	0.00%	0.00%	0.00%	0.00%	2.70%	2.95%	1.34%	2.72%	3.61%	2.67%	1.98%	0.00%	1.06%	1.44%	1.25%	0.47%	0.50%	4.62%	1.79%	1.37%	0.26%	0.47%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
