Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Прокопьевская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417					
1	"Число избирателей, внесенных в список"	20961	1088	764	138	920	229	413	209	322	1076	719	112	941	322	592	114	351	412	147	395	163	141	514	332	552	165	470	187	1004	230	311	1042	713	209	478	406	200	885	383	213	1016	1069	97	917					
2	Число полученных избирательных бюллетеней	22000	1110	790	140	930	230	430	210	310	1170	700	120	950	360	610	130	360	420	160	410	170	160	550	370	580	170	490	190	1020	230	330	1120	740	210	490	420	230	940	400	230	1100	1200	110	1010					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15510	959	482	121	619	137	197	170	270	838	428	94	507	194	466	88	203	303	141	337	155	120	423	247	381	145	377	146	737	144	192	803	663	173	437	356	145	622	268	169	661	857	89	646					
5	"Число избирательных бюллетеней, выданных вне помещения"	2853	55	92	7	101	47	194	22	16	120	215	5	262	82	45	18	84	87	5	33	5	11	61	64	132	15	49	27	31	73	50	136	35	22	21	19	41	137	23	21	173	75	8	134					
6	Число погашенных избирательных бюллетеней	3637	96	216	12	210	46	39	18	24	212	57	21	181	84	99	24	73	30	14	40	10	29	66	59	67	10	64	17	252	13	88	181	42	15	32	45	44	181	109	40	266	268	13	230					
7	Число избирательных бюллетеней в переносных ящиках	2853	55	92	7	101	47	194	22	16	120	215	5	262	82	45	18	84	87	5	33	5	11	61	64	132	15	49	27	31	73	50	136	35	22	21	19	41	137	23	21	173	75	8	134					
8	Число бюллетеней в стационарных ящиках для голосования	15510	959	482	121	619	137	197	170	270	838	428	94	507	194	466	88	203	303	141	337	155	120	423	247	381	145	377	146	737	144	192	803	663	173	437	356	145	622	268	169	661	857	89	646					
9	Число недействительных избирательных бюллетеней	153	2	4	3	17	0	0	1	0	9	11	0	4	0	21	0	4	2	0	7	0	1	6	1	4	2	2	1	8	1	0	6	2	3	5	10	0	4	5	0	4	2	0	1					
10	Число действительных избирательных бюллетеней	18210	1012	570	125	703	184	391	191	286	949	632	99	765	276	490	106	283	388	146	363	160	130	478	310	509	158	424	172	760	216	242	933	696	192	453	365	186	755	286	190	830	930	97	779					
