Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Алексеевская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618					
1	"Число избирателей, внесенных в список"	14237	1526	1824	956	464	131	427	218	443	131	344	236	387	301	913	103	648	470	1745	362	587	89	116	311	466	53	694	54	111	95	32					
2	Число полученных избирательных бюллетеней	14413	1495	1865	964	459	132	431	213	456	152	359	238	397	312	955	104	663	467	1749	373	599	88	116	310	475	57	687	55	118	91	33					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8965	1000	1084	585	321	96	259	82	242	131	220	161	245	174	497	68	343	292	1097	305	460	62	99	196	293	34	399	52	76	66	26					
5	"Число избирательных бюллетеней, выданных вне помещения"	1848	115	105	66	42	12	94	83	120	0	49	45	72	76	221	8	141	107	160	8	27	17	9	67	67	12	109	0	16	0	0					
6	Число погашенных избирательных бюллетеней	3600	380	676	313	96	24	78	48	94	21	90	32	80	62	237	28	179	68	492	60	112	9	8	47	115	11	179	3	26	25	7					
7	Число избирательных бюллетеней в переносных ящиках	1848	115	105	66	42	12	94	83	120	0	49	45	72	76	221	8	141	107	160	8	27	17	9	67	67	12	109	0	16	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	8956	998	1081	585	321	96	259	82	242	131	220	161	245	174	497	68	343	292	1096	305	460	62	99	196	291	34	398	52	76	66	26					
9	Число недействительных избирательных бюллетеней	104	14	13	5	2	5	3	1	5	2	3	1	2	1	5	0	2	1	17	3	7	0	1	2	2	0	7	0	0	0	0					
10	Число действительных избирательных бюллетеней	10700	1099	1173	646	361	103	350	164	357	129	266	205	315	249	713	76	482	398	1239	310	480	79	107	261	356	46	500	52	92	66	26					
11	Число полученных открепительных  удостоверений	298	23	25	15	10	5	10	10	10	5	10	10	10	10	15	5	15	10	15	10	10	5	5	10	10	5	10	5	5	5	5					
12	Число выданных открепительных удостоверений	73	5	5	1	3	0	0	0	0	1	10	0	4	6	10	0	8	1	8	4	2	0	1	1	2	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	13	4	6	3	1	0	0	0	0	1	0	0	2	1	0	5	0	7	1	1	1	1	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	225	18	20	14	7	5	10	10	10	4	0	10	6	4	5	5	7	9	7	6	8	5	4	9	8	5	10	5	5	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	237	34	22	7	10	1	9	1	18	1	5	2	3	8	17	2	6	7	31	15	5	0	0	7	10	0	9	4	1	2	0					
		2.19%	3.05%	1.85%	1.08%	2.75%	0.93%	2.55%	0.61%	4.97%	0.76%	1.86%	0.97%	0.95%	3.20%	2.37%	2.63%	1.24%	1.75%	2.47%	4.79%	1.03%	0.00%	0.00%	2.66%	2.79%	0.00%	1.78%	7.69%	1.09%	3.03%	0.00%					
19	. Малышкин Олег Александрович	196	22	16	13	6	1	5	9	9	2	6	11	7	2	5	2	15	9	16	5	13	0	4	4	7	0	6	0	0	1	0					
