Выборы Президента Российской Федерации																																																									
																																																									
"Наименование Избирательной комиссии:    Владимир, Ленинская"																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390					
1	"Число избирателей, внесенных в список"	114522	1577	2334	1787	2553	2828	1607	2025	2911	2822	2909	2431	2412	2603	2542	2804	2666	2722	2672	2774	2545	2567	2655	2510	2835	2822	2772	2254	2795	2728	2760	2281	2529	1045	1684	520	2617	1265	1706	2158	2677	2575	2541	300	3519	1950	2048	2134	2766	1231	754					
2	Число полученных избирательных бюллетеней	112700	2000	2100	2000	2500	2800	1600	2000	2800	2800	2800	2400	2300	2600	2500	2700	2700	2800	2600	2700	2600	2500	2600	2600	2800	2800	2800	2100	2700	2800	2600	2200	2500	1000	1600	500	2600	1300	1700	2100	2600	2500	2500	300	3000	2000	2100	2100	2600	1100	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	59798	728	1413	749	1326	1587	906	1014	1350	1502	1615	1243	1132	1375	1275	1413	1373	1376	1466	1500	1334	1106	1434	1388	1398	1448	1639	1113	1503	1434	1425	1034	1030	409	908	318	1456	608	902	1067	1306	1346	1316	162	2366	922	1035	1123	1568	603	754					
5	"Число избирательных бюллетеней, выданных вне помещения"	2042	0	29	4	38	50	27	36	27	48	39	42	61	28	73	34	87	26	26	41	16	67	19	12	90	49	27	25	104	53	185	37	58	38	27	72	20	27	32	15	33	39	21	40	9	55	51	15	25	65	0					
6	Число погашенных избирательных бюллетеней	50498	1272	658	1247	1136	1163	667	950	1423	1250	1146	1115	1107	1197	1152	1253	1240	1398	1108	1159	1250	1327	1147	1200	1312	1303	1134	962	1093	1313	990	1129	1412	553	665	110	1124	665	766	1018	1261	1115	1163	98	263	1023	1014	962	1007	432	46					
7	Число избирательных бюллетеней в переносных ящиках	2404	0	29	4	38	50	27	36	27	48	39	42	61	28	73	34	87	26	26	41	16	67	19	12	90	49	27	25	104	53	185	37	58	38	27	72	20	27	32	15	33	39	21	40	371	55	51	15	25	65	0					
8	Число бюллетеней в стационарных ящиках для голосования	59697	728	1413	749	1326	1587	906	1014	1349	1502	1615	1243	1131	1375	1275	1412	1373	1369	1466	1500	1334	1106	1422	1388	1398	1399	1639	1113	1499	1434	1425	1031	1030	409	908	318	1449	608	902	1067	1306	1339	1316	162	2362	922	1035	1123	1564	603	753					
9	Число недействительных избирательных бюллетеней	625	4	15	2	16	11	9	9	10	9	11	16	8	10	13	16	29	11	12	14	9	2	12	17	23	15	18	18	10	14	10	18	6	4	7	22	13	7	9	16	17	13	9	2	5	16	13	11	11	3	50					
10	Число действительных избирательных бюллетеней	61476	724	1427	751	1348	1626	924	1041	1366	1541	1643	1269	1184	1393	1335	1430	1431	1384	1480	1527	1341	1171	1429	1383	1465	1433	1648	1120	1593	1473	1600	1050	1082	443	928	368	1456	628	925	1066	1322	1365	1328	200	2728	961	1073	1127	1578	665	703					
11	Число полученных открепительных  удостоверений	2147	650	35	377	25	25	20	20	35	35	30	20	30	30	30	20	20	20	25	25	20	30	30	20	20	20	30	20	35	30	25	20	30	20	20	5	20	20	20	20	20	20	20	10	40	20	20	20	30	20	0					
12	Число выданных открепительных удостоверений	1554	423	30	371	19	22	10	18	27	28	22	9	19	21	20	12	16	16	21	20	16	22	19	12	14	16	23	13	33	21	22	12	23	5	19	2	8	5	12	9	9	14	12	3	35	6	8	10	22	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	748	15	22	34	8	14	14	10	27	14	18	12	18	14	15	14	10	10	17	18	15	6	11	5	18	9	21	16	24	24	30	17	12	9	9	5	11	3	11	3	8	14	7	1	23	16	14	7	7	6	82					
14	Число неиспользованных открепительных удостоверений	593	227	5	6	6	3	10	2	8	7	8	11	11	9	10	8	4	4	4	5	4	8	11	8	6	4	7	7	2	9	3	8	7	15	1	3	12	15	8	11	11	6	8	7	5	14	12	10	8	15	0					
