Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Аскизская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208					
1	"Число избирателей, внесенных в список"	28609	1590	1738	1405	292	327	146	1361	1753	387	679	754	281	129	338	563	187	115	98	508	957	500	65	118	62	502	256	718	274	151	62	196	1145	698	890	403	1496	1441	130	1370	159	2576	456	583	420	330					
2	Число полученных избирательных бюллетеней	28668	1517	1742	1407	314	322	140	1366	1843	425	666	770	285	130	369	591	185	125	101	520	955	502	64	121	63	506	260	695	275	149	60	204	1147	741	868	389	1403	1412	135	1357	155	2574	466	579	440	330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14227	746	910	795	177	201	80	620	807	157	304	387	145	98	164	330	126	101	80	266	482	278	40	86	50	200	118	368	133	83	52	117	549	348	442	205	818	682	81	643	73	1200	219	216	130	120					
5	"Число избирательных бюллетеней, выданных вне помещения"	2086	124	66	35	8	22	10	94	134	64	49	30	49	2	65	48	15	0	0	59	83	23	11	6	0	73	34	56	20	25	0	6	61	56	54	24	99	133	1	85	24	56	41	21	158	62					
6	Число погашенных избирательных бюллетеней	12355	647	766	577	129	99	50	652	902	204	313	353	91	30	140	213	44	24	21	195	390	201	13	29	13	233	108	271	122	41	8	81	537	337	372	160	486	597	53	629	58	1318	206	342	152	148					
7	Число избирательных бюллетеней в переносных ящиках	2086	124	66	35	8	22	10	94	134	64	49	30	49	2	65	48	15	0	0	59	83	23	11	6	0	73	34	56	20	25	0	6	61	56	54	24	99	133	1	85	24	56	41	21	158	62					
8	Число бюллетеней в стационарных ящиках для голосования	14224	746	910	795	177	201	80	620	807	157	304	387	145	98	164	330	126	101	80	266	482	278	40	86	50	200	118	368	133	83	52	117	549	348	442	205	818	680	81	643	72	1200	219	216	130	120					
9	Число недействительных избирательных бюллетеней	154	11	5	9	3	2	0	6	6	3	3	9	2	1	7	5	2	2	0	3	4	1	0	1	1	3	2	5	2	0	1	2	4	0	5	1	10	6	2	7	1	8	2	0	7	0					
10	Число действительных избирательных бюллетеней	16156	859	971	821	182	221	90	708	935	218	350	408	192	99	222	373	139	99	80	322	561	300	51	91	49	270	150	419	151	108	51	121	606	404	491	228	907	807	80	721	95	1248	258	237	281	182					
11	Число полученных открепительных  удостоверений	550	25	25	18	10	10	8	22	35	13	13	13	7	7	8	13	7	7	6	4	14	15	6	10	6	11	8	14	7	7	5	7	18	10	18	8	24	18	7	18	6	30	8	8	8	8					
12	Число выданных открепительных удостоверений	129	10	11	5	1	0	0	3	5	0	5	1	2	0	2	13	0	0	0	1	4	3	1	1	0	2	0	9	0	2	0	2	2	7	2	6	6	10	3	4	0	3	1	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	9	15	4	0	3	0	5	2	1	1	3	0	0	0	0	1	1	1	2	3	3	1	0	0	0	0	3	0	0	1	0	5	8	1	0	1	1	0	1	0	8	3	0	3	2					
14	Число неиспользованных открепительных удостоверений	421	15	14	13	9	10	8	19	30	13	8	12	5	7	6	0	7	7	6	3	10	12	5	9	6	9	8	5	7	5	5	5	16	3	16	2	18	8	4	14	6	27	7	7	8	7					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	768	48	55	53	3	5	7	37	36	15	19	27	8	2	7	29	6	0	1	16	21	13	1	2	3	11	5	24	6	3	0	4	30	16	14	6	69	40	1	24	5	43	14	12	15	12					
		4.71%	5.52%	5.64%	6.39%	1.62%	2.24%	7.78%	5.18%	3.83%	6.79%	5.38%	6.47%	4.12%	2.00%	3.06%	7.67%	4.26%	0.00%	1.25%	4.92%	3.72%	4.32%	1.96%	2.17%	6.00%	4.03%	3.29%	5.66%	3.92%	2.78%	0.00%	3.25%	4.92%	3.96%	2.82%	2.62%	7.52%	4.92%	1.22%	3.30%	5.21%	3.42%	5.38%	5.06%	5.21%	6.59%					
19	. Малышкин Олег Александрович	485	17	9	11	4	0	0	31	34	11	8	5	4	1	1	5	2	0	2	11	20	5	2	0	0	2	1	5	6	0	0	2	22	15	31	10	54	54	6	30	1	36	5	7	10	5					
		2.97%	1.95%	0.92%	1.33%	2.16%	0.00%	0.00%	4.34%	3.61%	4.98%	2.27%	1.20%	2.06%	1.00%	0.44%	1.32%	1.42%	0.00%	2.50%	3.38%	3.54%	1.66%	3.92%	0.00%	0.00%	0.73%	0.66%	1.18%	3.92%	0.00%	0.00%	1.63%	3.61%	3.71%	6.25%	4.37%	5.89%	6.64%	7.32%	4.12%	1.04%	2.87%	1.92%	2.95%	3.47%	2.75%					
20	. Миронов Сергей Михайлович	148	6	6	7	1	3	3	6	8	4	7	8	2	0	1	3	3	0	1	0	3	4	0	0	0	3	1	3	2	1	1	0	10	0	1	1	10	13	1	5	1	8	3	2	3	3					
		0.91%	0.69%	0.61%	0.84%	0.54%	1.35%	3.33%	0.84%	0.85%	1.81%	1.98%	1.92%	1.03%	0.00%	0.44%	0.79%	2.13%	0.00%	1.25%	0.00%	0.53%	1.33%	0.00%	0.00%	0.00%	1.10%	0.66%	0.71%	1.31%	0.93%	1.92%	0.00%	1.64%	0.00%	0.20%	0.44%	1.09%	1.60%	1.22%	0.69%	1.04%	0.64%	1.15%	0.84%	1.04%	1.65%					
21	. Путин Владимир Владимирович	10723	608	647	577	133	187	67	499	584	143	174	215	110	51	150	223	86	52	51	222	352	157	36	75	41	181	122	283	126	94	28	75	394	290	373	182	507	483	58	536	64	844	161	167	197	118					
		65.74%	69.89%	66.29%	69.52%	71.89%	83.86%	74.44%	69.89%	62.06%	64.71%	49.29%	51.56%	56.70%	51.00%	65.50%	58.99%	60.99%	51.49%	63.75%	68.31%	62.30%	52.16%	70.59%	81.52%	82.00%	66.30%	80.26%	66.75%	82.35%	87.04%	53.85%	60.98%	64.59%	71.78%	75.20%	79.48%	55.29%	59.41%	70.73%	73.63%	66.67%	67.20%	61.92%	70.46%	68.40%	64.84%					
22	. Хакамада Ирина Муцуовна	626	55	82	41	11	7	3	17	20	10	22	40	16	5	24	14	9	4	6	6	17	14	2	3	2	16	7	15	1	3	3	2	12	15	13	3	14	9	1	13	3	30	1	5	19	11					
		3.84%	6.32%	8.40%	4.94%	5.95%	3.14%	3.33%	2.38%	2.13%	4.52%	6.23%	9.59%	8.25%	5.00%	10.48%	3.70%	6.38%	3.96%	7.50%	1.85%	3.01%	4.65%	3.92%	3.26%	4.00%	5.86%	4.61%	3.54%	0.65%	2.78%	5.77%	1.63%	1.97%	3.71%	2.62%	1.31%	1.53%	1.11%	1.22%	1.79%	3.12%	2.39%	0.38%	2.11%	6.60%	6.04%					
23	. Харитонов Николай Михайлович	3075	109	145	114	23	17	10	102	226	32	114	109	48	40	38	97	31	42	18	64	140	102	9	9	3	54	14	85	10	7	19	34	129	54	52	22	216	170	13	98	21	269	72	39	26	29					
		18.85%	12.53%	14.86%	13.73%	12.43%	7.62%	11.11%	14.29%	24.02%	14.48%	32.29%	26.14%	24.74%	40.00%	16.59%	25.66%	21.99%	41.58%	22.50%	19.69%	24.78%	33.89%	17.65%	9.78%	6.00%	19.78%	9.21%	20.05%	6.54%	6.48%	36.54%	27.64%	21.15%	13.37%	10.48%	9.61%	23.56%	20.91%	15.85%	13.46%	21.88%	21.42%	27.69%	16.46%	9.03%	15.93%					
																																																				
24	Против всех	331	16	27	18	7	2	0	16	27	3	6	4	4	0	1	2	2	1	1	3	8	5	1	2	0	3	0	4	0	0	0	4	9	14	7	4	37	38	0	15	0	18	2	5	11	4					
		2.03%	1.84%	2.77%	2.17%	3.78%	0.90%	0.00%	2.24%	2.87%	1.36%	1.70%	0.96%	2.06%	0.00%	0.44%	0.53%	1.42%	0.99%	1.25%	0.92%	1.42%	1.66%	1.96%	2.17%	0.00%	1.10%	0.00%	0.94%	0.00%	0.00%	0.00%	3.25%	1.48%	3.47%	1.41%	1.75%	4.03%	4.67%	0.00%	2.06%	0.00%	1.43%	0.77%	2.11%	3.82%	2.20%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
