Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Сосновская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2498	УИК №2499					
1	"Число избирателей, внесенных в список"	16855	1074	662	1177	1162	849	1010	841	356	703	411	90	780	301	227	157	361	986	194	185	446	214	345	162	358	161	353	203	400	130	448	105	719	234	318	133	433	167					
2	Число полученных избирательных бюллетеней	16500	1050	620	1110	1000	800	980	800	350	750	400	90	770	300	225	155	355	950	195	195	450	220	350	160	360	170	370	200	420	135	450	105	700	230	325	135	460	165					
3	"Число избирательных бюллетеней, выданных  досрочно"	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11055	711	477	788	696	564	633	542	232	452	252	64	613	241	198	75	212	697	153	62	259	162	270	132	202	109	244	143	264	106	253	86	403	120	206	62	232	140					
5	"Число избирательных бюллетеней, выданных вне помещения"	1620	33	21	12	95	65	49	49	29	114	61	19	12	0	0	54	68	103	0	86	79	10	16	10	50	6	73	32	5	0	67	0	133	54	44	53	111	7					
6	Число погашенных избирательных бюллетеней	3781	306	122	310	209	171	298	209	89	184	87	7	145	59	27	26	75	150	42	47	112	48	64	18	108	55	53	25	151	29	130	19	164	12	75	20	117	18					
7	Число избирательных бюллетеней в переносных ящиках	1664	33	21	12	95	65	49	49	29	114	61	19	12	0	0	54	68	103	0	86	79	10	16	10	50	6	73	32	5	0	67	0	133	98	44	53	111	7					
8	Число бюллетеней в стационарных ящиках для голосования	11055	711	477	788	696	564	633	542	232	452	252	64	613	241	198	75	212	697	153	62	259	162	270	132	202	109	244	143	264	106	253	86	403	120	206	62	232	140					
9	Число недействительных избирательных бюллетеней	130	6	2	13	13	5	11	13	5	4	4	1	9	3	0	0	2	1	1	2	6	2	0	0	2	2	2	6	0	0	4	0	2	0	4	2	0	3					
10	Число действительных избирательных бюллетеней	12589	738	496	787	778	624	671	578	256	562	309	82	616	238	198	129	278	799	152	146	332	170	286	142	250	113	315	169	269	106	316	86	534	218	246	113	343	144					
