Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Борзинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420					
1	"Число избирателей, внесенных в список"	39361	363	379	554	334	141	244	335	652	410	385	378	490	729	559	294	490	646	2065	2292	2064	884	1789	457	2852	876	764	1464	1287	1555	1130	849	1243	1344	1314	1409	2525	1100	2100	615					
2	Число полученных избирательных бюллетеней	39265	370	380	555	330	140	245	335	645	410	610	380	490	720	550	300	485	650	2065	2300	2030	875	1760	460	2720	870	700	1470	1290	1510	1060	830	1200	1300	1540	1410	2465	1100	2100	615					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18698	187	230	374	176	98	170	229	311	283	298	192	284	372	320	132	354	299	1098	1102	960	390	746	187	1182	328	317	771	469	544	404	315	466	567	507	690	940	691	1501	214					
5	"Число избирательных бюллетеней, выданных вне помещения"	1179	52	0	0	12	5	17	0	54	32	87	14	0	89	38	29	16	23	0	12	46	12	79	7	43	20	31	9	12	22	30	16	8	73	17	17	32	87	138	0					
6	Число погашенных избирательных бюллетеней	19388	131	150	181	142	37	58	106	280	95	225	174	206	259	192	139	115	328	967	1186	1024	473	935	266	1495	522	352	690	809	944	626	499	726	660	1016	703	1493	322	461	401					
7	Число избирательных бюллетеней в переносных ящиках	1179	52	0	0	12	5	17	0	54	32	87	14	0	89	38	29	16	23	0	12	46	12	79	7	43	20	31	9	12	22	30	16	8	73	17	17	32	87	138	0					
8	Число бюллетеней в стационарных ящиках для голосования	18698	187	230	374	176	98	170	229	311	283	298	192	284	372	320	132	354	299	1098	1102	960	390	746	187	1182	328	317	771	469	544	404	315	466	567	507	690	940	691	1501	214					
9	Число недействительных избирательных бюллетеней	211	6	2	6	1	2	0	5	8	3	4	7	3	5	4	3	1	2	8	14	20	5	9	2	9	4	2	18	2	8	2	6	7	5	5	0	11	2	6	4					
10	Число действительных избирательных бюллетеней	19666	233	228	368	187	101	187	224	357	312	381	199	281	456	354	158	369	320	1090	1100	986	397	816	192	1216	344	346	762	479	558	432	325	467	635	519	707	961	776	1633	210					
