Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Марьяновская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523					
1	"Число избирателей, внесенных в список"	19836	1274	1502	1291	1412	1152	1526	73	138	285	95	192	300	762	616	119	355	130	1531	275	298	250	211	732	100	93	266	246	687	624	177	122	818	296	814	205	156	560	153					
2	Число полученных избирательных бюллетеней	19522	1230	1430	1190	1350	1160	1540	76	139	285	97	207	302	775	620	127	360	133	1510	265	290	230	220	720	95	93	260	235	690	640	177	120	805	290	810	200	156	540	155					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12758	680	762	635	775	496	1052	65	111	207	80	118	251	550	358	113	228	81	1021	205	247	207	153	413	80	46	195	143	544	431	161	110	609	274	577	174	117	369	120					
5	"Число избирательных бюллетеней, выданных вне помещения"	906	47	24	33	44	342	50	0	0	0	0	46	0	5	48	0	10	0	43	2	4	0	8	20	3	0	0	6	36	33	0	6	48	0	27	0	6	15	0					
6	Число погашенных избирательных бюллетеней	5858	503	644	522	531	322	438	11	28	78	17	43	51	220	214	14	122	52	446	58	39	23	59	287	12	47	65	86	110	176	16	4	148	16	206	26	33	156	35					
7	Число избирательных бюллетеней в переносных ящиках	906	47	24	33	44	342	50	0	0	0	0	46	0	5	48	0	10	0	43	2	4	0	8	20	3	0	0	6	36	33	0	6	48	0	27	0	6	15	0					
8	Число бюллетеней в стационарных ящиках для голосования	12757	679	762	635	775	496	1052	65	111	207	80	118	251	550	358	113	228	81	1021	205	247	207	153	413	80	46	195	143	544	431	161	110	609	274	577	174	117	369	120					
9	Число недействительных избирательных бюллетеней	153	8	12	7	8	6	6	0	2	1	1	1	5	4	15	0	4	2	11	3	5	3	2	10	1	0	0	1	4	2	2	1	7	1	6	1	2	8	1					
10	Число действительных избирательных бюллетеней	13510	718	774	661	811	832	1096	65	109	206	79	163	246	551	391	113	234	79	1053	204	246	204	159	423	82	46	195	148	576	462	159	115	650	273	598	173	121	376	119					
11	Число полученных открепительных  удостоверений	335	20	20	20	20	20	20	5	5	5	5	5	5	10	10	5	5	5	20	5	5	5	5	10	5	5	5	5	10	10	5	5	10	5	10	5	5	10	5					
12	Число выданных открепительных удостоверений	108	7	13	8	15	5	13	0	0	0	0	1	0	4	2	0	3	0	3	0	0	1	0	0	0	2	1	0	8	8	0	2	2	0	6	0	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	121	6	5	6	10	9	6	0	1	1	0	1	0	6	5	0	3	0	3	4	3	3	1	4	5	1	5	4	3	0	4	1	9	1	2	0	2	7	0					
14	Число неиспользованных открепительных удостоверений	227	13	7	12	5	15	7	5	5	5	5	4	5	6	8	5	2	5	17	5	5	4	5	10	5	3	4	5	2	2	5	3	8	5	4	5	3	8	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	362	14	27	28	28	22	11	2	4	9	0	5	8	21	5	2	5	1	30	2	3	9	2	11	0	0	5	6	14	11	6	0	12	11	27	5	1	14	1					
		2.65%	1.93%	3.44%	4.19%	3.42%	2.63%	1.00%	3.08%	3.60%	4.35%	0.00%	3.05%	3.19%	3.78%	1.23%	1.77%	2.10%	1.23%	2.82%	0.97%	1.20%	4.35%	1.24%	2.54%	0.00%	0.00%	2.56%	4.03%	2.41%	2.37%	3.73%	0.00%	1.83%	4.01%	4.47%	2.87%	0.81%	3.65%	0.83%					
19	. Малышкин Олег Александрович	477	30	22	13	12	15	47	3	7	16	6	15	1	20	17	9	5	3	43	8	13	0	5	33	9	1	12	0	6	18	1	3	15	9	27	9	2	19	3					
		3.49%	4.13%	2.80%	1.95%	1.47%	1.79%	4.26%	4.62%	6.31%	7.73%	7.50%	9.15%	0.40%	3.60%	4.19%	7.96%	2.10%	3.70%	4.04%	3.86%	5.18%	0.00%	3.11%	7.62%	10.84%	2.17%	6.15%	0.00%	1.03%	3.88%	0.62%	2.59%	2.28%	3.28%	4.47%	5.17%	1.63%	4.95%	2.50%					
20	. Миронов Сергей Михайлович	99	4	4	3	3	13	8	0	1	3	0	7	2	1	3	5	0	0	8	2	3	1	1	2	1	0	0	1	5	1	0	0	3	0	4	1	1	6	2					
		0.72%	0.55%	0.51%	0.45%	0.37%	1.55%	0.73%	0.00%	0.90%	1.45%	0.00%	4.27%	0.80%	0.18%	0.74%	4.42%	0.00%	0.00%	0.75%	0.97%	1.20%	0.48%	0.62%	0.46%	1.20%	0.00%	0.00%	0.67%	0.86%	0.22%	0.00%	0.00%	0.46%	0.00%	0.66%	0.57%	0.81%	1.56%	1.67%					
21	. Путин Владимир Владимирович	9764	548	546	503	581	634	794	58	85	123	47	87	165	355	264	70	109	59	778	156	196	171	114	276	56	33	153	95	448	337	133	91	414	229	466	137	101	249	103					
		71.46%	75.48%	69.47%	75.30%	70.94%	75.66%	72.05%	89.23%	76.58%	59.42%	58.75%	53.05%	65.74%	63.96%	65.02%	61.95%	45.80%	72.84%	73.12%	75.36%	78.09%	82.61%	70.81%	63.74%	67.47%	71.74%	78.46%	63.76%	77.24%	72.63%	82.61%	78.45%	63.01%	83.58%	77.15%	78.74%	82.11%	64.84%	85.83%					
22	. Хакамада Ирина Муцуовна	296	11	30	20	21	23	20	0	2	7	3	4	3	12	4	3	8	0	25	3	0	1	1	10	0	0	3	3	11	11	1	3	17	2	11	6	3	12	2					
		2.17%	1.52%	3.82%	2.99%	2.56%	2.74%	1.81%	0.00%	1.80%	3.38%	3.75%	2.44%	1.20%	2.16%	0.99%	2.65%	3.36%	0.00%	2.35%	1.45%	0.00%	0.48%	0.62%	2.31%	0.00%	0.00%	1.54%	2.01%	1.90%	2.37%	0.62%	2.59%	2.59%	0.73%	1.82%	3.45%	2.44%	3.12%	1.67%					
23	. Харитонов Николай Михайлович	2219	84	125	79	142	96	198	2	4	45	21	38	66	132	91	23	101	16	145	29	24	22	33	83	15	12	16	41	89	75	16	13	182	17	47	13	12	65	7					
		16.24%	11.57%	15.90%	11.83%	17.34%	11.46%	17.97%	3.08%	3.60%	21.74%	26.25%	23.17%	26.29%	23.78%	22.41%	20.35%	42.44%	19.75%	13.63%	14.01%	9.56%	10.63%	20.50%	19.17%	18.07%	26.09%	8.21%	27.52%	15.34%	16.16%	9.94%	11.21%	27.70%	6.20%	7.78%	7.47%	9.76%	16.93%	5.83%					
																																													
24	Против всех	293	27	20	15	24	29	18	0	6	3	2	7	1	10	7	1	6	0	24	4	7	0	3	8	1	0	6	2	3	9	2	5	7	5	16	2	1	11	1					
		2.14%	3.72%	2.54%	2.25%	2.93%	3.46%	1.63%	0.00%	5.41%	1.45%	2.50%	4.27%	0.40%	1.80%	1.72%	0.88%	2.52%	0.00%	2.26%	1.93%	2.79%	0.00%	1.86%	1.85%	1.20%	0.00%	3.08%	1.34%	0.52%	1.94%	1.24%	4.31%	1.07%	1.82%	2.65%	1.15%	0.81%	2.86%	0.83%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
