Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Октябрьская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485					
1	"Число избирателей, внесенных в список"	4577	157	109	2098	164	260	265	281	362	192	150	122	417					
2	Число полученных избирательных бюллетеней	4500	158	109	1992	165	271	270	293	364	186	154	121	417					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2279	86	42	984	101	126	132	152	202	112	83	67	192					
5	"Число избирательных бюллетеней, выданных вне помещения"	584	27	42	110	28	64	46	54	34	21	25	26	107					
6	Число погашенных избирательных бюллетеней	1637	45	25	898	36	81	92	87	128	53	46	28	118					
7	Число избирательных бюллетеней в переносных ящиках	584	27	42	110	28	64	46	54	34	21	25	26	107					
8	Число бюллетеней в стационарных ящиках для голосования	2279	86	42	984	101	126	132	152	202	112	83	67	192					
9	Число недействительных избирательных бюллетеней	14	0	1	5	1	1	1	1	1	0	1	1	1					
10	Число действительных избирательных бюллетеней	2849	113	83	1089	128	189	177	205	235	133	107	92	298					
11	Число полученных открепительных  удостоверений	58	3	3	15	3	5	4	5	6	3	3	3	5					
12	Число выданных открепительных удостоверений	22	0	1	12	1	1	0	0	0	1	3	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	10	0	0	4	1	0	2	1	0	0	1	1	0					
14	Число неиспользованных открепительных удостоверений	36	3	2	3	2	4	4	5	6	2	0	3	2					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	2	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	58	1	1	33	3	1	0	4	2	7	0	0	6					
		2.03%	0.88%	1.19%	3.02%	2.33%	0.53%	0.00%	1.94%	0.85%	5.26%	0.00%	0.00%	2.01%					
19	. Малышкин Олег Александрович	70	2	1	12	5	3	13	5	9	2	8	4	6					
		2.44%	1.77%	1.19%	1.10%	3.88%	1.58%	7.30%	2.43%	3.81%	1.50%	7.41%	4.30%	2.01%					
20	. Миронов Сергей Михайлович	27	0	1	11	1	2	2	3	3	1	1	0	2					
		0.94%	0.00%	1.19%	1.01%	0.78%	1.05%	1.12%	1.46%	1.27%	0.75%	0.93%	0.00%	0.67%					
21	. Путин Владимир Владимирович	1892	94	50	719	85	144	103	141	155	78	66	55	202					
		66.08%	83.19%	59.52%	65.72%	65.89%	75.79%	57.87%	68.45%	65.68%	58.65%	61.11%	59.14%	67.56%					
22	. Хакамада Ирина Муцуовна	37	1	1	15	1	1	2	4	2	5	0	2	3					
		1.29%	0.88%	1.19%	1.37%	0.78%	0.53%	1.12%	1.94%	0.85%	3.76%	0.00%	2.15%	1.00%					
23	. Харитонов Николай Михайлович	733	15	28	284	32	34	57	46	64	38	32	31	72					
		25.60%	13.27%	33.33%	25.96%	24.81%	17.89%	32.02%	22.33%	27.12%	28.57%	29.63%	33.33%	24.08%					
																			
24	Против всех	32	0	1	15	1	4	0	2	0	2	0	0	7					
		1.12%	0.00%	1.19%	1.37%	0.78%	2.11%	0.00%	0.97%	0.00%	1.50%	0.00%	0.00%	2.34%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
