Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
"Наименование Избирательной комиссии:    Оренбург, Дзержинская"																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №716	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1294	10	20	22	19	20	20	25	10	20	10	20	10	30	25	30	20	25	24	25	20	30	20	20	25	25	15	15	20	30	20	20	25	20	30	25	20	25	30	35	25	35	31	20	16	25	22	20	30	30	20	30	32	23	20	15	15	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1213	7	19	22	18	16	20	25	10	16	10	17	9	30	25	30	20	25	23	24	20	30	20	20	25	25	15	11	20	28	17	17	23	20	27	19	20	25	29	27	22	32	31	17	16	25	20	17	21	26	20	30	32	23	20	12	15	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1061	9	10	13	26	17	0	28	13	17	8	14	57	26	18	29	16	45	13	14	24	12	14	12	20	19	11	11	29	26	25	12	6	19	12	14	9	20	18	20	32	15	6	21	16	42	9	10	19	15	10	17	71	22	26	7	4	13					
14	Число погашенных неиспользованных открепительных удостоверений	81	3	1	0	1	4	0	0	0	4	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	2	3	3	2	0	3	6	0	0	1	8	3	3	0	3	0	0	2	3	9	4	0	0	0	0	0	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	106	1	0	1	2	1	0	3	2	2	0	7	1	1	2	0	2	5	1	1	0	2	1	0	2	3	0	2	0	3	0	1	1	4	2	3	0	1	1	4	2	4	3	1	3	6	3	7	2	1	2	0	1	5	0	1	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13630	123	272	237	226	184	231	201	138	228	125	268	160	238	223	310	303	286	286	254	202	240	210	225	210	258	207	164	244	245	236	217	226	310	241	265	257	290	274	289	287	282	274	210	186	329	188	268	324	298	269	326	286	258	315	114	132	181					
		20.38%	20.88%	24.11%	24.11%	22.01%	18.11%	21.88%	20.62%	21.63%	22.22%	19.56%	17.03%	19.61%	19.87%	20.53%	21.62%	23.13%	21.04%	22.45%	20.40%	20.72%	20.73%	22.44%	22.32%	18.09%	20.53%	22.77%	20.30%	19.21%	21.76%	19.82%	20.13%	19.09%	21.63%	18.03%	21.29%	20.06%	22.73%	19.23%	22.06%	19.68%	19.50%	18.43%	21.11%	19.64%	21.06%	17.15%	20.55%	22.63%	22.39%	20.50%	22.72%	18.67%	18.52%	19.80%	14.84%	14.86%	15.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13817	117	194	154	188	208	155	232	141	219	140	314	187	257	227	304	261	275	233	248	242	259	199	215	248	289	215	195	298	216	239	214	223	305	294	226	276	244	248	245	296	325	302	197	166	340	278	296	283	234	245	288	351	323	411	165	180	193					
		20.66%	19.86%	17.20%	15.67%	18.31%	20.47%	14.68%	23.79%	22.10%	21.35%	21.91%	19.95%	22.92%	21.45%	20.90%	21.20%	19.92%	20.24%	18.29%	19.92%	24.82%	22.37%	21.26%	21.33%	21.36%	22.99%	23.65%	24.13%	23.46%	19.18%	20.07%	19.85%	18.83%	21.28%	21.99%	18.15%	21.55%	19.12%	17.40%	18.70%	20.30%	22.48%	20.31%	19.80%	17.53%	21.77%	25.36%	22.70%	19.76%	17.58%	18.67%	20.07%	22.91%	23.19%	25.83%	21.48%	20.27%	16.57%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	872	14	14	18	13	11	14	11	11	16	14	21	9	13	19	21	26	8	17	21	9	9	8	8	6	4	12	5	16	7	14	13	15	19	19	30	19	15	21	20	24	18	30	9	11	21	12	20	22	14	10	17	21	20	28	11	10	14					
		1.30%	2.38%	1.24%	1.83%	1.27%	1.08%	1.33%	1.13%	1.72%	1.56%	2.19%	1.33%	1.10%	1.09%	1.75%	1.46%	1.98%	0.59%	1.33%	1.69%	0.92%	0.78%	0.85%	0.79%	0.52%	0.32%	1.32%	0.62%	1.26%	0.62%	1.18%	1.21%	1.27%	1.33%	1.42%	2.41%	1.48%	1.18%	1.47%	1.53%	1.65%	1.24%	2.02%	0.90%	1.16%	1.34%	1.09%	1.53%	1.54%	1.05%	0.76%	1.18%	1.37%	1.44%	1.76%	1.43%	1.13%	1.20%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	17426	134	316	272	283	259	281	223	163	259	136	409	155	330	313	373	317	349	317	323	227	274	241	246	312	324	235	178	338	316	329	269	337	338	359	354	340	358	431	366	350	387	413	286	270	366	250	299	383	349	346	382	366	380	379	181	281	374					
		26.05%	22.75%	28.01%	27.67%	27.56%	25.49%	26.61%	22.87%	25.55%	25.24%	21.28%	25.98%	18.99%	27.55%	28.82%	26.01%	24.20%	25.68%	24.88%	25.94%	23.28%	23.66%	25.75%	24.40%	26.87%	25.78%	25.85%	22.03%	26.61%	28.06%	27.62%	24.95%	28.46%	23.59%	26.85%	28.43%	26.54%	28.06%	30.25%	27.94%	24.01%	26.76%	27.77%	28.74%	28.51%	23.43%	22.81%	22.93%	26.75%	26.22%	26.37%	26.62%	23.89%	27.28%	23.82%	23.57%	31.64%	32.10%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2652	31	44	48	50	39	53	29	25	24	16	53	13	32	38	63	67	60	74	57	25	44	28	29	41	62	33	37	38	44	49	42	47	72	49	47	48	47	53	53	56	72	87	33	36	72	43	56	52	68	49	59	81	72	73	7	8	24					
		3.97%	5.26%	3.90%	4.88%	4.87%	3.84%	5.02%	2.97%	3.92%	2.34%	2.50%	3.37%	1.59%	2.67%	3.50%	4.39%	5.11%	4.42%	5.81%	4.58%	2.56%	3.80%	2.99%	2.88%	3.53%	4.93%	3.63%	4.58%	2.99%	3.91%	4.11%	3.90%	3.97%	5.02%	3.66%	3.78%	3.75%	3.68%	3.72%	4.05%	3.84%	4.98%	5.85%	3.32%	3.80%	4.61%	3.92%	4.29%	3.63%	5.11%	3.73%	4.11%	5.29%	5.17%	4.59%	0.91%	0.90%	2.06%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17144	155	276	232	250	302	297	260	144	260	198	470	279	298	248	328	298	349	310	315	243	302	231	259	319	298	190	212	313	285	292	308	311	363	344	306	305	294	363	320	409	326	353	229	262	416	302	341	341	353	375	341	383	311	361	283	268	363					
		25.63%	26.32%	24.47%	23.60%	24.34%	29.72%	28.13%	26.67%	22.57%	25.34%	30.99%	29.86%	34.19%	24.87%	22.84%	22.87%	22.75%	25.68%	24.33%	25.30%	24.92%	26.08%	24.68%	25.69%	27.48%	23.71%	20.90%	26.24%	24.65%	25.31%	24.52%	28.57%	26.27%	25.33%	25.73%	24.58%	23.81%	23.04%	25.47%	24.43%	28.05%	22.54%	23.74%	23.02%	27.67%	26.63%	27.55%	26.15%	23.81%	26.52%	28.58%	23.76%	25.00%	22.33%	22.69%	36.85%	30.18%	31.16%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	403	5	6	5	4	5	7	5	7	3	3	12	2	9	6	12	9	3	10	11	8	9	7	8	9	3	9	4	7	2	10	5	7	10	6	4	7	9	13	6	7	14	11	5	5	12	7	4	17	4	2	7	14	13	8	3	2	1					
		0.60%	0.85%	0.53%	0.51%	0.39%	0.49%	0.66%	0.51%	1.10%	0.29%	0.47%	0.76%	0.25%	0.75%	0.55%	0.84%	0.69%	0.22%	0.78%	0.88%	0.82%	0.78%	0.75%	0.79%	0.78%	0.24%	0.99%	0.50%	0.55%	0.18%	0.84%	0.46%	0.59%	0.70%	0.45%	0.32%	0.55%	0.71%	0.91%	0.46%	0.48%	0.97%	0.74%	0.50%	0.53%	0.77%	0.64%	0.31%	1.19%	0.30%	0.15%	0.49%	0.91%	0.93%	0.50%	0.39%	0.23%	0.09%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
