Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
Наименование Избирательной комиссии:    Кармаскалинская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	79	1	0	1	1	2	0	4	0	0	0	0	2	2	2	8	0	2	0	2	12	8	3	0	0	0	0	0	2	1	1	6	2	1	0	0	2	1	0	0	0	0	8	0	2	1	2					
		0.22%	0.19%	0.00%	0.08%	0.23%	0.20%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.13%	0.12%	0.84%	2.75%	0.00%	0.11%	0.00%	0.09%	2.46%	0.64%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.22%	0.21%	0.33%	0.10%	0.17%	0.00%	0.00%	0.72%	0.41%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.27%	0.19%	0.28%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.06%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.21%	0.00%	0.05%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1006	3	3	8	3	15	96	26	22	2	2	1	39	28	4	31	2	57	106	28	41	14	16	2	2	20	46	9	56	3	5	120	33	3	4	19	18	3	19	3	8	2	47	5	10	7	15					
		2.83%	0.58%	1.03%	0.63%	0.68%	1.47%	4.07%	3.19%	2.67%	0.45%	0.99%	0.23%	2.59%	1.68%	1.68%	10.65%	1.38%	3.24%	4.96%	1.32%	8.40%	1.12%	2.47%	0.99%	1.08%	2.65%	7.23%	3.13%	4.90%	0.65%	1.04%	6.62%	1.67%	0.50%	2.12%	2.48%	6.52%	1.24%	1.96%	1.25%	1.90%	0.97%	7.54%	1.88%	1.34%	1.30%	2.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	2	1	3	0	0	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	0	0	0	5	0	1	1	0					
		0.07%	0.19%	0.00%	0.00%	0.00%	0.10%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.34%	0.00%	0.06%	0.00%	0.09%	0.20%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.22%	0.21%	0.06%	0.05%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.13%	0.19%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	34322	509	286	1247	437	999	2264	785	800	439	201	442	1460	1629	231	236	142	1692	2029	2090	412	1216	629	200	182	734	588	279	1079	455	473	1677	1934	595	184	736	251	238	952	236	414	204	529	260	728	530	689					
		96.39%	98.26%	98.28%	98.97%	98.87%	97.94%	95.89%	96.32%	96.97%	99.55%	99.01%	99.77%	97.07%	97.96%	97.06%	81.10%	97.93%	96.30%	94.99%	98.17%	84.43%	97.44%	97.07%	99.01%	98.38%	97.09%	92.45%	96.88%	94.48%	97.85%	97.93%	92.50%	97.97%	98.51%	97.35%	95.96%	90.94%	98.35%	98.04%	98.33%	98.10%	99.03%	84.91%	97.74%	97.85%	98.15%	97.59%					
