Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Брасовская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
		0.86%	0.84%	0.00%	0.49%	0.00%	0.71%	2.33%	0.33%	0.55%	0.77%	0.88%	0.00%	0.76%	0.41%	0.00%	0.51%	0.00%	1.47%	0.77%	0.88%	0.74%	1.92%	0.73%	1.41%	1.75%	0.81%	0.95%	0.40%	0.52%	0.79%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2472	152	32	53	42	67	49	83	31	48	65	8	138	46	42	26	80	13	113	50	36	125	186	263	166	173	137	135	68	45					
		24.66%	25.42%	18.82%	25.85%	17.43%	15.91%	37.98%	27.39%	17.13%	18.39%	28.76%	14.81%	21.00%	18.93%	27.81%	13.13%	42.55%	19.12%	21.73%	22.03%	26.67%	26.71%	34.13%	28.62%	26.39%	27.95%	25.90%	26.84%	17.66%	17.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	101	3	4	0	0	4	0	1	1	3	2	0	13	3	0	0	4	0	2	0	1	6	5	15	9	10	3	7	3	2					
		1.01%	0.50%	2.35%	0.00%	0.00%	0.95%	0.00%	0.33%	0.55%	1.15%	0.88%	0.00%	1.98%	1.23%	0.00%	0.00%	2.13%	0.00%	0.38%	0.00%	0.74%	1.28%	0.92%	1.63%	1.43%	1.62%	0.57%	1.39%	0.78%	0.79%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4824	282	84	113	137	251	53	138	103	169	110	42	357	136	56	103	67	35	307	148	76	175	219	369	270	280	229	205	188	122					
		48.12%	47.16%	49.41%	55.12%	56.85%	59.62%	41.09%	45.54%	56.91%	64.75%	48.67%	77.78%	54.34%	55.97%	37.09%	52.02%	35.64%	51.47%	59.04%	65.20%	56.30%	37.39%	40.18%	40.15%	42.93%	45.23%	43.29%	40.76%	48.83%	48.41%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	45	2	0	0	0	0	0	4	0	1	0	0	0	0	1	2	1	0	2	0	1	3	1	4	10	2	1	3	2	5					
		0.45%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.66%	1.01%	0.53%	0.00%	0.38%	0.00%	0.74%	0.64%	0.18%	0.44%	1.59%	0.32%	0.19%	0.60%	0.52%	1.98%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
