14	Число неиспользованных открепительных удостоверений	74	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	12	0	1	4	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	5	0	3	2	1	2	0	4	0	0	0	0	2	0	0	1	0	5	1	0	0	0	0	3	0	4	1	1	0	0	0	4	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	205	0	2	4	1	5	1	4	0	0	2	1	3	0	1	6	0	2	2	0	5	3	6	10	3	1	3	2	7	7	1	5	3	9	3	2	2	3	4	2	1	0	3	3	1	0	2	3	3	4	3	2	4	3	3	0	9	9	5	1	5	0	2	4	1	2	4	0	2	1	0	0	1	0	2	0	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																										
19	Жириновский Владимир Вольфович	6524	51	55	42	49	85	93	98	109	77	72	53	130	47	42	112	88	33	136	89	85	71	105	76	82	63	70	61	70	78	107	72	63	126	80	88	57	83	67	55	93	60	62	79	71	60	66	79	65	103	86	68	88	81	81	75	91	77	100	96	61	68	78	86	65	64	54	49	92	18	29	33	13	11	152	9	117	115	73	99	28	27	34	50	15	30	37	28	83	40	61	12	40	70	53	29									
		6.18%	5.19%	6.26%	4.73%	4.74%	5.97%	6.49%	8.06%	6.77%	7.26%	7.64%	6.08%	8.76%	6.62%	5.22%	7.82%	7.20%	5.56%	7.50%	7.18%	6.61%	4.91%	6.62%	5.81%	4.98%	4.33%	7.12%	5.39%	5.31%	6.33%	7.10%	6.24%	5.66%	7.25%	5.91%	5.53%	5.18%	6.04%	5.08%	6.28%	5.91%	5.62%	5.34%	5.72%	7.51%	6.06%	5.36%	5.96%	8.40%	6.50%	6.99%	7.23%	5.77%	6.67%	5.83%	5.17%	4.97%	5.07%	5.79%	5.35%	6.82%	5.70%	4.68%	5.52%	6.57%	7.69%	3.78%	5.45%	5.78%	3.48%	5.30%	6.40%	6.22%	4.03%	8.33%	4.19%	7.46%	7.48%	5.63%	7.66%	5.04%	5.61%	4.63%	5.72%	4.27%	5.78%	10.08%	7.63%	7.57%	7.77%	7.24%	10.00%	5.02%	6.69%	5.81%	7.25%									
20	Зюганов Геннадий Андреевич	20809	176	145	140	196	310	302	273	353	196	184	184	295	159	152	262	245	84	357	288	274	345	243	265	428	270	204	231	259	280	363	222	199	294	272	317	164	284	221	183	317	216	262	303	210	248	259	254	167	324	311	189	342	264	317	296	372	330	307	442	219	222	327	311	201	184	278	187	261	93	62	69	22	53	281	35	280	233	199	189	89	71	144	146	57	83	76	78	231	91	178	29	90	177	164	50									
		19.70%	17.90%	16.51%	15.77%	18.97%	21.78%	21.09%	22.45%	21.94%	18.49%	19.51%	21.10%	19.88%	22.39%	18.91%	18.30%	20.05%	14.14%	19.69%	23.24%	21.31%	23.86%	15.31%	20.26%	25.97%	18.56%	20.75%	20.41%	19.64%	22.71%	24.09%	19.25%	17.86%	16.92%	20.09%	19.92%	14.91%	20.67%	16.77%	20.89%	20.14%	20.24%	22.59%	21.94%	22.22%	25.05%	21.04%	19.17%	21.58%	20.44%	25.31%	20.09%	22.41%	21.73%	22.81%	20.40%	20.33%	21.71%	17.78%	24.62%	24.47%	18.61%	19.64%	19.96%	20.30%	22.12%	19.45%	20.80%	16.38%	17.99%	11.33%	13.37%	10.53%	19.41%	15.41%	16.28%	17.85%	15.16%	15.35%	14.62%	16.01%	14.76%	19.59%	16.70%	16.24%	15.99%	20.71%	21.25%	21.06%	17.67%	21.12%	24.17%	11.29%	16.92%	17.98%	12.50%									
21	Миронов Сергей Михайлович	4652	44	44	37	47	68	53	54	77	48	37	37	60	37	30	49	46	37	60	55	64	67	68	84	70	77	51	51	58	66	86	49	53	72	56	69	36	70	72	46	87	37	58	64	45	43	74	69	35	89	67	41	72	59	51	53	48	86	64	90	49	62	94	94	40	33	51	36	44	22	12	17	12	16	70	5	71	61	37	43	22	13	18	24	11	19	17	15	36	19	46	2	30	38	44	12									
		4.40%	4.48%	5.01%	4.17%	4.55%	4.78%	3.70%	4.44%	4.79%	4.53%	3.92%	4.24%	4.04%	5.21%	3.73%	3.42%	3.76%	6.23%	3.31%	4.44%	4.98%	4.63%	4.28%	6.42%	4.25%	5.29%	5.19%	4.51%	4.40%	5.35%	5.71%	4.25%	4.76%	4.14%	4.14%	4.34%	3.27%	5.09%	5.46%	5.25%	5.53%	3.47%	5.00%	4.63%	4.76%	4.34%	6.01%	5.21%	4.52%	5.62%	5.45%	4.36%	4.72%	4.86%	3.67%	3.65%	2.62%	5.66%	3.71%	5.01%	5.47%	5.20%	5.65%	6.03%	4.04%	3.97%	3.57%	4.00%	2.76%	4.26%	2.19%	3.29%	5.74%	5.86%	3.84%	2.33%	4.53%	3.97%	2.85%	3.33%	3.96%	2.70%	2.45%	2.75%	3.13%	3.66%	4.63%	4.09%	3.28%	3.69%	5.46%	1.67%	3.76%	3.63%	4.82%	3.00%									
22	Прохоров Михаил Дмитриевич	16875	224	146	135	152	232	170	194	218	134	129	116	224	110	108	212	147	80	215	173	261	222	283	198	276	353	116	197	254	188	197	219	220	223	312	383	305	166	145	144	257	212	171	184	122	127	206	187	102	276	184	136	251	162	206	243	354	269	441	376	142	199	373	255	199	144	267	217	381	95	67	100	40	44	225	29	196	133	130	153	66	57	106	62	40	81	62	50	140	64	109	19	57	145	169	12									
		15.97%	22.79%	16.63%	15.20%	14.71%	16.30%	11.87%	15.95%	13.55%	12.64%	13.68%	13.30%	15.09%	15.49%	13.43%	14.80%	12.03%	13.47%	11.86%	13.96%	20.30%	15.35%	17.83%	15.14%	16.75%	24.26%	11.80%	17.40%	19.26%	15.25%	13.07%	18.99%	19.75%	12.83%	23.04%	24.07%	27.73%	12.08%	11.00%	16.44%	16.33%	19.87%	14.74%	13.32%	12.91%	12.83%	16.73%	14.11%	13.18%	17.41%	14.97%	14.45%	16.45%	13.33%	14.82%	16.75%	19.34%	17.70%	25.54%	20.95%	15.87%	16.68%	22.40%	16.37%	20.10%	17.31%	18.68%	24.14%	23.92%	18.38%	12.25%	19.38%	19.14%	16.12%	12.34%	13.49%	12.49%	8.65%	10.03%	11.83%	11.87%	11.85%	14.42%	7.09%	11.40%	15.61%	16.89%	13.62%	12.76%	12.43%	12.93%	15.83%	7.15%	13.86%	18.53%	3.00%									
23	Путин Владимир Владимирович	54982	472	471	510	571	704	792	577	832	588	488	445	755	341	460	769	671	346	1016	616	585	711	862	658	761	669	530	570	642	611	721	567	563	980	615	702	520	751	795	433	799	527	588	726	475	493	602	720	397	772	564	492	744	637	709	753	946	728	788	749	411	626	768	793	471	390	758	395	790	283	370	290	118	145	1064	135	883	965	842	787	343	302	423	584	223	300	166	190	575	295	440	57	571	594	467	289									
		52.05%	48.02%	53.64%	57.43%	55.28%	49.47%	55.31%	47.45%	51.71%	55.47%	51.75%	51.03%	50.88%	48.03%	57.21%	53.70%	54.91%	58.25%	56.04%	49.72%	45.49%	49.17%	54.32%	50.31%	46.18%	45.98%	53.92%	50.35%	48.67%	49.55%	47.84%	49.18%	50.54%	56.39%	45.42%	44.12%	47.27%	54.66%	60.32%	49.43%	50.76%	49.39%	50.69%	52.57%	50.26%	49.80%	48.90%	54.34%	51.29%	48.71%	45.89%	52.28%	48.75%	52.43%	51.01%	51.90%	51.69%	47.89%	45.63%	41.73%	45.92%	52.47%	46.13%	50.90%	47.58%	46.88%	53.04%	43.94%	49.59%	54.74%	67.64%	56.20%	56.46%	53.11%	58.33%	62.79%	56.28%	62.78%	64.97%	60.87%	61.69%	62.79%	57.55%	66.82%	63.53%	57.80%	45.23%	51.77%	52.42%	57.28%	52.19%	47.50%	71.64%	56.79%	51.21%	72.25%									
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
