Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Ейская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1499					
1	"Число избирателей, внесенных в список"	71709	1614	1664	1980	2315	1856	1831	2177	2150	1472	1518	1419	1883	1303	2320	1720	1682	2130	1610	2287	1535	1431	2063	2234	2538	1650	2308	2627	2164	1813	1821	357	2329	1841	2995	2347	1088	1274	1212	764	387					
2	Число полученных избирательных бюллетеней	75394	1683	1694	2103	2342	1856	1943	2200	2257	1509	1583	1467	1973	1368	2337	1777	1792	2336	1693	2367	1627	1484	2042	2333	2772	1994	2270	2791	2341	1992	1788	358	2544	1921	3429	2521	1098	1425	1297	687	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42128	1048	1089	1331	1376	1039	1135	1164	1354	790	829	772	1113	668	1336	979	975	1159	1025	1346	891	807	1167	1150	1729	981	1258	1622	1258	1177	903	216	1452	1066	1444	1802	654	853	713	378	79					
5	"Число избирательных бюллетеней, выданных вне помещения"	5051	48	23	17	95	125	90	115	107	61	100	163	108	130	99	163	87	128	124	118	86	86	97	146	110	41	90	52	121	185	176	50	40	65	1263	31	33	60	67	81	270					
6	Число погашенных избирательных бюллетеней	28215	587	582	755	871	692	718	921	796	658	654	532	752	570	902	635	730	1049	544	903	650	591	778	1037	933	972	922	1117	962	630	709	92	1052	790	722	688	411	512	517	228	51					
7	Число избирательных бюллетеней в переносных ящиках	5051	48	23	17	95	125	90	115	107	61	100	163	108	130	99	163	87	128	124	118	86	86	97	146	110	41	90	52	121	185	176	50	40	65	1263	31	33	60	67	81	270					
8	Число бюллетеней в стационарных ящиках для голосования	42095	1047	1073	1330	1374	1039	1135	1164	1354	790	829	772	1113	668	1336	979	975	1159	1025	1346	890	807	1167	1148	1729	981	1258	1617	1258	1174	903	216	1452	1066	1444	1801	654	853	713	378	78					
9	Число недействительных избирательных бюллетеней	296	4	7	6	3	14	7	7	7	10	5	7	7	3	12	10	9	14	10	4	6	7	7	7	8	4	10	4	16	7	12	2	8	7	12	6	2	8	10	2	5					
10	Число действительных избирательных бюллетеней	46850	1091	1089	1341	1466	1150	1218	1272	1454	841	924	928	1214	795	1423	1132	1053	1273	1139	1460	970	886	1257	1287	1831	1018	1338	1665	1363	1352	1067	264	1484	1124	2695	1826	685	905	770	457	343					
11	Число полученных открепительных  удостоверений	1150	34	25	37	35	30	25	34	30	25	25	20	30	18	25	18	24	30	25	30	25	20	30	35	40	30	33	40	30	30	25	6	38	28	30	124	16	21	19	10	0					
12	Число выданных открепительных удостоверений	708	27	20	36	23	15	11	14	22	10	10	13	22	7	14	7	15	13	17	18	6	8	20	23	21	13	19	25	13	11	8	2	22	14	29	123	9	8	16	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	932	13	17	8	15	17	18	16	12	7	32	30	24	9	13	13	8	13	10	18	19	12	13	15	23	14	19	30	3	5	14	1	17	10	362	14	14	14	9	21	10					
14	Число неиспользованных открепительных удостоверений	442	7	5	1	12	15	14	20	8	15	15	7	8	11	11	11	9	17	8	12	19	12	10	12	19	17	14	15	17	19	17	4	16	14	1	1	7	13	3	6	0					
15	"Число открепительных удостоверений, выданных в ТИК"	37	3	0	0	0	3	1	1	1	1	0	1	3	0	0	0	3	0	0	2	0	1	1	0	0	0	0	3	1	0	3	0	1	0	1	3	0	4	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	3408	174	145	158	145	155	108	91	135	60	58	63	67	37	113	104	98	113	101	99	61	44	95	80	128	48	61	136	72	64	41	10	72	64	106	97	55	46	61	22	21					
		7.23%	15.89%	13.23%	11.73%	9.87%	13.32%	8.82%	7.11%	9.24%	7.05%	6.24%	6.74%	5.49%	4.64%	7.87%	9.11%	9.23%	8.78%	8.79%	6.76%	6.25%	4.93%	7.52%	6.18%	6.96%	4.70%	4.53%	8.15%	5.22%	4.71%	3.80%	3.76%	4.83%	5.66%	3.92%	5.29%	8.01%	5.04%	7.82%	4.79%	6.03%					
19	. Малышкин Олег Александрович	1020	12	14	27	22	28	19	28	31	27	16	13	23	15	39	26	20	24	26	33	22	13	33	28	36	27	32	27	36	33	15	8	39	34	60	48	12	25	29	12	8					
		2.16%	1.10%	1.28%	2.00%	1.50%	2.41%	1.55%	2.19%	2.12%	3.17%	1.72%	1.39%	1.88%	1.88%	2.72%	2.28%	1.88%	1.86%	2.26%	2.25%	2.25%	1.46%	2.61%	2.16%	1.96%	2.64%	2.37%	1.62%	2.61%	2.43%	1.39%	3.01%	2.61%	3.01%	2.22%	2.62%	1.75%	2.74%	3.72%	2.61%	2.30%					
20	. Миронов Сергей Михайлович	276	3	5	7	10	5	3	8	9	3	1	7	11	1	5	7	11	9	10	7	12	6	1	8	14	6	12	9	10	14	9	1	7	5	15	7	3	4	6	2	3					
		0.59%	0.27%	0.46%	0.52%	0.68%	0.43%	0.24%	0.63%	0.62%	0.35%	0.11%	0.75%	0.90%	0.13%	0.35%	0.61%	1.04%	0.70%	0.87%	0.48%	1.23%	0.67%	0.08%	0.62%	0.76%	0.59%	0.89%	0.54%	0.73%	1.03%	0.83%	0.38%	0.47%	0.44%	0.55%	0.38%	0.44%	0.44%	0.77%	0.44%	0.86%					
21	. Путин Владимир Владимирович	29794	626	632	838	896	697	769	757	886	503	578	592	800	532	904	705	668	792	636	912	608	577	748	781	1074	632	825	1041	861	827	705	193	933	675	2215	1381	455	530	468	305	237					
