Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Тес-Хемская														
														
Итоги голосования 														
														
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146					
1	"Число избирателей, внесенных в список"	4624	1694	517	704	401	248	500	560					
2	Число полученных избирательных бюллетеней	4833	1681	572	705	415	271	582	607					
3	"Число избирательных бюллетеней, выданных  досрочно"	396	0	93	60	0	23	90	130					
4	"Число избирательных бюллетеней, выданных в день голосования"	2996	1015	394	431	282	199	276	399					
5	"Число избирательных бюллетеней, выданных вне помещения"	210	105	8	20	37	5	25	10					
6	Число погашенных избирательных бюллетеней	1231	561	77	194	96	44	191	68					
7	Число избирательных бюллетеней в переносных ящиках	606	105	101	80	37	28	115	140					
8	Число бюллетеней в стационарных ящиках для голосования	2995	1015	394	431	282	199	275	399					
9	Число недействительных избирательных бюллетеней	38	8	6	10	5	0	3	6					
10	Число действительных избирательных бюллетеней	3563	1112	489	501	314	227	387	533					
11	Число полученных открепительных  удостоверений	90	30	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	45	30	0	6	5	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	8	3	1	3	4	16	27					
14	Число неиспользованных открепительных удостоверений	45	0	10	4	5	10	9	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	16	7	1	2	1	0	1	4					
		0.44%	0.62%	0.20%	0.39%	0.31%	0.00%	0.26%	0.74%					
19	. Малышкин Олег Александрович	9	0	1	2	4	0	1	1					
		0.25%	0.00%	0.20%	0.39%	1.25%	0.00%	0.26%	0.19%					
20	. Миронов Сергей Михайлович	19	5	2	2	0	1	5	4					
		0.53%	0.45%	0.40%	0.39%	0.00%	0.44%	1.28%	0.74%					
21	. Путин Владимир Владимирович	3363	1040	467	475	290	221	364	506					
		93.39%	92.86%	94.34%	92.95%	90.91%	97.36%	93.33%	93.88%					
22	. Хакамада Ирина Муцуовна	53	20	12	2	0	5	6	8					
		1.47%	1.79%	2.42%	0.39%	0.00%	2.20%	1.54%	1.48%					
23	. Харитонов Николай Михайлович	93	38	6	17	18	0	7	7					
		2.58%	3.39%	1.21%	3.33%	5.64%	0.00%	1.79%	1.30%					
														
24	Против всех	10	2	0	1	1	0	3	3					
		0.28%	0.18%	0.00%	0.20%	0.31%	0.00%	0.77%	0.56%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
