Выборы Президента Российской Федерации																																																				
Дата голосования: 04.03.2012																																																				
																																																				
Наименование Избирательной комиссии:    Ардатовская																																																				
																																																				
Сводная таблица итогов голосования																																																				
																																																				
	Число участковых избирательных комиссий	41																																																		
	Число участковых избирательных комиссий, приступивших к передаче сведений	41																																																		
																																																				
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41									
20	Зюганов Геннадий Андреевич	731	37	31	142	40	30	60	42	80	91	4	15	8	2	5	6	3	13	2	7	3	2	7	5	6	7	3	2	6	3	10	7	4	21	3	5	2	3	3	2	3	6									
		3.39%	2.76%	2.52%	11.82%	2.08%	2.64%	8.78%	5.89%	6.96%	8.23%	0.81%	1.09%	2.76%	0.82%	1.16%	2.22%	3.26%	2.84%	1.44%	5.43%	2.07%	1.26%	3.93%	0.83%	1.99%	2.66%	1.38%	1.65%	3.75%	0.82%	1.91%	0.97%	1.30%	2.98%	1.91%	2.40%	0.95%	1.24%	1.36%	1.82%	0.51%	0.95%									
21	Миронов Сергей Михайлович	90	9	3	3	5	5	6	6	10	11	2	6	0	1	0	2	0	1	2	2	1	0	2	2	1	0	0	0	0	1	0	3	0	2	0	0	1	0	0	0	1	2									
		0.42%	0.67%	0.24%	0.25%	0.26%	0.44%	0.88%	0.84%	0.87%	0.99%	0.41%	0.44%	0.00%	0.41%	0.00%	0.74%	0.00%	0.22%	1.44%	1.55%	0.69%	0.00%	1.12%	0.33%	0.33%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.42%	0.00%	0.28%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.17%	0.32%									
22	Прохоров Михаил Дмитриевич	93	2	1	6	2	7	3	3	14	28	2	3	4	1	0	1	0	1	1	3	0	2	1	1	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	1									
		0.43%	0.15%	0.08%	0.50%	0.10%	0.62%	0.44%	0.42%	1.22%	2.53%	0.41%	0.22%	1.38%	0.41%	0.00%	0.37%	0.00%	0.22%	0.72%	2.33%	0.00%	1.26%	0.56%	0.17%	0.33%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.28%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.16%									
23	Путин Владимир Владимирович	20423	1276	1179	1030	1865	1078	606	654	1041	963	481	1344	275	239	416	260	87	438	132	107	139	147	166	594	292	255	213	118	153	356	514	707	301	678	153	199	207	238	217	108	579	618									
		94.80%	95.29%	95.85%	85.76%	96.88%	94.98%	88.73%	91.73%	90.52%	87.07%	97.57%	97.75%	94.83%	97.55%	96.30%	96.30%	94.57%	95.84%	94.96%	82.95%	95.86%	92.45%	93.26%	98.34%	96.69%	96.96%	98.16%	97.52%	95.63%	97.80%	98.09%	97.92%	98.05%	96.17%	97.45%	95.67%	98.10%	98.35%	98.19%	98.18%	98.81%	97.48%									
																																																				
																																																				
