Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Ардатовская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47					
1	"Число избирателей, внесенных в список"	24190	768	747	1106	1249	1213	1263	748	983	880	1045	1106	513	1513	181	218	270	90	370	274	752	313	112	196	201	562	572	81	341	286	149	168	424	581	231	714	174	342	787	217	57	191	78	320	255	115	664	770					
2	Число полученных избирательных бюллетеней	24332	777	745	1110	1237	1220	1260	750	980	890	1040	1130	515	1530	188	215	276	95	370	278	760	315	117	195	205	562	585	81	340	287	149	182	420	583	235	705	174	345	790	223	60	196	80	324	257	116	675	765					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21799	719	675	975	999	1054	1108	650	897	778	953	949	495	1374	169	183	223	59	359	261	734	279	101	180	192	519	444	81	327	268	149	152	413	544	192	684	131	331	741	203	52	185	73	304	248	106	588	698					
5	"Число избирательных бюллетеней, выданных вне помещения"	1458	15	61	57	136	104	82	65	37	41	15	64	0	57	10	29	46	31	7	10	11	31	10	13	7	39	104	0	10	15	0	16	6	35	37	10	43	7	34	8	4	5	5	13	5	7	52	64					
6	Число погашенных избирательных бюллетеней	1075	43	9	78	102	62	70	35	46	71	72	117	20	99	9	3	7	5	4	7	15	5	6	2	6	4	37	0	3	4	0	14	1	4	6	11	0	7	15	12	4	6	2	7	4	3	35	3					
7	Число избирательных бюллетеней в переносных ящиках	1458	15	61	57	136	104	82	65	37	41	15	64	0	57	10	29	46	31	7	10	11	31	10	13	7	39	104	0	10	15	0	16	6	35	37	10	43	7	34	8	4	5	5	13	5	7	52	64					
8	Число бюллетеней в стационарных ящиках для голосования	21799	719	675	975	999	1054	1108	650	897	778	953	949	495	1374	169	183	223	59	359	261	734	279	101	180	192	519	444	81	327	268	149	152	413	544	192	684	131	331	741	203	52	185	73	304	248	106	588	698					
9	Число недействительных избирательных бюллетеней	81	0	0	2	7	4	3	2	4	3	2	2	1	2	2	0	0	0	0	0	0	0	1	2	0	0	1	0	2	1	0	0	2	2	0	0	0	0	3	0	0	0	0	0	9	0	22	2					
10	Число действительных избирательных бюллетеней	23176	734	736	1030	1128	1154	1187	713	930	816	966	1011	494	1429	177	212	269	90	366	271	745	310	110	191	199	558	547	81	335	282	149	168	417	577	229	694	174	338	772	211	56	190	78	317	244	113	618	760					
