Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Трехгорная городская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918					
1	"Число избирателей, внесенных в список"	27705	1614	1523	1764	1730	1704	1511	1938	1818	1899	1793	1929	2389	2562	1942	1589					
2	Число полученных избирательных бюллетеней	25140	1455	1410	1620	1585	1575	1395	1790	1655	1725	1650	1775	2080	2100	1775	1550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20349	1109	1178	1244	1232	1324	1162	1497	1338	1389	1372	1403	1548	1742	1418	1393					
5	"Число избирательных бюллетеней, выданных вне помещения"	1179	89	37	84	43	25	48	33	23	27	37	22	331	283	33	64					
6	Число погашенных избирательных бюллетеней	3612	257	195	292	310	226	185	260	294	309	241	350	201	75	324	93					
7	Число избирательных бюллетеней в переносных ящиках	1179	89	37	84	43	25	48	33	23	27	37	22	331	283	33	64					
8	Число бюллетеней в стационарных ящиках для голосования	20340	1109	1177	1244	1232	1323	1162	1495	1338	1389	1371	1403	1545	1741	1418	1393					
9	Число недействительных избирательных бюллетеней	142	5	6	12	11	7	13	15	6	12	12	8	14	4	13	4					
10	Число действительных избирательных бюллетеней	21377	1193	1208	1316	1264	1341	1197	1513	1355	1404	1396	1417	1862	2020	1438	1453					
11	Число полученных открепительных  удостоверений	470	25	40	40	20	20	20	25	25	20	25	25	95	20	20	50					
12	Число выданных открепительных удостоверений	289	16	19	16	8	14	4	13	13	14	10	12	84	18	17	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	1	3	1	8	2	1	2	5	5	2	4	2	7	0	6					
14	Число неиспользованных открепительных удостоверений	181	9	21	24	12	6	16	12	12	6	15	13	11	2	3	19					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	3	0	1	2	0	0	1	1	0	2	0	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	909	44	68	56	54	64	52	76	70	67	68	76	44	60	69	41					
		4.22%	3.67%	5.60%	4.22%	4.24%	4.75%	4.30%	4.97%	5.14%	4.73%	4.83%	5.33%	2.35%	2.96%	4.76%	2.81%					
19	. Малышкин Олег Александрович	718	42	29	46	60	45	49	54	66	44	51	51	42	75	46	18					
		3.34%	3.51%	2.39%	3.46%	4.71%	3.34%	4.05%	3.53%	4.85%	3.11%	3.62%	3.58%	2.24%	3.71%	3.17%	1.24%					
20	. Миронов Сергей Михайлович	171	15	9	10	17	14	5	9	9	17	2	12	17	16	15	4					
		0.79%	1.25%	0.74%	0.75%	1.33%	1.04%	0.41%	0.59%	0.66%	1.20%	0.14%	0.84%	0.91%	0.79%	1.03%	0.27%					
21	. Путин Владимир Владимирович	14696	767	797	925	813	927	804	961	900	950	931	948	1400	1372	930	1271					
		68.29%	64.02%	65.65%	69.65%	63.76%	68.77%	66.45%	62.89%	66.13%	67.09%	66.12%	66.53%	74.63%	67.79%	64.09%	87.23%					
22	. Хакамада Ирина Муцуовна	981	63	58	40	71	63	56	94	64	70	62	72	61	111	62	34					
		4.56%	5.26%	4.78%	3.01%	5.57%	4.67%	4.63%	6.15%	4.70%	4.94%	4.40%	5.05%	3.25%	5.48%	4.27%	2.33%					
23	. Харитонов Николай Михайлович	2621	196	198	150	156	162	175	219	136	161	202	168	212	227	209	50					
		12.18%	16.36%	16.31%	11.30%	12.24%	12.02%	14.46%	14.33%	9.99%	11.37%	14.35%	11.79%	11.30%	11.22%	14.40%	3.43%					
																						
24	Против всех	1281	66	49	89	93	66	56	100	110	95	80	90	86	159	107	35					
		5.95%	5.51%	4.04%	6.70%	7.29%	4.90%	4.63%	6.54%	8.08%	6.71%	5.68%	6.32%	4.58%	7.86%	7.37%	2.40%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
