Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Кропоткинская городская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435					
1	"Число избирателей, внесенных в список"	57289	1338	2502	1503	2586	2023	1604	1352	1106	2003	1590	2612	1532	1801	1807	1263	1635	1773	2118	1801	1000	1277	1747	1501	1302	2094	1042	2098	1022	2666	2529	919	843	952	1100	1248					
2	Число полученных избирательных бюллетеней	56050	1200	2500	1500	2500	2000	1600	1350	1000	1900	1550	2700	1500	1800	1800	1300	1600	1800	2000	1800	1000	1200	1700	1500	1300	2000	1000	2000	1000	2500	2500	900	800	950	1100	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36883	709	1452	893	1689	1217	977	846	589	1297	1161	1620	1213	1245	1445	854	1015	1319	1381	1105	666	786	1009	936	843	1443	637	1231	776	1934	1672	557	539	483	672	672					
5	"Число избирательных бюллетеней, выданных вне помещения"	4309	172	152	114	105	100	236	151	246	175	110	404	152	112	49	38	63	48	73	124	67	116	186	54	46	53	104	193	88	169	102	32	47	259	53	116					
6	Число погашенных избирательных бюллетеней	14858	319	896	493	706	683	387	353	165	428	279	676	135	443	306	408	522	433	546	571	267	298	505	510	411	504	259	576	136	397	726	311	214	208	375	412					
7	Число избирательных бюллетеней в переносных ящиках	4309	172	152	114	105	100	236	151	246	175	110	404	152	112	49	38	63	48	73	124	67	116	186	54	46	53	104	193	88	169	102	32	47	259	53	116					
8	Число бюллетеней в стационарных ящиках для голосования	36883	709	1452	893	1689	1217	977	846	589	1297	1161	1620	1213	1245	1445	854	1015	1319	1381	1105	666	786	1009	936	843	1443	637	1231	776	1934	1672	557	539	483	672	672					
9	Число недействительных избирательных бюллетеней	210	4	7	4	6	6	12	11	8	6	5	14	4	0	3	1	4	8	12	5	6	0	9	6	20	0	6	12	7	0	9	7	0	1	0	7					
10	Число действительных избирательных бюллетеней	40982	877	1597	1003	1788	1311	1201	986	827	1466	1266	2010	1361	1357	1491	891	1074	1359	1442	1224	727	902	1186	984	869	1496	735	1412	857	2103	1765	582	586	741	725	781					
