Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Катав-Ивановская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997					
1	"Число избирателей, внесенных в список"	29939	1316	1063	1093	1313	493	1300	1200	1248	451	524	1240	558	185	1791	1353	572	1326	1815	1212	1267	1940	1461	1335	1075	86	112	267	543	300	280	368	507	155	94	96					
2	Число полученных избирательных бюллетеней	26950	1160	960	970	1170	440	1180	1100	1070	400	470	1090	500	160	1620	1190	500	1190	1640	1140	1120	1690	1340	1190	960	80	110	240	490	280	270	370	500	160	100	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16728	704	658	583	817	289	788	615	666	236	301	587	251	119	981	690	298	648	986	740	802	1043	710	754	592	65	78	173	380	175	177	266	282	121	77	76					
5	"Число избирательных бюллетеней, выданных вне помещения"	1055	46	24	67	44	15	36	33	151	9	37	42	38	11	25	66	28	37	19	13	11	71	50	20	19	4	4	15	13	35	34	13	21	1	0	3					
6	Число погашенных избирательных бюллетеней	9166	410	278	320	309	136	356	452	253	155	132	460	211	30	614	434	174	505	635	387	307	576	580	416	349	11	28	52	97	70	59	91	197	38	23	21					
7	Число избирательных бюллетеней в переносных ящиках	1055	46	24	67	44	15	36	33	151	9	37	42	38	11	25	66	28	37	19	13	11	71	50	20	19	4	4	15	13	35	34	13	21	1	0	3					
8	Число бюллетеней в стационарных ящиках для голосования	16718	704	658	573	817	289	788	615	666	236	301	587	251	119	981	690	298	648	986	740	802	1043	710	754	592	65	78	173	380	175	177	266	282	121	77	76					
9	Число недействительных избирательных бюллетеней	172	6	5	7	7	2	6	4	3	5	5	5	6	1	13	4	5	6	9	14	14	9	5	8	7	0	0	1	1	2	5	0	3	3	1	0					
10	Число действительных избирательных бюллетеней	17601	744	677	633	854	302	818	644	814	240	333	624	283	129	993	752	321	679	996	739	799	1105	755	766	604	69	82	187	392	208	206	279	300	119	76	79					
