Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Гайнская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №4801	УИК №4802	УИК №4803	УИК №4804	УИК №4805	УИК №4806	УИК №4807	УИК №4808	УИК №4809	УИК №4810	УИК №4811	УИК №4812	УИК №4813	УИК №4814	УИК №4815	УИК №4816	УИК №4817	УИК №4818	УИК №4819	УИК №4820	УИК №4821	УИК №4822	УИК №4823	УИК №4824	УИК №4825	УИК №4826	УИК №4827	УИК №4828	УИК №4829					
1	"Число избирателей, внесенных в список"	11937	912	746	1066	487	676	209	70	64	122	250	149	634	125	412	668	131	164	750	104	268	266	681	223	179	166	305	563	931	616					
2	Число полученных избирательных бюллетеней	12050	877	758	1061	492	676	212	72	69	123	253	182	660	123	422	676	131	166	750	104	270	266	696	227	183	166	320	565	936	614					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6514	415	429	533	243	372	125	48	45	79	152	69	330	65	241	399	70	111	428	66	154	101	297	141	126	126	185	289	535	340					
5	"Число избирательных бюллетеней, выданных вне помещения"	777	57	38	16	20	53	41	5	7	15	9	37	33	13	32	57	4	0	31	12	0	33	92	11	15	9	9	33	52	43					
6	Число погашенных избирательных бюллетеней	4759	405	291	512	229	251	46	19	17	29	92	76	297	45	149	220	57	55	291	26	116	132	307	75	42	31	126	243	349	231					
7	Число избирательных бюллетеней в переносных ящиках	777	57	38	16	20	53	41	5	7	15	9	37	33	13	32	57	4	0	31	12	0	33	92	11	15	9	9	33	52	43					
8	Число бюллетеней в стационарных ящиках для голосования	6513	415	428	533	243	372	125	48	45	79	152	69	330	65	241	399	70	111	428	66	154	101	297	141	126	126	185	289	535	340					
9	Число недействительных избирательных бюллетеней	100	5	3	11	3	3	5	2	0	2	4	2	0	6	4	6	0	2	4	0	2	3	6	0	1	0	3	4	9	10					
10	Число действительных избирательных бюллетеней	7190	467	463	538	260	422	161	51	52	92	157	104	363	72	269	450	74	109	455	78	152	131	383	152	140	135	191	318	578	373					
11	Число полученных открепительных  удостоверений	285	20	20	20	5	15	5	3	3	3	5	30	10	3	5	15	5	5	15	3	5	5	15	10	5	5	5	15	15	15					
12	Число выданных открепительных удостоверений	88	9	10	5	1	8	2	0	0	0	2	26	4	0	3	3	0	1	0	0	0	0	2	0	0	0	1	3	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	14	2	1	0	6	1	0	0	1	2	0	2	4	2	2	1	1	0	1	1	1	0	0	0	0	1	1	2	1					
14	Число неиспользованных открепительных удостоверений	197	11	10	15	4	7	3	3	3	3	3	4	6	3	2	12	5	4	15	3	5	5	13	10	5	5	4	12	10	12					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	129	15	13	27	5	9	1	1	0	1	1	0	4	0	3	2	2	0	5	1	1	1	12	1	3	0	4	1	7	9					
		1.77%	3.18%	2.79%	4.92%	1.90%	2.12%	0.60%	1.89%	0.00%	1.06%	0.62%	0.00%	1.10%	0.00%	1.10%	0.44%	2.70%	0.00%	1.09%	1.28%	0.65%	0.75%	3.08%	0.66%	2.13%	0.00%	2.06%	0.31%	1.19%	2.35%					
19	. Малышкин Олег Александрович	104	8	6	3	3	6	0	1	0	3	1	3	2	4	7	8	2	2	4	2	1	0	5	2	2	1	1	8	13	6					
		1.43%	1.69%	1.29%	0.55%	1.14%	1.41%	0.00%	1.89%	0.00%	3.19%	0.62%	2.83%	0.55%	5.13%	2.56%	1.75%	2.70%	1.80%	0.87%	2.56%	0.65%	0.00%	1.29%	1.32%	1.42%	0.74%	0.52%	2.48%	2.21%	1.57%					
20	. Миронов Сергей Михайлович	52	6	2	2	2	1	1	0	0	5	0	0	4	1	1	2	0	0	4	0	0	0	5	2	2	0	2	3	3	4					
		0.71%	1.27%	0.43%	0.36%	0.76%	0.24%	0.60%	0.00%	0.00%	5.32%	0.00%	0.00%	1.10%	1.28%	0.37%	0.44%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	1.29%	1.32%	1.42%	0.00%	1.03%	0.93%	0.51%	1.04%					
21	. Путин Владимир Владимирович	6219	378	380	439	234	376	151	41	50	51	128	98	306	66	237	411	70	96	416	67	146	124	304	143	121	131	179	285	495	296					
		85.31%	80.08%	81.55%	79.96%	88.97%	88.47%	90.96%	77.36%	96.15%	54.26%	79.50%	92.45%	84.30%	84.62%	86.81%	90.13%	94.59%	86.49%	90.63%	85.90%	94.81%	92.54%	78.15%	94.08%	85.82%	97.04%	92.27%	88.51%	84.33%	77.28%					
22	. Хакамада Ирина Муцуовна	100	7	11	11	2	7	4	0	0	1	2	0	6	0	1	1	0	0	7	1	2	1	12	0	4	0	1	8	3	8					
		1.37%	1.48%	2.36%	2.00%	0.76%	1.65%	2.41%	0.00%	0.00%	1.06%	1.24%	0.00%	1.65%	0.00%	0.37%	0.22%	0.00%	0.00%	1.53%	1.28%	1.30%	0.75%	3.08%	0.00%	2.84%	0.00%	0.52%	2.48%	0.51%	2.09%					
23	. Харитонов Николай Михайлович	520	48	42	53	11	18	2	8	2	30	24	1	41	1	17	20	0	11	18	5	2	4	41	2	6	2	4	11	47	49					
		7.13%	10.17%	9.01%	9.65%	4.18%	4.24%	1.20%	15.09%	3.85%	31.91%	14.91%	0.94%	11.29%	1.28%	6.23%	4.39%	0.00%	9.91%	3.92%	6.41%	1.30%	2.99%	10.54%	1.32%	4.26%	1.48%	2.06%	3.42%	8.01%	12.79%					
																																				
24	Против всех	66	5	9	3	3	5	2	0	0	1	1	2	0	0	3	6	0	0	1	2	0	1	4	2	2	1	0	2	10	1					
		0.91%	1.06%	1.93%	0.55%	1.14%	1.18%	1.20%	0.00%	0.00%	1.06%	0.62%	1.89%	0.00%	0.00%	1.10%	1.32%	0.00%	0.00%	0.22%	2.56%	0.00%	0.75%	1.03%	1.32%	1.42%	0.74%	0.00%	0.62%	1.70%	0.26%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
