Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Белокатайская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945					
		0.75%	0.24%	0.38%	0.69%	0.00%	0.37%	0.00%	0.52%	0.00%	2.60%	1.40%	0.19%	0.81%	0.00%	0.23%	1.09%	0.00%	0.61%	1.91%	0.00%	0.00%	0.39%	0.00%	0.00%	1.38%	1.53%	0.60%					
19	. Малышкин Олег Александрович	76	1	1	1	0	1	2	0	2	24	9	4	7	0	1	2	0	5	1	2	0	1	2	0	2	6	2					
		0.55%	0.12%	0.19%	0.10%	0.00%	0.19%	0.50%	0.00%	0.91%	2.40%	0.57%	0.38%	1.42%	0.00%	0.23%	0.73%	0.00%	0.38%	0.64%	0.76%	0.00%	0.20%	1.40%	0.00%	0.69%	1.02%	0.60%					
20	. Миронов Сергей Михайлович	55	1	1	4	0	1	3	3	0	7	12	1	5	0	1	0	0	5	1	1	3	1	0	0	0	5	0					
		0.40%	0.12%	0.19%	0.40%	0.00%	0.19%	0.75%	0.39%	0.00%	0.70%	0.77%	0.09%	1.01%	0.00%	0.23%	0.00%	0.00%	0.38%	0.64%	0.38%	2.27%	0.20%	0.00%	0.00%	0.00%	0.85%	0.00%					
21	. Путин Владимир Владимирович	13099	804	504	989	268	515	383	743	174	900	1463	1029	448	232	417	263	292	1259	147	251	126	486	120	160	263	551	312					
		94.86%	96.98%	94.92%	97.73%	98.53%	96.26%	95.51%	97.51%	79.45%	90.09%	93.30%	96.89%	90.69%	95.08%	97.66%	95.64%	99.66%	96.25%	93.63%	95.44%	95.45%	95.48%	83.92%	100.00%	90.69%	93.39%	93.41%					
22	. Хакамада Ирина Муцуовна	85	0	2	3	0	1	2	3	3	17	11	5	8	0	2	2	0	8	2	0	0	2	4	0	2	6	2					
		0.62%	0.00%	0.38%	0.30%	0.00%	0.19%	0.50%	0.39%	1.37%	1.70%	0.70%	0.47%	1.62%	0.00%	0.47%	0.73%	0.00%	0.61%	1.27%	0.00%	0.00%	0.39%	2.80%	0.00%	0.69%	1.02%	0.60%					
23	. Харитонов Николай Михайлович	260	20	19	6	4	14	4	2	40	6	34	7	15	4	4	4	1	7	3	7	3	12	17	0	11	3	13					
		1.88%	2.41%	3.58%	0.59%	1.47%	2.62%	1.00%	0.26%	18.26%	0.60%	2.17%	0.66%	3.04%	1.64%	0.94%	1.45%	0.34%	0.54%	1.91%	2.66%	2.27%	2.36%	11.89%	0.00%	3.79%	0.51%	3.89%					
																																	
24	Против всех	62	1	1	2	0	0	4	5	0	7	12	7	6	1	1	0	0	6	0	1	0	5	0	0	0	1	2					
		0.45%	0.12%	0.19%	0.20%	0.00%	0.00%	1.00%	0.66%	0.00%	0.70%	0.77%	0.66%	1.21%	0.41%	0.23%	0.00%	0.00%	0.46%	0.00%	0.38%	0.00%	0.98%	0.00%	0.00%	0.00%	0.17%	0.60%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
