Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Кузоватовская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
1	"Число избирателей, внесенных в список"	20941	428	93	439	417	484	282	174	396	528	151	859	201	1175	553	867	628	83	241	96	96	357	1076	1038	616	379	90	85	76	195	396	113	192	506	83	756	1798	2462	2532					
2	Число полученных избирательных бюллетеней	19914	410	95	415	390	450	265	173	375	500	151	810	190	1120	530	820	580	85	230	97	97	345	1010	975	590	370	93	89	78	200	375	114	193	475	84	710	1700	2300	2430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14202	281	82	321	291	250	218	121	335	392	121	602	168	840	421	507	448	67	174	69	81	294	858	840	479	297	84	75	76	187	313	97	165	385	72	592	913	1265	1421					
5	"Число избирательных бюллетеней, выданных вне помещения"	1314	19	0	23	41	77	22	21	15	46	13	76	9	166	18	90	19	11	29	14	5	22	75	26	45	19	0	0	0	8	28	0	9	51	5	80	54	114	64					
6	Число погашенных избирательных бюллетеней	4398	110	13	71	58	123	25	31	25	62	17	132	13	114	91	223	113	7	27	14	11	29	77	109	66	54	9	14	2	5	34	17	19	39	7	38	733	921	945					
7	Число избирательных бюллетеней в переносных ящиках	1314	19	0	23	41	77	22	21	15	46	13	76	9	166	18	90	19	11	29	14	5	22	75	26	45	19	0	0	0	8	28	0	9	51	5	80	54	114	64					
8	Число бюллетеней в стационарных ящиках для голосования	14202	281	82	321	291	250	218	121	335	392	121	602	168	840	421	507	448	67	174	69	81	294	858	840	479	297	84	75	76	187	313	97	165	385	72	592	913	1265	1421					
9	Число недействительных избирательных бюллетеней	151	7	0	4	8	5	21	3	0	2	0	0	0	6	4	4	3	0	1	0	0	4	0	11	8	5	2	1	0	6	1	0	0	2	0	5	6	11	21					
10	Число действительных избирательных бюллетеней	15365	293	82	340	324	322	219	139	350	436	134	678	177	1000	435	593	464	78	202	83	86	312	933	855	516	311	82	74	76	189	340	97	174	434	77	667	961	1368	1464					
11	Число полученных открепительных  удостоверений	475	10	5	10	10	10	10	5	10	15	5	20	5	25	15	20	15	5	5	5	5	10	20	20	15	15	5	5	5	5	10	5	5	10	5	20	30	40	40					
12	Число выданных открепительных удостоверений	113	0	0	1	2	1	0	0	0	5	2	0	0	4	6	9	0	1	0	0	0	0	2	3	5	10	0	0	0	0	1	0	0	0	0	0	8	19	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	96	6	1	1	2	5	1	2	0	3	3	1	0	2	1	1	13	0	0	2	1	0	2	0	2	3	0	1	1	2	2	1	2	0	2	9	5	16	3					
14	Число неиспользованных открепительных удостоверений	362	10	5	9	8	9	10	5	10	10	3	20	5	21	9	11	15	4	5	5	5	10	18	17	10	5	5	5	5	5	9	5	5	10	5	20	22	21	6					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	343	4	1	8	7	4	2	0	5	2	7	10	3	16	9	16	13	1	6	1	1	4	13	10	4	1	0	0	0	5	7	0	4	10	2	14	43	45	65					
		2.21%	1.33%	1.22%	2.33%	2.11%	1.22%	0.83%	0.00%	1.43%	0.46%	5.22%	1.47%	1.69%	1.59%	2.05%	2.68%	2.78%	1.28%	2.96%	1.20%	1.16%	1.27%	1.39%	1.15%	0.76%	0.32%	0.00%	0.00%	0.00%	2.56%	2.05%	0.00%	2.30%	2.29%	2.60%	2.08%	4.45%	3.26%	4.38%					
19	. Малышкин Олег Александрович	402	11	6	10	8	23	6	5	3	3	3	7	5	23	20	10	13	0	4	0	5	11	34	22	11	7	0	1	0	3	4	4	1	12	0	19	39	37	32					
		2.59%	3.67%	7.32%	2.91%	2.41%	7.03%	2.50%	3.52%	0.86%	0.68%	2.24%	1.03%	2.82%	2.29%	4.56%	1.68%	2.78%	0.00%	1.97%	0.00%	5.81%	3.48%	3.64%	2.54%	2.10%	2.22%	0.00%	1.33%	0.00%	1.54%	1.17%	4.12%	0.57%	2.75%	0.00%	2.83%	4.03%	2.68%	2.15%					
20	. Миронов Сергей Михайлович	95	1	3	1	3	1	1	2	0	5	0	2	0	5	2	2	1	0	3	1	0	7	10	2	6	0	0	1	0	0	0	1	0	1	0	0	7	13	14					
		0.61%	0.33%	3.66%	0.29%	0.90%	0.31%	0.42%	1.41%	0.00%	1.14%	0.00%	0.29%	0.00%	0.50%	0.46%	0.34%	0.21%	0.00%	1.48%	1.20%	0.00%	2.22%	1.07%	0.23%	1.15%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	1.03%	0.00%	0.23%	0.00%	0.00%	0.72%	0.94%	0.94%					
21	. Путин Владимир Владимирович	10942	191	58	241	216	111	175	100	315	328	95	476	103	802	276	424	266	66	162	72	69	219	658	683	376	228	63	53	65	165	280	88	151	334	66	518	648	847	954					
		70.52%	63.67%	70.73%	70.06%	65.06%	33.94%	72.92%	70.42%	90.00%	74.89%	70.90%	70.21%	58.19%	79.72%	62.87%	71.02%	56.96%	84.62%	79.80%	86.75%	80.23%	69.30%	70.53%	78.87%	71.76%	72.15%	75.00%	70.67%	85.53%	84.62%	82.11%	90.72%	86.78%	76.61%	85.71%	77.08%	67.01%	61.42%	64.24%					
22	. Хакамада Ирина Муцуовна	142	3	0	4	3	9	3	2	0	2	0	5	2	5	2	8	4	0	3	0	0	1	8	5	1	3	1	0	1	0	2	0	1	2	0	8	12	21	21					
		0.92%	1.00%	0.00%	1.16%	0.90%	2.75%	1.25%	1.41%	0.00%	0.46%	0.00%	0.74%	1.13%	0.50%	0.46%	1.34%	0.86%	0.00%	1.48%	0.00%	0.00%	0.32%	0.86%	0.58%	0.19%	0.95%	1.19%	0.00%	1.32%	0.00%	0.59%	0.00%	0.57%	0.46%	0.00%	1.19%	1.24%	1.52%	1.41%					
23	. Харитонов Николай Михайлович	3263	77	14	73	79	162	31	30	25	93	29	170	62	142	115	130	164	11	24	9	11	65	200	129	116	70	16	16	10	14	38	4	17	73	9	103	199	381	352					
		21.03%	25.67%	17.07%	21.22%	23.80%	49.54%	12.92%	21.13%	7.14%	21.23%	21.64%	25.07%	35.03%	14.12%	26.20%	21.78%	35.12%	14.10%	11.82%	10.84%	12.79%	20.57%	21.44%	14.90%	22.14%	22.15%	19.05%	21.33%	13.16%	7.18%	11.14%	4.12%	9.77%	16.74%	11.69%	15.33%	20.58%	27.63%	23.70%					
																																													
24	Против всех	178	6	0	3	8	12	1	0	2	3	0	8	2	7	11	3	3	0	0	0	0	5	10	4	2	2	2	3	0	2	9	0	0	2	0	5	13	24	26					
		1.15%	2.00%	0.00%	0.87%	2.41%	3.67%	0.42%	0.00%	0.57%	0.68%	0.00%	1.18%	1.13%	0.70%	2.51%	0.50%	0.64%	0.00%	0.00%	0.00%	0.00%	1.58%	1.07%	0.46%	0.38%	0.63%	2.38%	4.00%	0.00%	1.03%	2.64%	0.00%	0.00%	0.46%	0.00%	0.74%	1.34%	1.74%	1.75%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
