Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Югорская городская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в список"	23768	2385	2079	2893	2172	2057	2185	2074	2265	2181	2496	981					
2	Число полученных избирательных бюллетеней	23205	2330	2058	2895	2153	1918	2153	1976	2226	2115	2406	975					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14498	1403	1247	1916	1288	1337	1382	1155	1364	1282	1417	707					
5	"Число избирательных бюллетеней, выданных вне помещения"	364	27	25	38	53	33	37	26	23	39	54	9					
6	Число погашенных избирательных бюллетеней	8343	900	786	941	812	548	734	795	839	794	935	259					
7	Число избирательных бюллетеней в переносных ящиках	363	27	25	38	52	33	37	26	23	39	54	9					
8	Число бюллетеней в стационарных ящиках для голосования	14497	1403	1247	1916	1287	1337	1382	1155	1364	1282	1417	707					
9	Число недействительных избирательных бюллетеней	91	7	5	5	7	12	15	7	7	13	12	1					
10	Число действительных избирательных бюллетеней	14769	1423	1267	1949	1332	1358	1404	1174	1380	1308	1459	715					
11	Число полученных открепительных  удостоверений	355	37	37	44	27	32	32	32	30	17	32	35					
12	Число выданных открепительных удостоверений	201	20	5	38	21	23	17	19	13	6	22	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	0	2	6	12	31	14	7	5	2	5	5					
14	Число неиспользованных открепительных удостоверений	154	17	32	6	6	9	15	13	17	11	10	18					
15	"Число открепительных удостоверений, выданных в ТИК"	43	1	6	5	4	7	6	6	1	1	2	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	490	55	42	60	46	49	51	45	35	52	43	12					
		3.30%	3.85%	3.30%	3.07%	3.44%	3.58%	3.59%	3.81%	2.52%	3.94%	2.92%	1.68%					
19	. Малышкин Олег Александрович	340	30	27	37	23	20	25	26	52	38	43	19					
		2.29%	2.10%	2.12%	1.89%	1.72%	1.46%	1.76%	2.20%	3.75%	2.88%	2.92%	2.65%					
20	. Миронов Сергей Михайлович	81	7	4	9	9	4	8	4	9	9	10	8					
		0.55%	0.49%	0.31%	0.46%	0.67%	0.29%	0.56%	0.34%	0.65%	0.68%	0.68%	1.12%					
21	. Путин Владимир Владимирович	11502	1121	974	1540	1041	1067	1092	924	1063	996	1117	567					
		77.40%	78.39%	76.57%	78.81%	77.74%	77.88%	76.96%	78.24%	76.64%	75.40%	75.93%	79.19%					
22	. Хакамада Ирина Муцуовна	750	63	72	103	64	75	85	55	60	55	75	43					
		5.05%	4.41%	5.66%	5.27%	4.78%	5.47%	5.99%	4.66%	4.33%	4.16%	5.10%	6.01%					
23	. Харитонов Николай Михайлович	923	110	88	109	81	68	78	67	82	117	95	28					
		6.21%	7.69%	6.92%	5.58%	6.05%	4.96%	5.50%	5.67%	5.91%	8.86%	6.46%	3.91%					
																		
24	Против всех	683	37	60	91	68	75	65	53	79	41	76	38					
		4.60%	2.59%	4.72%	4.66%	5.08%	5.47%	4.58%	4.49%	5.70%	3.10%	5.17%	5.31%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
