Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Избербашская городская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537					
1	"Число избирателей, внесенных в список избирателей"	28114	1965	1846	1629	1598	1555	1486	1877	1456	1755	1688	1998	2119	2875	2634	1633					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25400	1770	1666	1466	1458	1399	1340	1689	1310	1579	1519	1803	1907	2587	2372	1535					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	24857	1760	1578	1439	1366	1384	1337	1681	1285	1576	1513	1716	1883	2568	2328	1443					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	116	0	0	18	3	13	0	0	14	0	0	0	22	11	35	0					
6	Число погашенных избирательных бюллетеней	427	10	88	9	89	2	3	8	11	3	6	87	2	8	9	92					
7	Число избирательных бюллетеней в переносных ящиках для голосования	116	0	0	18	3	13	0	0	14	0	0	0	22	11	35	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24857	1760	1578	1439	1366	1384	1337	1681	1285	1576	1513	1716	1883	2568	2328	1443					
9	Число недействительных избирательных бюллетеней	35	0	3	0	7	0	0	1	0	0	0	13	0	3	1	7					
10	Число действительных избирательных бюллетеней	24938	1760	1575	1457	1362	1397	1337	1680	1299	1576	1513	1703	1905	2576	2362	1436					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	120	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	9	0	0	1	0	1	1	0	0	0	2	0	1	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	111	8	8	7	8	7	7	8	8	8	6	8	7	7	7	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	115	1	13	3	17	3	2	6	5	8	5	17	9	0	5	21					
		0.46%	0.06%	0.82%	0.21%	1.24%	0.21%	0.15%	0.36%	0.38%	0.51%	0.33%	0.99%	0.47%	0.00%	0.21%	1.46%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	14	0	0	0	6	0	1	0	2	0	0	2	1	0	0	2					
		0.06%	0.00%	0.00%	0.00%	0.44%	0.00%	0.07%	0.00%	0.15%	0.00%	0.00%	0.12%	0.05%	0.00%	0.00%	0.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	2	2	1	1	1	0	1	3	4	3	0	4	0	0	4					
		0.10%	0.11%	0.13%	0.07%	0.07%	0.07%	0.00%	0.06%	0.23%	0.25%	0.20%	0.00%	0.21%	0.00%	0.00%	0.28%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1771	150	117	111	110	110	94	94	105	111	97	50	102	200	162	158					
		7.09%	8.52%	7.41%	7.62%	8.04%	7.87%	7.03%	5.59%	8.08%	7.04%	6.41%	2.91%	5.35%	7.75%	6.86%	10.95%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	1	3	0	7	0	0	0	2	1	7	11	1	0	0	9					
		0.17%	0.06%	0.19%	0.00%	0.51%	0.00%	0.00%	0.00%	0.15%	0.06%	0.46%	0.64%	0.05%	0.00%	0.00%	0.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22961	1606	1439	1341	1220	1283	1239	1579	1181	1451	1401	1622	1786	2376	2195	1242					
		91.94%	91.25%	91.19%	92.04%	89.12%	91.84%	92.67%	93.93%	90.92%	92.07%	92.60%	94.52%	93.75%	92.13%	92.89%	86.07%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	9	0	1	1	1	0	1	0	1	1	0	1	2	0	0	0					
		0.04%	0.00%	0.06%	0.07%	0.07%	0.00%	0.07%	0.00%	0.08%	0.06%	0.00%	0.06%	0.10%	0.00%	0.00%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
