Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Щербинская городская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299					
1	"Число избирателей, внесенных в список избирателей"	26297	2189	2348	2636	2277	2406	2435	2832	2408	1871	2403	2492					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18700	1600	1700	1900	1600	1700	1750	2000	1700	1300	1650	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12084	968	1093	1183	1041	1206	1117	1276	940	720	1232	1308					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	159	10	10	11	32	9	13	16	21	4	23	10					
6	Число погашенных избирательных бюллетеней	6445	622	597	705	527	476	620	706	739	576	395	482					
7	Число избирательных бюллетеней в переносных ящиках для голосования	159	10	10	11	32	9	13	16	21	4	23	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12035	968	1091	1183	1040	1206	1116	1277	940	720	1189	1305					
9	Число недействительных избирательных бюллетеней	370	31	37	44	29	28	29	41	36	16	39	40					
10	Число действительных избирательных бюллетеней	11824	947	1064	1150	1043	1187	1100	1252	925	708	1173	1275					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	35	45	45	45	45	45	45	45	45	45	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	252	13	30	26	17	24	16	30	17	12	37	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	197	19	10	8	21	28	7	30	22	21	11	20					
14	Число погашенных неиспользованных открепительных удостоверений	233	22	15	19	28	21	29	15	28	33	8	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	2	1	0	3	1	1	1	1	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	12	0	0	1	0	9	0	2	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2028	151	184	206	177	205	211	195	145	126	182	246					
		16.63%	15.44%	16.71%	17.25%	16.51%	16.87%	18.69%	15.08%	15.09%	17.40%	15.02%	18.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1944	175	162	187	191	191	165	224	147	96	190	216					
		15.94%	17.89%	14.71%	15.66%	17.82%	15.72%	14.61%	17.32%	15.30%	13.26%	15.68%	16.43%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	175	12	13	20	13	17	11	14	13	11	16	35					
		1.44%	1.23%	1.18%	1.68%	1.21%	1.40%	0.97%	1.08%	1.35%	1.52%	1.32%	2.66%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3429	259	316	325	279	340	329	371	281	175	364	390					
		28.12%	26.48%	28.70%	27.22%	26.03%	27.98%	29.14%	28.69%	29.24%	24.17%	30.03%	29.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	966	67	81	100	76	113	83	92	92	93	66	103					
		7.92%	6.85%	7.36%	8.38%	7.09%	9.30%	7.35%	7.12%	9.57%	12.85%	5.45%	7.83%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3166	275	295	303	296	306	289	343	240	203	341	275					
		25.96%	28.12%	26.79%	25.38%	27.61%	25.19%	25.60%	26.53%	24.97%	28.04%	28.14%	20.91%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	116	8	13	9	11	15	12	13	7	4	14	10					
		0.95%	0.82%	1.18%	0.75%	1.03%	1.23%	1.06%	1.01%	0.73%	0.55%	1.16%	0.76%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
