Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Бронницкая городская															
															
Итоги голосования 															
															
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81					
1	"Число избирателей, внесенных в список"	15057	1840	2025	2123	1885	2267	1978	1926	1013					
2	Число полученных избирательных бюллетеней	14600	1800	2010	2100	1880	2010	1900	1900	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8139	1130	982	1156	980	1216	948	1010	717					
5	"Число избирательных бюллетеней, выданных вне помещения"	460	72	54	70	29	102	62	64	7					
6	Число погашенных избирательных бюллетеней	6001	598	974	874	871	692	890	826	276					
7	Число избирательных бюллетеней в переносных ящиках	460	72	54	70	29	102	62	64	7					
8	Число бюллетеней в стационарных ящиках для голосования	8132	1130	982	1156	980	1216	948	1005	715					
9	Число недействительных избирательных бюллетеней	57	5	11	6	8	11	8	8	0					
10	Число действительных избирательных бюллетеней	8535	1197	1025	1220	1001	1307	1002	1061	722					
11	Число полученных открепительных  удостоверений	400	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	116	10	15	27	12	16	15	13	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	93	9	20	17	7	17	6	11	6					
14	Число неиспользованных открепительных удостоверений	284	40	35	23	38	34	35	37	42					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	457	80	54	78	42	55	56	50	42					
		5.32%	6.66%	5.21%	6.36%	4.16%	4.17%	5.54%	4.68%	5.82%					
19	. Малышкин Олег Александрович	141	25	20	17	20	15	12	19	13					
		1.64%	2.08%	1.93%	1.39%	1.98%	1.14%	1.19%	1.78%	1.80%					
20	. Миронов Сергей Михайлович	47	10	2	4	7	8	4	7	5					
		0.55%	0.83%	0.19%	0.33%	0.69%	0.61%	0.40%	0.65%	0.69%					
21	. Путин Владимир Владимирович	6342	855	759	846	733	1023	809	805	512					
		73.81%	71.13%	73.26%	69.00%	72.65%	77.62%	80.10%	75.30%	70.91%					
22	. Хакамада Ирина Муцуовна	311	58	35	47	48	33	23	37	30					
		3.62%	4.83%	3.38%	3.83%	4.76%	2.50%	2.28%	3.46%	4.16%					
23	. Харитонов Николай Михайлович	850	117	104	173	106	117	63	96	74					
		9.89%	9.73%	10.04%	14.11%	10.51%	8.88%	6.24%	8.98%	10.25%					
															
24	Против всех	387	52	51	55	45	56	35	47	46					
		4.50%	4.33%	4.92%	4.49%	4.46%	4.25%	3.47%	4.40%	6.37%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
