Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Анадырская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18					
1	"Число избирателей, внесенных в список"	5282	852	939	931	148	137	579	288	111	132	524	163	422	56					
2	Число полученных избирательных бюллетеней	5406	813	941	802	153	212	655	356	112	134	576	187	389	76					
3	"Число избирательных бюллетеней, выданных  досрочно"	264	0	0	0	0	0	19	25	8	21	78	16	93	4					
4	"Число избирательных бюллетеней, выданных в день голосования"	4312	701	758	719	148	130	528	249	103	111	383	136	294	52					
5	"Число избирательных бюллетеней, выданных вне помещения"	121	7	44	23	0	0	30	9	0	0	8	0	0	0					
6	Число погашенных избирательных бюллетеней	709	105	139	60	5	82	78	73	1	2	107	35	2	20					
7	Число избирательных бюллетеней в переносных ящиках	385	7	44	23	0	0	49	34	8	21	86	16	93	4					
8	Число бюллетеней в стационарных ящиках для голосования	4312	701	758	719	148	130	528	249	103	111	383	136	294	52					
9	Число недействительных избирательных бюллетеней	41	3	4	8	0	1	10	6	0	0	4	0	5	0					
10	Число действительных избирательных бюллетеней	4656	705	798	734	148	129	567	277	111	132	465	152	382	56					
11	Число полученных открепительных  удостоверений	165	20	30	20	10	10	15	15	5	5	10	10	10	5					
12	Число выданных открепительных удостоверений	97	11	26	12	0	9	7	13	2	3	8	3	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	9	10	10	0	0	9	3	0	0	0	1	0	2					
14	Число неиспользованных открепительных удостоверений	68	9	4	8	10	1	8	2	3	2	2	7	10	2					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	2	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	91	27	14	21	1	2	9	1	0	1	8	1	6	0					
		1.94%	3.81%	1.75%	2.83%	0.68%	1.54%	1.56%	0.35%	0.00%	0.76%	1.71%	0.66%	1.55%	0.00%					
19	. Малышкин Олег Александрович	75	18	8	10	0	5	4	2	4	1	12	3	6	2					
		1.60%	2.54%	1.00%	1.35%	0.00%	3.85%	0.69%	0.71%	3.60%	0.76%	2.56%	1.97%	1.55%	3.57%					
20	. Миронов Сергей Михайлович	33	4	5	8	0	1	4	2	3	0	5	1	0	0					
		0.70%	0.56%	0.62%	1.08%	0.00%	0.77%	0.69%	0.71%	2.70%	0.00%	1.07%	0.66%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4109	584	725	625	136	112	498	269	95	130	409	140	338	48					
		87.48%	82.49%	90.40%	84.23%	91.89%	86.15%	86.31%	95.05%	85.59%	98.48%	87.21%	92.11%	87.34%	85.71%					
22	. Хакамада Ирина Муцуовна	125	28	22	18	4	4	10	2	6	0	10	3	16	2					
		2.66%	3.95%	2.74%	2.43%	2.70%	3.08%	1.73%	0.71%	5.41%	0.00%	2.13%	1.97%	4.13%	3.57%					
23	. Харитонов Николай Михайлович	142	24	8	33	3	2	36	1	1	0	19	3	9	3					
		3.02%	3.39%	1.00%	4.45%	2.03%	1.54%	6.24%	0.35%	0.90%	0.00%	4.05%	1.97%	2.33%	5.36%					
																				
24	Против всех	81	20	16	19	4	3	6	0	2	0	2	1	7	1					
		1.72%	2.82%	2.00%	2.56%	2.70%	2.31%	1.04%	0.00%	1.80%	0.00%	0.43%	0.66%	1.81%	1.79%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
