Выборы Президента Российской Федерации																																																		
																																																		
"Наименование Избирательной комиссии:    Архангельск, Соломбальская"																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №1132	УИК №1133					
1	"Число избирателей, внесенных в список"	70146	2545	749	2429	1466	1495	2855	1401	1196	1181	1815	1519	392	303	67	1809	2326	2595	2285	2680	2764	2616	2639	128	2192	2539	1434	2607	2321	1763	1737	1649	1185	2209	1146	1978	1599	1266	2100	1584	1314	228	20	20					
2	Число полученных избирательных бюллетеней	64710	2350	650	2240	1350	1350	2600	1300	1110	1100	1700	1410	360	270	65	1700	2120	2400	2100	2500	2550	2400	2450	97	2000	2500	1300	2400	2110	1610	1600	1510	1100	2100	1030	1820	1450	1150	1930	1430	1230	228	20	20					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	37901	1453	364	1266	617	498	1488	768	516	503	718	663	161	170	52	922	1310	1613	1387	1455	1460	1468	1381	97	1294	1773	728	1573	1457	1000	1039	957	546	1300	594	1059	894	683	1131	705	631	167	20	20					
5	"Число избирательных бюллетеней, выданных вне помещения"	1030	30	11	18	12	156	21	10	17	14	77	16	1	0	8	11	24	21	20	43	39	14	23	0	11	12	16	19	27	24	32	35	13	18	13	41	29	18	17	13	51	55	0	0					
6	Число погашенных избирательных бюллетеней	25779	867	275	956	721	696	1091	522	577	583	905	731	198	100	5	767	786	766	693	1002	1051	918	1046	0	695	715	556	808	626	586	529	518	541	782	423	720	527	449	782	712	548	6	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1030	30	11	18	12	156	21	10	17	14	77	16	1	0	8	11	24	21	20	43	39	14	23	0	11	12	16	19	27	24	32	35	13	18	13	41	29	18	17	13	51	55	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	37878	1452	364	1264	617	496	1486	768	516	503	718	663	161	170	52	921	1310	1610	1386	1455	1458	1465	1381	97	1294	1773	728	1571	1457	1000	1038	956	546	1299	593	1059	894	683	1131	705	631	167	20	20					
9	Число недействительных избирательных бюллетеней	232	8	3	9	3	3	9	7	9	8	15	9	1	0	2	6	8	10	6	6	4	10	6	2	2	7	2	7	5	6	4	4	9	4	3	13	6	3	5	1	3	4	0	0					
10	Число действительных избирательных бюллетеней	38676	1474	372	1273	626	649	1498	771	524	509	780	670	161	170	58	926	1326	1621	1400	1492	1493	1469	1398	95	1303	1778	742	1583	1479	1018	1066	987	550	1313	603	1087	917	698	1143	717	679	218	20	20					
11	Число полученных открепительных  удостоверений	853	30	15	20	15	13	30	10	25	21	25	20	10	10	0	25	25	30	20	30	25	25	25	0	35	55	15	35	30	15	20	25	15	35	14	20	25	15	20	10	20	0	0	0					
12	Число выданных открепительных удостоверений	695	30	8	15	12	11	21	10	22	14	20	14	3	5	0	21	21	20	13	30	19	18	21	0	34	48	12	32	26	15	19	20	11	32	12	17	20	13	15	5	16	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	571	17	7	8	4	16	12	10	7	5	5	2	7	12	3	19	11	16	12	26	12	14	15	8	21	27	15	35	22	17	24	13	9	14	9	19	17	13	13	22	11	22	0	0					
14	Число неиспользованных открепительных удостоверений	158	0	7	5	3	2	9	0	3	7	5	6	7	5	0	4	4	10	7	0	6	7	4	0	1	7	3	3	4	0	1	5	4	3	2	3	5	2	5	5	4	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	97	2	1	1	6	4	2	1	6	2	2	5	2	1	0	4	1	3	0	0	2	3	3	0	4	3	2	5	2	1	2	2	1	3	0	5	6	1	4	3	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	1176	46	2	30	11	18	37	27	6	19	16	22	3	4	2	20	31	49	59	39	54	27	32	1	44	59	23	51	66	38	41	34	9	41	51	45	32	20	42	12	7	2	2	2					
		3.02%	3.10%	0.53%	2.34%	1.75%	2.76%	2.46%	3.47%	1.13%	3.68%	2.01%	3.24%	1.85%	2.35%	3.33%	2.15%	2.32%	3.00%	4.20%	2.60%	3.61%	1.83%	2.28%	1.03%	3.37%	3.31%	3.09%	3.21%	4.45%	3.71%	3.83%	3.43%	1.61%	3.11%	8.42%	4.09%	3.47%	2.85%	3.66%	1.67%	1.03%	0.90%	10.00%	10.00%					
