Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Каменская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878					
1	"Число избирателей, внесенных в список"	11856	807	95	461	87	63	885	349	125	131	709	285	109	794	105	104	963	158	402	1472	716	216	305	129	1107	612	200	364	103					
2	Число полученных избирательных бюллетеней	11090	750	93	430	94	62	840	330	123	131	670	270	109	740	103	108	910	158	380	1320	680	210	290	129	990	550	200	320	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7828	534	68	319	66	43	579	181	74	85	474	178	67	509	68	82	612	103	277	872	499	181	254	99	704	388	158	276	78					
5	"Число избирательных бюллетеней, выданных вне помещения"	427	30	6	22	3	0	26	27	15	7	22	11	2	28	0	1	39	7	32	40	20	0	8	7	25	23	5	18	3					
6	Число погашенных избирательных бюллетеней	2835	186	19	89	25	19	235	122	34	39	174	81	40	203	35	25	259	48	71	408	161	29	28	23	261	139	37	26	19					
7	Число избирательных бюллетеней в переносных ящиках	425	30	6	22	3	0	26	27	15	7	22	11	2	28	0	1	38	7	32	39	20	0	8	7	25	23	5	18	3					
8	Число бюллетеней в стационарных ящиках для голосования	7825	534	68	318	66	43	579	181	74	85	474	177	67	509	68	82	612	103	277	871	499	181	254	99	704	388	158	276	78					
9	Число недействительных избирательных бюллетеней	110	10	1	8	1	0	9	2	1	1	6	6	0	9	0	3	4	1	7	13	8	1	0	3	3	7	2	3	1					
10	Число действительных избирательных бюллетеней	8140	554	73	332	68	43	596	206	88	91	490	182	69	528	68	80	646	109	302	897	511	180	262	103	726	404	161	291	80					
11	Число полученных открепительных  удостоверений	197	11	4	4	4	4	12	6	4	4	7	6	4	10	4	4	11	4	8	20	14	4	4	4	16	12	4	4	4					
12	Число выданных открепительных удостоверений	30	2	1	0	0	0	4	0	0	0	1	0	0	1	0	0	4	1	0	1	0	0	4	0	4	2	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	5	2	0	2	2	1	2	2	5	1	2	2	1	1	1	1	2	0	1	5	1	1	2	1	1	2	2	1					
14	Число неиспользованных открепительных удостоверений	167	9	3	4	4	4	8	6	4	4	6	6	4	9	4	4	7	3	8	19	14	4	0	4	12	10	2	1	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	278	19	1	13	10	1	19	5	0	4	32	4	3	11	0	0	24	3	17	32	24	8	4	2	20	13	2	7	0					
		3.37%	3.37%	1.35%	3.82%	14.49%	2.33%	3.14%	2.40%	0.00%	4.35%	6.45%	2.13%	4.35%	2.05%	0.00%	0.00%	3.69%	2.73%	5.50%	3.52%	4.62%	4.42%	1.53%	1.89%	2.74%	3.16%	1.23%	2.38%	0.00%					
19	. Малышкин Олег Александрович	289	21	3	15	1	5	19	5	0	5	21	4	1	15	4	2	30	5	7	31	22	8	5	2	23	16	11	5	3					
		3.50%	3.72%	4.05%	4.41%	1.45%	11.63%	3.14%	2.40%	0.00%	5.43%	4.23%	2.13%	1.45%	2.79%	5.88%	2.41%	4.62%	4.55%	2.27%	3.41%	4.24%	4.42%	1.91%	1.89%	3.16%	3.89%	6.75%	1.70%	3.70%					
20	. Миронов Сергей Михайлович	63	2	1	3	1	0	5	2	2	1	2	3	0	5	1	0	6	2	3	4	4	2	2	1	5	5	1	0	0					
		0.76%	0.35%	1.35%	0.88%	1.45%	0.00%	0.83%	0.96%	2.25%	1.09%	0.40%	1.60%	0.00%	0.93%	1.47%	0.00%	0.92%	1.82%	0.97%	0.44%	0.77%	1.10%	0.76%	0.94%	0.69%	1.22%	0.61%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5441	402	58	194	40	32	442	160	69	72	296	134	58	360	41	73	411	82	194	598	300	121	121	72	466	260	114	200	71					
		65.95%	71.28%	78.38%	57.06%	57.97%	74.42%	73.06%	76.92%	77.53%	78.26%	59.68%	71.28%	84.06%	67.04%	60.29%	87.95%	63.23%	74.55%	62.78%	65.71%	57.80%	66.85%	46.18%	67.92%	63.92%	63.26%	69.94%	68.03%	87.65%					
22	. Хакамада Ирина Муцуовна	105	5	0	9	0	0	6	2	1	0	13	3	0	5	1	0	8	1	1	11	10	1	5	1	6	8	2	5	1					
		1.27%	0.89%	0.00%	2.65%	0.00%	0.00%	0.99%	0.96%	1.12%	0.00%	2.62%	1.60%	0.00%	0.93%	1.47%	0.00%	1.23%	0.91%	0.32%	1.21%	1.93%	0.55%	1.91%	0.94%	0.82%	1.95%	1.23%	1.70%	1.23%					
23	. Харитонов Николай Михайлович	1846	100	9	93	16	4	95	28	14	9	118	32	7	121	17	5	158	13	72	209	147	37	123	21	196	99	28	70	5					
		22.38%	17.73%	12.16%	27.35%	23.19%	9.30%	15.70%	13.46%	15.73%	9.78%	23.79%	17.02%	10.14%	22.53%	25.00%	6.02%	24.31%	11.82%	23.30%	22.97%	28.32%	20.44%	46.95%	19.81%	26.89%	24.09%	17.18%	23.81%	6.17%					
																																			
24	Против всех	118	5	1	5	0	1	10	4	2	0	8	2	0	11	4	0	9	3	8	12	4	3	2	4	10	3	3	4	0					
		1.43%	0.89%	1.35%	1.47%	0.00%	2.33%	1.65%	1.92%	2.25%	0.00%	1.61%	1.06%	0.00%	2.05%	5.88%	0.00%	1.38%	2.73%	2.59%	1.32%	0.77%	1.66%	0.76%	3.77%	1.37%	0.73%	1.84%	1.36%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
