Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Воротынская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586					
1	"Число избирателей, внесенных в список"	15375	889	763	1583	1331	590	976	150	140	446	223	98	133	95	358	443	372	420	161	102	57	143	1073	43	63	307	224	353	359	411	558	502	235	1044	408	75	55	192					
2	Число полученных избирательных бюллетеней	16409	890	840	1575	1370	600	1010	170	180	500	250	100	150	100	370	500	470	400	200	120	60	140	1180	50	80	320	260	390	410	441	580	530	250	1100	460	93	60	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8995	470	418	774	694	293	602	142	99	313	154	67	88	74	195	244	273	250	135	63	44	106	596	39	50	197	126	189	231	266	299	319	158	608	197	52	45	125					
5	"Число избирательных бюллетеней, выданных вне помещения"	1518	20	26	56	60	37	158	0	19	22	32	13	19	16	105	81	34	10	16	22	9	21	100	2	0	30	41	82	59	49	62	41	50	48	132	18	5	23					
6	Число погашенных избирательных бюллетеней	5896	400	396	745	616	270	250	28	62	165	64	20	43	10	70	175	163	140	49	35	7	13	484	9	30	93	93	119	120	126	219	170	42	444	131	23	10	62					
7	Число избирательных бюллетеней в переносных ящиках	1518	20	26	56	60	37	158	0	19	22	32	13	19	16	105	81	34	10	16	22	9	21	100	2	0	30	41	82	59	49	62	41	50	48	132	18	5	23					
8	Число бюллетеней в стационарных ящиках для голосования	8994	470	418	774	694	293	602	142	99	313	154	67	88	74	195	244	273	250	135	63	44	106	596	39	50	196	126	189	231	266	299	319	158	608	197	52	45	125					
9	Число недействительных избирательных бюллетеней	120	3	5	6	2	8	11	0	2	7	1	0	0	0	1	4	3	3	3	0	1	1	19	1	0	4	4	3	1	3	4	1	4	10	3	0	0	2					
10	Число действительных избирательных бюллетеней	10392	487	439	824	752	322	749	142	116	328	185	80	107	90	299	321	304	257	148	85	52	126	677	40	50	222	163	268	289	312	357	359	204	646	326	70	50	146					
