Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Старожиловская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975					
1	"Число избирателей, внесенных в список"	13401	333	357	513	1081	315	1888	328	1371	131	479	122	134	423	1056	2662	1605	156	447					
2	Число полученных избирательных бюллетеней	12689	316	337	486	1024	290	1796	299	1292	128	455	119	130	402	990	2527	1515	155	428					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7305	171	184	353	581	191	1066	151	692	88	219	53	67	269	470	1600	882	65	203					
5	"Число избирательных бюллетеней, выданных вне помещения"	1085	56	54	51	87	53	50	77	43	17	78	32	25	43	117	50	143	21	88					
6	Число погашенных избирательных бюллетеней	4299	89	99	82	356	46	680	71	557	23	158	34	38	90	403	877	490	69	137					
7	Число избирательных бюллетеней в переносных ящиках	1085	56	54	51	87	53	50	77	43	17	78	32	25	43	117	50	143	21	88					
8	Число бюллетеней в стационарных ящиках для голосования	7305	171	184	353	581	191	1066	151	692	88	219	53	67	269	470	1600	882	65	203					
9	Число недействительных избирательных бюллетеней	95	2	0	4	7	6	14	3	16	1	1	0	1	7	8	11	11	1	2					
10	Число действительных избирательных бюллетеней	8295	225	238	400	661	238	1102	225	719	104	296	85	91	305	579	1639	1014	85	289					
11	Число полученных открепительных  удостоверений	275	15	15	15	15	10	25	10	20	10	15	10	10	15	20	25	20	10	15					
12	Число выданных открепительных удостоверений	60	0	0	3	4	0	7	3	4	0	2	0	0	1	3	21	10	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	4	4	4	2	6	6	9	6	5	3	6	5	2	10	12	7	4	3					
14	Число неиспользованных открепительных удостоверений	215	15	15	12	11	10	18	7	16	10	13	10	10	14	17	4	10	9	14					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	216	1	6	3	18	2	26	1	22	4	8	0	1	12	3	72	34	1	2					
		2.57%	0.44%	2.52%	0.74%	2.69%	0.82%	2.33%	0.44%	2.99%	3.81%	2.69%	0.00%	1.09%	3.85%	0.51%	4.36%	3.32%	1.16%	0.69%					
19	. Малышкин Олег Александрович	144	2	5	2	11	5	29	4	14	0	7	2	0	6	6	26	16	4	5					
		1.72%	0.88%	2.10%	0.50%	1.65%	2.05%	2.60%	1.75%	1.90%	0.00%	2.36%	2.35%	0.00%	1.92%	1.02%	1.58%	1.56%	4.65%	1.72%					
20	. Миронов Сергей Михайлович	62	2	3	4	4	2	12	0	7	3	4	0	2	1	1	11	3	1	2					
		0.74%	0.88%	1.26%	0.99%	0.60%	0.82%	1.08%	0.00%	0.95%	2.86%	1.35%	0.00%	2.17%	0.32%	0.17%	0.67%	0.29%	1.16%	0.69%					
21	. Путин Владимир Владимирович	6355	170	173	335	543	187	829	188	521	78	211	78	74	227	453	1194	802	66	226					
		75.74%	74.89%	72.69%	82.92%	81.29%	76.64%	74.28%	82.46%	70.88%	74.29%	71.04%	91.76%	80.43%	72.76%	77.17%	72.36%	78.24%	76.74%	77.66%					
22	. Хакамада Ирина Муцуовна	137	3	9	3	5	3	20	5	8	2	7	0	0	5	6	45	11	1	4					
		1.63%	1.32%	3.78%	0.74%	0.75%	1.23%	1.79%	2.19%	1.09%	1.90%	2.36%	0.00%	0.00%	1.60%	1.02%	2.73%	1.07%	1.16%	1.37%					
23	. Харитонов Николай Михайлович	1211	42	40	48	69	32	144	23	126	14	50	5	14	52	106	258	130	11	47					
		14.43%	18.50%	16.81%	11.88%	10.33%	13.11%	12.90%	10.09%	17.14%	13.33%	16.84%	5.88%	15.22%	16.67%	18.06%	15.64%	12.68%	12.79%	16.15%					
																									
24	Против всех	170	5	2	5	11	7	42	4	21	3	9	0	0	2	4	33	18	1	3					
		2.03%	2.20%	0.84%	1.24%	1.65%	2.87%	3.76%	1.75%	2.86%	2.86%	3.03%	0.00%	0.00%	0.64%	0.68%	2.00%	1.76%	1.16%	1.03%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
