Выборы Президента Российской Федерации																																																																			
Дата голосования: 02.03.2008																																																																			
																																																																			
Наименование Избирательной комиссии:    Серовская городская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
	Число участковых избирательных комиссий	60																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	60																																																																	
																																																																			
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №808	УИК №809	УИК №810	УИК №812	УИК №813	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514					
1	"Число избирателей, включенных в списки избирателей"	75837	502	1514	161	1259	1145	234	35	140	158	152	86	139	609	1774	1699	1367	1371	1491	1214	1194	1495	1565	1609	1592	1861	1635	1522	1494	1690	1591	1474	1452	1268	1712	1521	1515	1649	2035	1686	1556	1893	1242	1736	2345	1200	1993	1511	1592	853	1099	699	919	335	1999	1816	1799	1666	1483	1328	163					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	61100	400	1200	150	1000	1000	250	40	130	160	140	80	150	600	1400	1350	1100	1100	1200	1000	900	1150	1250	1300	1300	1500	1300	1250	1200	1350	1250	1150	1150	1000	1400	1200	1200	1300	1550	1350	1250	1550	1000	1400	1900	950	1600	1200	1300	700	850	550	750	250	1600	1500	1500	1300	1200	1100	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	59	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	44457	307	759	65	600	627	128	26	88	122	76	39	91	365	1064	967	750	762	827	686	639	924	977	924	842	1141	1037	911	968	1144	1011	848	890	835	1112	946	976	1067	1065	1132	969	1219	816	1101	1361	636	1182	675	893	545	516	373	553	118	1196	1043	1103	984	766	612	58					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3396	45	115	16	125	189	39	4	14	4	33	0	10	235	45	41	35	66	71	22	87	27	62	42	39	49	35	35	27	69	30	57	36	35	72	65	27	96	122	27	27	23	52	32	35	56	26	89	68	18	100	115	38	80	23	50	57	87	83	157	32					
6	Число погашенных избирательных бюллетеней	13188	48	326	69	275	184	83	10	28	34	31	7	49	0	291	342	315	272	302	292	174	199	211	334	419	310	228	304	205	137	209	245	224	130	216	189	197	137	363	191	254	308	132	267	504	258	392	436	339	137	234	62	159	52	381	407	340	229	351	331	35					
