Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Заларинская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
1	"Число избирателей, внесенных в список"	21536	1884	1069	1033	2479	862	716	186	365	128	163	280	98	152	97	508	582	894	243	139	125	192	440	272	74	137	514	100	291	168	468	447	181	641	202	113	796	478	233	1198	1962	122	405	99					
2	Число полученных избирательных бюллетеней	20943	1800	1000	1000	2300	850	700	189	350	130	153	270	95	150	98	500	570	880	240	136	129	192	440	270	77	138	510	102	300	166	450	430	182	630	200	124	800	470	220	1150	1930	121	400	101					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11009	928	386	450	1167	410	238	86	231	95	98	186	84	100	92	302	242	483	177	100	80	115	266	185	63	98	275	75	206	73	264	296	140	329	120	67	377	238	119	487	952	63	213	53					
5	"Число избирательных бюллетеней, выданных вне помещения"	1276	40	21	48	30	20	341	29	40	4	6	25	0	9	4	22	76	24	5	4	34	0	19	4	0	0	0	9	32	45	52	19	4	99	15	1	29	20	0	45	61	8	24	8					
6	Число погашенных избирательных бюллетеней	8658	832	593	502	1103	420	121	74	79	31	49	59	11	41	2	176	252	373	58	32	15	77	155	81	14	40	235	18	62	48	134	115	38	202	65	56	394	212	101	618	917	50	163	40					
7	Число избирательных бюллетеней в переносных ящиках	1276	40	21	48	30	20	341	29	40	4	6	25	0	9	4	22	76	24	5	4	34	0	19	4	0	0	0	9	32	45	52	19	4	99	15	1	29	20	0	45	61	8	24	8					
8	Число бюллетеней в стационарных ящиках для голосования	11008	928	386	450	1167	410	238	86	231	95	98	186	84	100	92	302	242	482	177	100	80	115	266	185	63	98	275	75	206	73	264	296	140	329	120	67	377	238	119	487	952	63	213	53					
9	Число недействительных избирательных бюллетеней	119	5	5	5	4	0	1	1	2	2	0	0	0	0	0	3	4	19	1	2	0	5	5	3	2	2	3	0	1	1	0	5	0	10	1	0	3	4	2	2	10	3	3	0					
10	Число действительных избирательных бюллетеней	12165	963	402	493	1193	430	578	114	269	97	104	211	84	109	96	321	314	487	181	102	114	110	280	186	61	96	272	84	237	117	316	310	144	418	134	68	403	254	117	530	1003	68	234	61					
11	Число полученных открепительных  удостоверений	220	17	10	10	23	8	7	2	3	1	1	2	1	1	1	5	6	8	2	1	0	2	4	3	1	1	5	1	19	0	4	5	2	6	4	1	7	5	2	11	17	1	9	1					
12	Число выданных открепительных удостоверений	95	6	3	10	12	2	0	0	1	0	0	0	0	1	0	0	3	1	0	0	0	0	2	0	0	0	2	0	19	0	0	0	0	1	4	0	3	3	0	3	12	0	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	8	2	6	12	1	0	0	0	0	0	1	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	10	10	0	0	0					
14	Число неиспользованных открепительных удостоверений	125	11	7	0	11	6	7	2	2	1	1	2	1	0	1	5	3	7	2	1	0	2	2	3	1	1	3	1	0	0	4	5	2	5	0	1	4	2	2	8	5	1	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	315	35	10	21	44	21	8	3	4	1	1	5	1	1	0	6	3	9	1	4	4	4	3	2	0	5	3	2	3	4	5	11	1	1	16	2	4	5	2	16	41	0	3	0					
		2.56%	3.62%	2.46%	4.22%	3.68%	4.88%	1.38%	2.61%	1.48%	1.01%	0.96%	2.37%	1.19%	0.92%	0.00%	1.85%	0.94%	1.78%	0.55%	3.85%	3.51%	3.48%	1.05%	1.06%	0.00%	5.10%	1.09%	2.38%	1.26%	3.39%	1.58%	3.49%	0.69%	0.23%	11.85%	2.94%	0.99%	1.94%	1.68%	3.01%	4.05%	0.00%	1.27%	0.00%					
19	. Малышкин Олег Александрович	657	36	11	26	47	28	15	4	6	2	8	16	10	3	3	10	5	26	6	8	3	12	18	30	18	13	5	12	6	12	16	18	12	56	15	3	24	10	2	30	62	0	10	0					
		5.35%	3.72%	2.70%	5.22%	3.93%	6.51%	2.59%	3.48%	2.21%	2.02%	7.69%	7.58%	11.90%	2.75%	3.12%	3.09%	1.57%	5.14%	3.30%	7.69%	2.63%	10.43%	6.32%	15.87%	28.57%	13.27%	1.82%	14.29%	2.52%	10.17%	5.06%	5.71%	8.33%	13.08%	11.11%	4.41%	5.91%	3.88%	1.68%	5.64%	6.12%	0.00%	4.22%	0.00%					
20	. Миронов Сергей Михайлович	113	9	2	6	7	5	10	0	0	0	1	3	1	0	0	3	1	9	0	1	0	0	2	0	3	1	7	0	5	2	8	1	2	5	2	0	4	0	3	7	1	0	2	0					
		0.92%	0.93%	0.49%	1.20%	0.58%	1.16%	1.73%	0.00%	0.00%	0.00%	0.96%	1.42%	1.19%	0.00%	0.00%	0.93%	0.31%	1.78%	0.00%	0.96%	0.00%	0.00%	0.70%	0.00%	4.76%	1.02%	2.55%	0.00%	2.10%	1.69%	2.53%	0.32%	1.39%	1.17%	1.48%	0.00%	0.99%	0.00%	2.52%	1.32%	0.10%	0.00%	0.84%	0.00%					
21	. Путин Владимир Владимирович	7838	604	246	302	734	261	448	82	223	86	69	135	46	84	73	246	181	333	83	62	73	63	192	111	27	52	181	58	132	65	212	198	81	189	67	50	220	146	88	352	718	57	163	45					
		63.81%	62.40%	60.44%	60.64%	61.32%	60.70%	77.37%	71.30%	82.29%	86.87%	66.35%	63.98%	54.76%	77.06%	76.04%	75.93%	56.92%	65.81%	45.60%	59.62%	64.04%	54.78%	67.37%	58.73%	42.86%	53.06%	65.82%	69.05%	55.46%	55.08%	67.09%	62.86%	56.25%	44.16%	49.63%	73.53%	54.19%	56.59%	73.95%	66.17%	70.88%	80.28%	68.78%	73.77%					
22	. Хакамада Ирина Муцуовна	248	28	11	10	26	5	15	1	2	0	0	4	1	3	5	4	3	6	3	3	3	1	5	6	2	0	1	3	5	0	6	5	4	3	2	0	8	6	1	13	28	2	7	7					
		2.02%	2.89%	2.70%	2.01%	2.17%	1.16%	2.59%	0.87%	0.74%	0.00%	0.00%	1.90%	1.19%	2.75%	5.21%	1.23%	0.94%	1.19%	1.65%	2.88%	2.63%	0.87%	1.75%	3.17%	3.17%	0.00%	0.36%	3.57%	2.10%	0.00%	1.90%	1.59%	2.78%	0.70%	1.48%	0.00%	1.97%	2.33%	0.84%	2.44%	2.76%	2.82%	2.95%	11.48%					
