Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    район Братеево																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679					
		1.10%	0.61%	1.30%	0.44%	1.21%	1.45%	0.16%	0.61%	2.42%	1.10%	0.78%	2.21%	1.03%	0.43%	0.97%	1.04%	1.58%	0.94%	1.29%	0.55%	1.06%	0.57%	1.11%	1.76%	1.56%	1.37%	1.37%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5914	120	277	367	309	182	219	204	164	304	148	200	202	166	164	301	303	257	281	215	215	184	264	213	278	230	147					
		14.29%	9.15%	16.40%	17.96%	19.64%	10.96%	11.86%	12.50%	11.02%	14.50%	7.72%	13.00%	13.06%	10.08%	14.49%	13.02%	21.74%	20.06%	15.15%	16.80%	14.26%	14.92%	13.98%	12.49%	18.05%	17.52%	15.46%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1571	131	84	52	73	40	12	49	32	80	24	47	89	10	48	81	38	18	100	9	99	10	173	60	119	43	50					
		3.80%	9.99%	4.97%	2.55%	4.64%	2.41%	0.65%	3.00%	2.15%	3.82%	1.25%	3.06%	5.75%	0.61%	4.24%	3.50%	2.73%	1.41%	5.39%	0.70%	6.56%	0.81%	9.16%	3.52%	7.73%	3.27%	5.26%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24707	865	989	1226	853	1098	1201	1129	937	1222	1461	992	980	1183	662	1433	745	683	1013	816	793	598	984	1009	657	702	476					
		59.71%	65.98%	58.56%	60.01%	54.23%	66.14%	65.06%	69.18%	62.97%	58.30%	76.17%	64.50%	63.35%	71.83%	58.48%	61.98%	53.44%	53.32%	54.61%	63.75%	52.59%	48.50%	52.12%	59.18%	42.66%	53.47%	50.05%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	278	14	15	6	9	15	6	10	12	11	7	15	13	2	4	26	15	4	15	3	13	6	16	8	16	11	6					
		0.67%	1.07%	0.89%	0.29%	0.57%	0.90%	0.33%	0.61%	0.81%	0.52%	0.36%	0.98%	0.84%	0.12%	0.35%	1.12%	1.08%	0.31%	0.81%	0.23%	0.86%	0.49%	0.85%	0.47%	1.04%	0.84%	0.63%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
