Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Некрасовская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621					
1	"Число избирателей, внесенных в список избирателей"	18767	1081	1268	1530	1583	634	442	526	1137	197	164	1177	436	248	196	158	119	944	607	273	259	530	1236	1508	476	454	411	430	214	170	359					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17230	1000	1150	1400	1500	580	380	500	1050	190	140	1100	400	220	180	150	110	850	550	250	250	500	1100	1400	440	410	370	400	150	160	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9265	616	545	904	971	304	255	238	535	109	86	497	187	58	98	110	55	349	246	121	98	276	603	980	195	154	184	212	136	66	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2049	42	205	53	25	55	26	41	109	31	28	79	41	92	23	10	26	149	104	51	65	63	138	38	96	122	86	79	5	46	121					
6	Число погашенных избирательных бюллетеней	5916	342	400	443	504	221	99	221	406	50	26	524	172	70	59	30	29	352	200	78	87	161	359	382	149	134	100	109	9	48	152					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2049	42	205	53	25	55	26	41	109	31	28	79	41	92	23	10	26	149	104	51	65	63	138	38	96	122	86	79	5	46	121					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9264	616	545	903	971	304	255	238	535	109	86	497	187	58	98	110	55	349	246	121	98	276	603	980	195	154	184	212	136	66	77					
9	Число недействительных избирательных бюллетеней	202	14	23	24	10	7	9	6	6	4	0	13	4	1	1	3	0	5	6	3	3	2	15	21	3	3	4	11	1	0	0					
10	Число действительных избирательных бюллетеней	11111	644	727	932	986	352	272	273	638	136	114	563	224	149	120	117	81	493	344	169	160	337	726	997	288	273	266	280	140	112	198					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	380	15	15	15	10	10	10	10	10	5	5	20	10	5	10	15	10	20	25	15	10	20	20	20	10	10	10	10	10	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	199	10	11	7	10	3	6	6	5	2	2	15	5	0	1	11	2	7	6	10	3	12	7	11	7	5	4	10	1	7	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	293	18	4	11	15	1	52	34	23	0	6	9	3	0	3	2	2	10	8	3	3	1	13	31	0	5	9	4	7	1	15					
14	Число погашенных неиспользованных открепительных удостоверений	181	5	4	8	0	7	4	4	5	3	3	5	5	5	9	4	8	13	19	5	7	8	13	9	3	5	6	0	9	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1982	149	124	202	242	58	59	41	106	14	6	90	26	18	26	20	12	68	66	27	14	57	92	175	56	56	42	37	41	14	44					
		17.52%	22.64%	16.53%	21.13%	24.30%	16.16%	20.99%	14.70%	16.46%	10.00%	5.26%	15.63%	11.40%	12.00%	21.49%	16.67%	14.81%	13.65%	18.86%	15.70%	8.59%	16.81%	12.42%	17.19%	19.24%	20.29%	15.56%	12.71%	29.08%	12.50%	22.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1957	121	158	175	166	92	55	49	123	17	23	98	37	14	15	16	10	81	38	23	37	30	114	216	47	50	44	43	29	16	20					
		17.30%	18.39%	21.07%	18.31%	16.67%	25.63%	19.57%	17.56%	19.10%	12.14%	20.18%	17.01%	16.23%	9.33%	12.40%	13.33%	12.35%	16.27%	10.86%	13.37%	22.70%	8.85%	15.38%	21.22%	16.15%	18.12%	16.30%	14.78%	20.57%	14.29%	10.10%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	154	5	12	14	19	4	5	1	5	1	2	9	4	1	1	2	1	11	6	3	1	5	9	17	5	1	3	4	2	1	0					
		1.36%	0.76%	1.60%	1.46%	1.91%	1.11%	1.78%	0.36%	0.78%	0.71%	1.75%	1.56%	1.75%	0.67%	0.83%	1.67%	1.23%	2.21%	1.71%	1.74%	0.61%	1.47%	1.21%	1.67%	1.72%	0.36%	1.11%	1.37%	1.42%	0.89%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2432	162	157	242	235	57	45	66	89	39	24	134	80	19	33	29	15	111	74	38	26	61	220	231	66	32	28	47	15	20	37					
		21.50%	24.62%	20.93%	25.31%	23.59%	15.88%	16.01%	23.66%	13.82%	27.86%	21.05%	23.26%	35.09%	12.67%	27.27%	24.17%	18.52%	22.29%	21.14%	22.09%	15.95%	17.99%	29.69%	22.69%	22.68%	11.59%	10.37%	16.15%	10.64%	17.86%	18.69%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	317	20	17	34	33	7	6	8	24	1	3	16	7	2	0	1	0	21	14	1	1	3	17	38	2	7	4	16	6	1	7					
		2.80%	3.04%	2.27%	3.56%	3.31%	1.95%	2.14%	2.87%	3.73%	0.71%	2.63%	2.78%	3.07%	1.33%	0.00%	0.83%	0.00%	4.22%	4.00%	0.58%	0.61%	0.88%	2.29%	3.73%	0.69%	2.54%	1.48%	5.50%	4.26%	0.89%	3.54%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4213	185	251	257	287	132	102	105	287	64	56	213	69	94	45	48	42	198	144	77	81	179	271	315	112	126	144	132	47	60	90					
		37.24%	28.12%	33.47%	26.88%	28.82%	36.77%	36.30%	37.63%	44.57%	45.71%	49.12%	36.98%	30.26%	62.67%	37.19%	40.00%	51.85%	39.76%	41.14%	44.77%	49.69%	52.80%	36.57%	30.94%	38.49%	45.65%	53.33%	45.36%	33.33%	53.57%	45.45%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	56	2	8	8	4	2	0	3	4	0	0	3	1	1	0	1	1	3	2	0	0	2	3	5	0	1	1	1	0	0	0					
		0.50%	0.30%	1.07%	0.84%	0.40%	0.56%	0.00%	1.08%	0.62%	0.00%	0.00%	0.52%	0.44%	0.67%	0.00%	0.83%	1.23%	0.60%	0.57%	0.00%	0.00%	0.59%	0.40%	0.49%	0.00%	0.36%	0.37%	0.34%	0.00%	0.00%	0.00%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
