Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Эжвинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  276	УИК  277	УИК  278					
1	"Число избирателей, внесенных в список"	41176	2248	2363	2442	2700	2698	2387	2755	2584	1970	2030	2270	2205	2350	2405	1355	1123	2308	1340	1525	118					
2	Число полученных избирательных бюллетеней	37950	2000	2100	2250	2600	2500	2100	2500	2400	1800	1900	2100	2000	2250	2200	1300	1100	2100	1200	1400	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27030	1205	1253	1611	1949	1861	1643	1925	1797	1380	1412	1597	1523	1627	1386	984	668	1327	919	926	37					
5	"Число избирательных бюллетеней, выданных вне помещения"	461	83	15	17	19	21	10	17	13	17	20	27	26	24	14	9	14	5	11	18	81					
6	Число погашенных избирательных бюллетеней	10459	712	832	622	632	618	447	558	590	403	468	476	451	599	800	307	418	768	270	456	32					
7	Число избирательных бюллетеней в переносных ящиках	461	83	15	17	19	21	10	17	13	17	20	27	26	24	14	9	14	5	11	18	81					
8	Число бюллетеней в стационарных ящиках для голосования	27027	1205	1253	1611	1949	1861	1643	1923	1797	1380	1412	1597	1523	1627	1386	984	668	1327	919	925	37					
9	Число недействительных избирательных бюллетеней	117	12	5	2	4	6	6	8	3	6	3	6	11	9	9	4	0	10	8	5	0					
10	Число действительных избирательных бюллетеней	27371	1276	1263	1626	1964	1876	1647	1932	1807	1391	1429	1618	1538	1642	1391	989	682	1322	922	938	118					
11	Число полученных открепительных  удостоверений	285	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0					
12	Число выданных открепительных удостоверений	131	2	3	11	12	4	15	13	7	11	4	8	8	4	9	5	5	0	8	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	136	7	15	7	8	9	4	5	4	4	9	5	14	8	8	6	1	10	3	2	7					
14	Число неиспользованных открепительных удостоверений	154	13	12	4	3	11	0	2	8	4	11	7	7	11	6	10	10	15	7	13	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	0	1	0	2	2	1	1	1	1	0	2	1	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	825	22	35	69	75	78	49	71	50	34	49	51	46	40	43	23	19	21	23	20	7					
		3.00%	1.71%	2.76%	4.24%	3.81%	4.14%	2.96%	3.66%	2.76%	2.43%	3.42%	3.14%	2.97%	2.42%	3.07%	2.32%	2.79%	1.58%	2.47%	2.12%	5.93%					
19	. Малышкин Олег Александрович	590	24	40	44	30	32	29	28	45	35	38	27	23	49	30	20	19	30	22	23	2					
		2.15%	1.86%	3.15%	2.70%	1.52%	1.70%	1.75%	1.44%	2.49%	2.51%	2.65%	1.66%	1.48%	2.97%	2.14%	2.01%	2.79%	2.25%	2.37%	2.44%	1.69%					
20	. Миронов Сергей Михайлович	190	13	11	14	12	6	11	8	13	10	8	15	15	13	8	8	7	12	3	2	1					
		0.69%	1.01%	0.87%	0.86%	0.61%	0.32%	0.67%	0.41%	0.72%	0.72%	0.56%	0.92%	0.97%	0.79%	0.57%	0.81%	1.03%	0.90%	0.32%	0.21%	0.85%					
21	. Путин Владимир Владимирович	21317	1031	989	1251	1520	1440	1269	1478	1409	1055	1087	1218	1236	1261	1077	815	536	1068	740	756	81					
		77.55%	80.05%	78.00%	76.84%	77.24%	76.51%	76.77%	76.19%	77.85%	75.52%	75.91%	75.00%	79.79%	76.38%	76.93%	82.07%	78.59%	80.18%	79.57%	80.17%	68.64%					
22	. Хакамада Ирина Муцуовна	1132	96	35	63	86	76	89	91	77	50	62	68	60	69	42	41	24	36	34	31	2					
		4.12%	7.45%	2.76%	3.87%	4.37%	4.04%	5.38%	4.69%	4.25%	3.58%	4.33%	4.19%	3.87%	4.18%	3.00%	4.13%	3.52%	2.70%	3.66%	3.29%	1.69%					
23	. Харитонов Николай Михайлович	2413	47	108	144	170	175	139	189	143	150	142	186	120	159	136	61	57	108	79	79	21					
		8.78%	3.65%	8.52%	8.85%	8.64%	9.30%	8.41%	9.74%	7.90%	10.74%	9.92%	11.45%	7.75%	9.63%	9.71%	6.14%	8.36%	8.11%	8.49%	8.38%	17.80%					
																											
24	Против всех	904	43	45	41	71	69	61	67	70	57	43	53	38	51	55	21	20	47	21	27	4					
		3.29%	3.34%	3.55%	2.52%	3.61%	3.67%	3.69%	3.45%	3.87%	4.08%	3.00%	3.26%	2.45%	3.09%	3.93%	2.11%	2.93%	3.53%	2.26%	2.86%	3.39%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
