Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Инжавинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  1041					
1	"Число избирателей, внесенных в список"	20234	1199	1236	1216	1261	1133	686	487	844	383	397	566	553	257	151	450	153	465	203	109	159	104	997	624	415	347	505	437	278	286	277	404	334	257	192	629	243	651	401	339	210	175	221					
2	Число полученных избирательных бюллетеней	20042	1180	1232	1188	1193	1131	678	495	835	376	393	562	553	253	146	460	157	430	195	109	158	102	955	624	410	342	506	433	270	302	281	401	379	260	193	617	248	642	408	340	216	173	216					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11373	700	671	693	654	649	416	291	439	211	228	306	403	108	73	263	91	262	80	87	109	68	596	313	161	191	305	221	125	162	189	249	216	123	131	304	143	431	182	199	128	101	101					
5	"Число избирательных бюллетеней, выданных вне помещения"	4054	130	101	61	138	78	59	56	98	100	98	133	55	73	46	102	48	135	100	22	39	23	127	101	153	108	71	159	126	107	66	144	118	133	29	259	89	157	110	82	59	50	111					
6	Число погашенных избирательных бюллетеней	4615	350	460	434	401	404	203	148	298	65	67	123	95	72	27	95	18	33	15	0	10	11	232	210	96	43	130	53	19	33	26	8	45	4	33	54	16	54	116	59	29	22	4					
7	Число избирательных бюллетеней в переносных ящиках	4054	130	101	61	138	78	59	56	98	100	98	133	55	73	46	102	48	135	100	22	39	23	127	101	153	108	71	159	126	107	66	144	118	133	29	259	89	157	110	82	59	50	111					
8	Число бюллетеней в стационарных ящиках для голосования	11368	700	671	692	653	649	416	291	439	211	228	305	403	108	73	262	91	262	80	87	109	68	596	313	161	191	305	221	125	162	189	249	216	123	131	304	143	430	182	199	128	101	101					
9	Число недействительных избирательных бюллетеней	123	2	10	11	4	1	3	4	9	3	3	8	1	4	0	2	0	6	0	0	0	1	1	10	4	2	4	3	0	0	1	5	6	0	0	2	3	1	4	3	2	0	0					
10	Число действительных избирательных бюллетеней	15299	828	762	742	787	726	472	343	528	308	323	430	457	177	119	362	139	391	180	109	148	90	722	404	310	297	372	377	251	269	254	388	328	256	160	561	229	586	288	278	185	151	212					
11	Число полученных открепительных  удостоверений	280	23	23	23	15	20	15	15	15	4	4	6	5	3	3	5	2	5	3	2	2	2	10	5	4	4	4	4	3	3	3	4	4	3	3	6	3	5	4	4	3	3	3					
12	Число выданных открепительных удостоверений	89	7	9	9	6	3	4	2	1	4	2	2	2	0	0	5	0	3	0	0	0	0	5	4	0	1	4	0	0	3	0	2	3	0	0	2	0	5	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	3	5	17	1	3	3	3	3	0	2	2	1	0	0	3	4	4	2	1	1	0	2	2	2	0	4	0	1	1	0	1	2	0	0	3	0	3	2	1	2	1	0					
14	Число неиспользованных открепительных удостоверений	191	16	14	14	9	17	11	13	14	0	2	4	3	3	3	0	2	2	3	2	2	2	5	1	4	3	0	4	3	0	3	2	1	3	3	4	3	0	3	4	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	279	14	15	13	15	18	1	6	16	7	4	14	5	3	2	8	2	6	2	0	1	3	20	9	8	6	7	14	1	0	3	11	4	7	1	6	2	7	6	6	1	1	4					
