Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Игарская городская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118					
1	"Число избирателей, внесенных в список"	6576	110	913	169	868	647	462	330	710	967	697	703					
2	Число полученных избирательных бюллетеней	6350	100	850	140	850	610	380	320	750	950	700	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	8	0	0	8	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3297	98	663	77	391	314	125	155	278	453	386	357					
5	"Число избирательных бюллетеней, выданных вне помещения"	310	0	37	30	22	23	63	18	39	33	27	18					
6	Число погашенных избирательных бюллетеней	2735	2	150	25	437	273	192	147	433	464	287	325					
7	Число избирательных бюллетеней в переносных ящиках	318	0	37	38	22	23	63	18	39	33	27	18					
8	Число бюллетеней в стационарных ящиках для голосования	3297	98	663	77	391	314	125	155	278	453	386	357					
9	Число недействительных избирательных бюллетеней	18	0	2	0	2	2	2	1	3	3	2	1					
10	Число действительных избирательных бюллетеней	3597	98	698	115	411	335	186	172	314	483	411	374					
11	Число полученных открепительных  удостоверений	75	0	30	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	20	0	11	0	1	0	0	1	3	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	4	2	0	0	0	0	0	1	0	0					
14	Число неиспользованных открепительных удостоверений	55	0	19	5	4	5	5	4	2	4	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	267	2	62	9	31	19	7	13	12	35	34	43					
		7.39%	2.04%	8.86%	7.83%	7.51%	5.64%	3.72%	7.51%	3.79%	7.20%	8.23%	11.47%					
19	. Малышкин Олег Александрович	78	0	18	4	11	8	4	2	7	13	4	7					
		2.16%	0.00%	2.57%	3.48%	2.66%	2.37%	2.13%	1.16%	2.21%	2.67%	0.97%	1.87%					
20	. Миронов Сергей Михайлович	22	0	5	3	1	3	1	0	2	3	3	1					
		0.61%	0.00%	0.71%	2.61%	0.24%	0.89%	0.53%	0.00%	0.63%	0.62%	0.73%	0.27%					
21	. Путин Владимир Владимирович	2707	88	510	90	306	245	151	127	261	349	317	263					
		74.88%	89.80%	72.86%	78.26%	74.09%	72.70%	80.32%	73.41%	82.33%	71.81%	76.76%	70.13%					
22	. Хакамада Ирина Муцуовна	110	2	31	2	10	7	2	8	5	13	13	17					
		3.04%	2.04%	4.43%	1.74%	2.42%	2.08%	1.06%	4.62%	1.58%	2.67%	3.15%	4.53%					
23	. Харитонов Николай Михайлович	287	6	46	6	35	46	12	12	16	57	28	23					
		7.94%	6.12%	6.57%	5.22%	8.47%	13.65%	6.38%	6.94%	5.05%	11.73%	6.78%	6.13%					
																		
24	Против всех	126	0	26	1	17	7	9	10	11	13	12	20					
		3.49%	0.00%	3.71%	0.87%	4.12%	2.08%	4.79%	5.78%	3.47%	2.67%	2.91%	5.33%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
