Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																		
Дата голосования: 18.09.2016																		
																		
Наименование Избирательной комиссии:    Абыйская																		
																		
Сводная таблица итогов голосования по федеральному избирательному округу																		
																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2905	313	1521	343	289	34	139	266									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3100	350	1560	370	320	40	170	290									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	45	0	19	15	1	0	0	10									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1627	209	771	193	170	27	84	173									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	119	9	73	17	10	0	4	6									
6	Число погашенных избирательных бюллетеней	1309	132	697	145	139	13	82	101									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	164	9	92	32	11	0	4	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1627	209	771	193	170	27	84	173									
9	Число недействительных избирательных бюллетеней	42	1	32	2	3	0	1	3									
10	Число действительных избирательных бюллетеней	1749	217	831	223	178	27	87	186									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	15	90	20	20	5	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	171	15	85	20	20	1	10	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	2	70	6	1	1	6	4									
14	Число погашенных неиспользованных открепительных удостоверений	9	0	5	0	0	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	16	17	8	3	3	18	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0									
																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	22	2	11	3	1	0	4	1									
		1.23%	0.92%	1.27%	1.33%	0.55%	0.00%	4.55%	0.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	50	13	22	8	1	0	4	2									
		2.79%	5.96%	2.55%	3.56%	0.55%	0.00%	4.55%	1.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	65	2	47	8	3	0	1	4									
		3.63%	0.92%	5.45%	3.56%	1.66%	0.00%	1.14%	2.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1046	138	465	114	130	26	61	112									
		58.40%	63.30%	53.88%	50.67%	71.82%	96.30%	69.32%	59.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	6	1	5	0	0	0	0	0									
		0.34%	0.46%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	4	1	0	0	0	0									
		0.28%	0.00%	0.46%	0.44%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	113	11	66	13	12	0	1	10									
		6.31%	5.05%	7.65%	5.78%	6.63%	0.00%	1.14%	5.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	0	3	0	0	0	0	0									
		0.17%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	0	8	0	0	0	0	1									
		0.50%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.53%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	4	0	0	0	0	2									
		0.34%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	1.06%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	1	5	0	0	0	0	0									
		0.34%	0.46%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	199	33	82	41	11	1	5	26									
		11.11%	15.14%	9.50%	18.22%	6.08%	3.70%	5.68%	13.76%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	0	2	0	1	0	0	0									
		0.17%	0.00%	0.23%	0.00%	0.55%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	216	16	107	35	19	0	11	28									
		12.06%	7.34%	12.40%	15.56%	10.50%	0.00%	12.50%	14.81%									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
