Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Усть-Джегутинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227					
1	"Число избирателей, внесенных в список"	34416	1587	1809	882	845	1880	1592	1227	2129	1462	1835	1997	1470	1090	883	506	921	674	2705	1652	1881	1210	1484	2265	430					
2	Число полученных избирательных бюллетеней	34125	1608	1811	951	836	1855	1600	1160	2114	1453	1841	1944	1467	1124	862	498	917	673	2633	1651	1772	1225	1491	2207	432					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30433	1477	1704	834	777	1830	1464	984	2020	1354	1472	1836	1261	887	840	410	862	615	2511	1534	1673	1101	1306	1314	367					
5	"Число избирательных бюллетеней, выданных вне помещения"	1121	21	10	5	6	20	46	99	23	38	29	11	144	152	10	17	0	34	14	37	99	82	104	96	24					
6	Число погашенных избирательных бюллетеней	2571	110	97	112	53	5	90	77	71	61	340	97	62	85	12	71	55	24	108	80	0	42	81	797	41					
7	Число избирательных бюллетеней в переносных ящиках	1121	21	10	5	6	20	46	99	23	38	29	11	144	152	10	17	0	34	14	37	99	82	104	96	24					
8	Число бюллетеней в стационарных ящиках для голосования	30431	1477	1704	834	777	1830	1464	984	2020	1354	1470	1836	1261	887	840	410	862	615	2511	1534	1673	1101	1306	1314	367					
9	Число недействительных избирательных бюллетеней	92	17	6	2	0	0	7	0	0	10	8	0	11	8	0	4	0	0	1	3	0	0	2	13	0					
10	Число действительных избирательных бюллетеней	31460	1481	1708	837	783	1850	1503	1083	2043	1382	1491	1847	1394	1031	850	423	862	649	2524	1568	1772	1183	1408	1397	391					
11	Число полученных открепительных  удостоверений	250	17	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	13	10	10	10	10	10					
12	Число выданных открепительных удостоверений	108	16	10	3	5	2	3	0	7	3	4	5	5	0	1	2	2	1	3	11	6	1	10	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	3	2	4	3	1	0	0	2	0	1	1	3	2	0	2	0	0	0	1	5	1	4	0	0					
14	Число неиспользованных открепительных удостоверений	142	1	0	7	5	8	7	10	3	7	6	5	5	10	9	8	8	9	7	2	4	9	0	2	10					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	278	25	12	6	4	43	16	10	24	14	24	5	13	12	13	12	0	2	11	14	0	15	2	0	1					
		0.88%	1.67%	0.70%	0.72%	0.51%	2.32%	1.06%	0.92%	1.17%	1.01%	1.60%	0.27%	0.93%	1.15%	1.53%	2.81%	0.00%	0.31%	0.44%	0.89%	0.00%	1.27%	0.14%	0.00%	0.26%					
19	. Малышкин Олег Александрович	161	10	10	3	2	47	1	7	14	11	6	5	10	5	8	0	0	1	7	1	0	0	3	9	1					
		0.51%	0.67%	0.58%	0.36%	0.26%	2.54%	0.07%	0.65%	0.69%	0.79%	0.40%	0.27%	0.71%	0.48%	0.94%	0.00%	0.00%	0.15%	0.28%	0.06%	0.00%	0.00%	0.21%	0.64%	0.26%					
20	. Миронов Сергей Михайлович	180	16	18	0	1	64	1	5	16	17	3	1	4	3	7	0	9	0	1	4	0	5	1	4	0					
		0.57%	1.07%	1.05%	0.00%	0.13%	3.46%	0.07%	0.46%	0.78%	1.22%	0.20%	0.05%	0.28%	0.29%	0.82%	0.00%	1.04%	0.00%	0.04%	0.25%	0.00%	0.42%	0.07%	0.28%	0.00%					
21	. Путин Владимир Владимирович	27145	1089	1481	766	716	1501	1292	838	1723	1042	1210	1780	1190	856	728	365	817	619	2136	1481	1495	1103	1340	1201	376					
		86.03%	72.70%	86.41%	91.30%	91.44%	81.14%	85.56%	77.38%	84.34%	74.86%	80.72%	96.37%	84.70%	82.39%	85.65%	85.48%	94.78%	95.38%	84.59%	94.27%	84.37%	93.24%	95.04%	85.18%	96.16%					
22	. Хакамада Ирина Муцуовна	326	18	10	6	3	40	22	8	61	35	32	13	12	9	6	5	8	4	5	7	0	10	1	11	0					
