Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Темниковская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654					
1	"Число избирателей, внесенных в список"	15352	1074	1654	944	516	1564	430	427	203	210	183	668	333	221	798	138	311	375	535	250	481	200	943	369	237	223	129	346	440	156	395	599					
2	Число полученных избирательных бюллетеней	15489	1105	1668	955	521	1570	431	425	202	210	185	667	335	226	818	138	310	379	545	252	484	200	950	370	241	221	130	347	445	159	397	603					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12651	731	1511	681	457	1337	371	335	100	182	125	654	255	221	707	138	280	375	319	156	327	165	786	360	222	154	127	331	378	156	229	481					
5	"Число избирательных бюллетеней, выданных вне помещения"	2375	288	93	227	51	141	54	87	98	28	58	5	78	0	74	0	29	0	209	94	148	35	140	8	15	67	0	12	59	0	165	112					
6	Число погашенных избирательных бюллетеней	463	86	64	47	13	92	6	3	4	0	2	8	2	5	37	0	1	4	17	2	9	0	24	2	4	0	3	4	8	3	3	10					
7	Число избирательных бюллетеней в переносных ящиках	2375	288	93	227	51	141	54	87	98	28	58	5	78	0	74	0	29	0	209	94	148	35	140	8	15	67	0	12	59	0	165	112					
8	Число бюллетеней в стационарных ящиках для голосования	12649	731	1509	681	457	1337	371	335	100	182	125	654	255	221	707	138	280	375	319	156	327	165	786	360	222	154	127	331	378	156	229	481					
9	Число недействительных избирательных бюллетеней	64	8	30	1	2	7	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	1	1					
10	Число действительных избирательных бюллетеней	14960	1011	1572	907	506	1471	425	422	198	210	183	659	333	221	772	138	309	375	528	249	475	200	924	367	237	221	127	343	436	156	393	592					
11	Число полученных открепительных  удостоверений	310	30	30	25	15	30	5	5	5	5	5	5	5	5	15	5	5	5	10	5	5	5	20	5	5	5	5	10	10	5	5	15					
12	Число выданных открепительных удостоверений	109	13	10	7	7	29	1	5	0	0	0	0	0	1	3	0	1	1	7	2	1	0	7	3	0	0	1	3	1	0	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	2	2	2	0	10	1	2	0	1	0	1	0	0	0	3	2	1	2	0	0	0	1	0	0	2	0	0	0	1	0	0					
