Выборы Президента Российской Федерации																																								
																																								
"Наименование Избирательной комиссии:    Орск, Ленинская"																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214					
1	"Число избирателей, внесенных в список"	65232	2491	2550	2566	1366	2096	1634	1360	1794	1444	1611	1802	2018	1827	1652	2212	2670	2637	2512	2710	1990	2030	2272	1852	2364	1222	2363	1791	1947	1897	2217	1544	2322	469					
2	Число полученных избирательных бюллетеней	64920	2480	2540	2570	1350	2080	1640	1330	1780	1420	1590	1770	1990	1810	1640	2200	2650	2610	2520	2720	2000	2000	2290	1840	2330	1210	2340	1790	1940	1860	2260	1530	2380	460					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33264	1434	1264	1306	717	967	873	782	998	827	871	966	1056	976	931	1168	1406	1351	1372	1518	1053	929	1156	928	1233	583	1024	811	782	753	1063	694	1088	384					
5	"Число избирательных бюллетеней, выданных вне помещения"	1642	26	70	79	19	29	44	20	30	33	33	51	29	32	21	33	41	52	69	45	44	42	25	32	34	42	53	86	103	206	108	76	30	5					
6	Число погашенных избирательных бюллетеней	30014	1020	1206	1185	614	1084	723	528	752	560	686	753	905	802	688	999	1203	1207	1079	1157	903	1029	1109	880	1063	585	1263	893	1055	901	1089	760	1262	71					
7	Число избирательных бюллетеней в переносных ящиках	1641	26	70	79	19	29	44	20	30	33	33	51	29	32	21	33	41	52	69	45	44	42	25	32	34	41	53	86	103	206	108	76	30	5					
8	Число бюллетеней в стационарных ящиках для голосования	33261	1434	1264	1306	717	967	873	782	998	827	871	966	1056	976	931	1168	1406	1351	1372	1518	1053	929	1155	928	1233	583	1024	811	780	753	1063	694	1088	384					
9	Число недействительных избирательных бюллетеней	298	16	8	15	11	6	8	1	13	13	9	14	2	8	15	10	0	11	7	13	9	11	11	6	14	3	6	4	6	10	14	7	11	6					
10	Число действительных избирательных бюллетеней	34604	1444	1326	1370	725	990	909	801	1015	847	895	1003	1083	1000	937	1191	1447	1392	1434	1550	1088	960	1169	954	1253	621	1071	893	877	949	1157	763	1107	383					
