Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Октябрьская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043					
1	"Число избирателей, внесенных в список"	23547	470	769	1214	2181	2222	1797	1130	673	945	946	1329	1552	1634	1205	1167	1147	917	2148	61	40					
2	Число полученных избирательных бюллетеней	22102	450	700	1100	2000	2000	1800	1100	650	900	900	1200	1500	1500	1100	1100	1100	900	2000	60	42					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11011	210	329	392	1066	1122	922	468	323	417	349	541	778	818	519	566	614	394	1083	60	40					
5	"Число избирательных бюллетеней, выданных вне помещения"	1727	33	84	259	111	117	59	112	65	78	123	49	90	96	89	95	111	80	76	0	0					
6	Число погашенных избирательных бюллетеней	9364	207	287	449	823	761	819	520	262	405	428	610	632	586	492	439	375	426	841	0	2					
7	Число избирательных бюллетеней в переносных ящиках	1727	33	84	259	111	117	59	112	65	78	123	49	90	96	89	95	111	80	76	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11011	210	329	392	1066	1122	922	468	323	417	349	541	778	818	519	566	614	394	1083	60	40					
9	Число недействительных избирательных бюллетеней	144	2	6	0	5	10	15	7	11	12	7	8	5	8	7	7	12	10	11	0	1					
10	Число действительных избирательных бюллетеней	12594	241	407	651	1172	1229	966	573	377	483	465	582	863	906	601	654	713	464	1148	60	39					
11	Число полученных открепительных  удостоверений	358	10	15	20	30	30	20	20	10	15	16	20	30	20	20	27	20	15	20	0	0					
12	Число выданных открепительных удостоверений	260	4	10	13	28	26	10	8	6	9	10	8	27	19	13	27	15	11	16	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	226	9	6	13	9	12	11	4	1	12	5	2	4	7	3	6	5	5	12	60	40					
14	Число неиспользованных открепительных удостоверений	98	6	5	7	2	4	10	12	4	6	6	12	3	1	7	0	5	4	4	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	2	3	2	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	396	8	9	24	41	19	28	14	4	7	8	19	29	17	31	26	45	25	41	1	0					
		3.11%	3.29%	2.18%	3.69%	3.48%	1.53%	2.85%	2.41%	1.03%	1.41%	1.69%	3.22%	3.34%	1.86%	5.10%	3.93%	6.21%	5.27%	3.54%	1.67%	0.00%					
19	. Малышкин Олег Александрович	300	7	10	8	21	22	28	7	19	10	14	15	18	26	21	18	18	14	21	2	1					
		2.36%	2.88%	2.42%	1.23%	1.78%	1.78%	2.85%	1.21%	4.90%	2.02%	2.97%	2.54%	2.07%	2.84%	3.45%	2.72%	2.48%	2.95%	1.81%	3.33%	2.50%					
20	. Миронов Сергей Михайлович	82	3	1	4	12	11	7	5	1	4	3	0	3	5	2	4	6	6	5	0	0					
		0.64%	1.23%	0.24%	0.61%	1.02%	0.89%	0.71%	0.86%	0.26%	0.81%	0.64%	0.00%	0.35%	0.55%	0.33%	0.61%	0.83%	1.27%	0.43%	0.00%	0.00%					
21	. Путин Владимир Владимирович	8403	158	282	481	722	802	646	435	266	351	320	422	577	611	366	446	397	286	754	49	32					
		65.97%	65.02%	68.28%	73.89%	61.34%	64.73%	65.85%	75.00%	68.56%	70.91%	67.80%	71.53%	66.47%	66.85%	60.20%	67.47%	54.76%	60.34%	65.06%	81.67%	80.00%					
22	. Хакамада Ирина Муцуовна	274	2	5	11	34	32	36	9	7	7	8	17	19	24	8	10	15	6	24	0	0					
		2.15%	0.82%	1.21%	1.69%	2.89%	2.58%	3.67%	1.55%	1.80%	1.41%	1.69%	2.88%	2.19%	2.63%	1.32%	1.51%	2.07%	1.27%	2.07%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2852	57	91	109	316	303	194	99	75	102	101	97	199	200	157	137	208	118	276	8	5					
		22.39%	23.46%	22.03%	16.74%	26.85%	24.46%	19.78%	17.07%	19.33%	20.61%	21.40%	16.44%	22.93%	21.88%	25.82%	20.73%	28.69%	24.89%	23.81%	13.33%	12.50%					
																											
24	Против всех	287	6	9	14	26	40	27	4	5	2	11	12	18	23	16	13	24	9	27	0	1					
		2.25%	2.47%	2.18%	2.15%	2.21%	3.23%	2.75%	0.69%	1.29%	0.40%	2.33%	2.03%	2.07%	2.52%	2.63%	1.97%	3.31%	1.90%	2.33%	0.00%	2.50%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
