Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Чертковская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №2453	УИК №2454					
1	"Число избирателей, внесенных в список"	29751	933	848	958	873	761	1034	373	1286	923	955	1149	382	229	516	256	268	552	109	790	658	984	772	310	852	709	708	691	1208	654	577	331	1464	584	794	530	807	957	521	701	481	168	686	409					
2	Число полученных избирательных бюллетеней	30005	950	850	950	900	750	1000	370	1300	950	950	1100	400	230	520	260	260	540	115	790	670	990	780	320	870	700	750	700	1250	660	580	340	1500	600	800	540	820	970	520	700	480	170	700	410					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19421	592	482	534	495	444	609	248	617	533	495	614	244	183	379	181	201	382	96	655	539	779	556	281	669	526	464	461	888	435	398	313	835	340	551	300	558	645	332	445	258	140	444	280					
5	"Число избирательных бюллетеней, выданных вне помещения"	3400	41	38	56	70	34	51	27	128	72	70	213	84	23	60	33	21	71	5	63	18	67	41	0	65	59	110	126	179	56	35	7	178	155	151	148	103	127	111	176	159	19	91	59					
6	Число погашенных избирательных бюллетеней	7184	317	330	360	335	272	340	95	555	345	385	273	72	24	81	46	38	87	14	72	113	144	183	39	136	115	176	113	183	169	147	20	487	105	98	92	159	198	77	79	63	11	165	71					
7	Число избирательных бюллетеней в переносных ящиках	3400	41	38	56	70	34	51	27	128	72	70	213	84	23	60	33	21	71	5	63	18	67	41	0	65	59	110	126	179	56	35	7	178	155	151	148	103	127	111	176	159	19	91	59					
8	Число бюллетеней в стационарных ящиках для голосования	19421	592	482	534	495	444	609	248	617	533	495	614	244	183	379	181	201	382	96	655	539	779	556	281	669	526	464	461	888	435	398	313	835	340	551	300	558	645	332	445	258	140	444	280					
9	Число недействительных избирательных бюллетеней	221	4	4	11	2	6	3	0	11	3	3	7	4	0	4	3	4	4	2	8	0	7	4	3	0	14	2	8	3	8	3	1	11	33	7	3	9	5	2	5	0	0	7	3					
10	Число действительных избирательных бюллетеней	22600	629	516	579	563	472	657	275	734	602	562	820	324	206	435	211	218	449	99	710	557	839	593	278	734	571	572	579	1064	483	430	319	1002	462	695	445	652	767	441	616	417	159	528	336					
11	Число полученных открепительных  удостоверений	591	30	15	15	30	10	15	5	20	15	15	10	35	5	5	5	5	15	5	15	10	10	10	15	10	10	38	15	25	10	10	5	15	18	10	15	10	15	5	10	10	5	30	10					
12	Число выданных открепительных удостоверений	454	21	4	5	24	2	13	5	20	14	13	2	27	0	4	2	0	14	5	15	6	8	5	15	10	10	38	15	25	8	6	5	13	15	10	15	10	8	2	0	5	1	30	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	101	2	0	8	0	3	7	0	2	3	1	5	3	1	0	1	1	4	1	2	1	5	1	1	2	1	4	5	2	4	3	3	1	4	0	1	2	1	1	1	2	1	7	4					
