Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Духовницкая																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489					
1	"Число избирателей, внесенных в список"	11546	1179	1165	886	1141	484	532	815	300	449	306	336	279	443	390	251	557	170	346	313	108	520	576					
2	Число полученных избирательных бюллетеней	11481	1120	1150	872	1100	480	534	818	304	455	313	356	288	442	388	236	568	173	346	314	111	540	573					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9549	867	950	629	800	358	453	758	287	430	269	302	225	396	363	220	470	137	312	269	98	428	528					
5	"Число избирательных бюллетеней, выданных вне помещения"	815	54	48	87	114	54	55	32	0	0	33	27	46	39	17	11	52	25	19	23	2	65	12					
6	Число погашенных избирательных бюллетеней	1117	199	152	156	186	68	26	28	17	25	11	27	17	7	8	5	46	11	15	22	11	47	33					
7	Число избирательных бюллетеней в переносных ящиках	815	54	48	87	114	54	55	32	0	0	33	27	46	39	17	11	52	25	19	23	2	65	12					
8	Число бюллетеней в стационарных ящиках для голосования	9549	867	950	629	800	358	453	758	287	430	269	302	225	396	363	220	470	137	312	269	98	428	528					
9	Число недействительных избирательных бюллетеней	124	4	48	19	4	13	0	0	0	0	0	15	0	0	0	5	7	0	2	0	1	6	0					
10	Число действительных избирательных бюллетеней	10240	917	950	697	910	399	508	790	287	430	302	314	271	435	380	226	515	162	329	292	99	487	540					
11	Число полученных открепительных  удостоверений	495	28	28	28	28	15	23	28	21	23	22	22	20	23	23	18	23	15	23	23	15	23	23					
12	Число выданных открепительных удостоверений	135	23	8	9	13	0	11	0	0	3	4	0	2	7	5	0	21	0	0	5	0	13	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	3	1	7	9	1	4	2	0	3	2	16	0	6	5	2	3	3	4	5	0	0	2					
14	Число неиспользованных открепительных удостоверений	360	5	20	19	15	15	12	28	21	20	18	22	18	16	18	18	2	15	23	18	15	10	12					
15	"Число открепительных удостоверений, выданных в ТИК"	5	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	259	51	29	21	22	9	11	12	5	6	2	6	9	0	11	5	5	9	18	7	4	10	7					
		2.50%	5.54%	2.91%	2.93%	2.41%	2.18%	2.17%	1.52%	1.74%	1.40%	0.66%	1.82%	3.32%	0.00%	2.89%	2.16%	0.96%	5.56%	5.44%	2.40%	4.00%	2.03%	1.30%					
19	. Малышкин Олег Александрович	234	28	18	12	20	4	13	21	0	7	7	5	15	9	21	7	11	1	6	5	0	13	11					
		2.26%	3.04%	1.80%	1.68%	2.19%	0.97%	2.56%	2.66%	0.00%	1.63%	2.32%	1.52%	5.54%	2.07%	5.53%	3.03%	2.11%	0.62%	1.81%	1.71%	0.00%	2.64%	2.04%					
20	. Миронов Сергей Михайлович	59	9	9	8	8	1	2	0	1	2	1	1	0	2	0	3	2	0	0	3	0	4	3					
		0.57%	0.98%	0.90%	1.12%	0.88%	0.24%	0.39%	0.00%	0.35%	0.47%	0.33%	0.30%	0.00%	0.46%	0.00%	1.30%	0.38%	0.00%	0.00%	1.03%	0.00%	0.81%	0.56%					
21	. Путин Владимир Владимирович	7763	663	652	442	719	300	339	688	219	285	230	259	193	331	319	186	418	140	252	258	79	330	461					
		74.90%	71.99%	65.33%	61.73%	78.67%	72.82%	66.73%	87.09%	76.31%	66.28%	76.16%	78.72%	71.22%	76.09%	83.95%	80.52%	80.08%	86.42%	76.13%	88.36%	79.00%	66.94%	85.37%					
22	. Хакамада Ирина Муцуовна	127	15	11	22	13	3	5	13	6	4	3	1	0	4	4	2	4	3	2	1	0	5	6					
		1.23%	1.63%	1.10%	3.07%	1.42%	0.73%	0.98%	1.65%	2.09%	0.93%	0.99%	0.30%	0.00%	0.92%	1.05%	0.87%	0.77%	1.85%	0.60%	0.34%	0.00%	1.01%	1.11%					
23	. Харитонов Николай Михайлович	1587	131	207	170	119	75	122	49	50	118	58	39	52	68	14	17	62	4	37	16	15	117	47					
		15.31%	14.22%	20.74%	23.74%	13.02%	18.20%	24.02%	6.20%	17.42%	27.44%	19.21%	11.85%	19.19%	15.63%	3.68%	7.36%	11.88%	2.47%	11.18%	5.48%	15.00%	23.73%	8.70%					
																													
24	Против всех	211	20	24	22	9	7	16	7	6	8	1	3	2	21	11	6	13	5	14	2	1	8	5					
		2.04%	2.17%	2.40%	3.07%	0.98%	1.70%	3.15%	0.89%	2.09%	1.86%	0.33%	0.91%	0.74%	4.83%	2.89%	2.60%	2.49%	3.09%	4.23%	0.68%	1.00%	1.62%	0.93%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
