Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Вулканная поселковая								
								
Итоги голосования 								
								
		Сумма	УИК  103					
1	"Число избирателей, внесенных в список"	1258	1258					
2	Число полученных избирательных бюллетеней	1350	1350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	925	925					
5	"Число избирательных бюллетеней, выданных вне помещения"	11	11					
6	Число погашенных избирательных бюллетеней	414	414					
7	Число избирательных бюллетеней в переносных ящиках	11	11					
8	Число бюллетеней в стационарных ящиках для голосования	925	925					
9	Число недействительных избирательных бюллетеней	1	1					
10	Число действительных избирательных бюллетеней	935	935					
11	Число полученных открепительных  удостоверений	143	143					
12	Число выданных открепительных удостоверений	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	7					
14	Число неиспользованных открепительных удостоверений	137	137					
15	"Число открепительных удостоверений, выданных в ТИК"	7	7					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	27	27					
		2.88%	2.88%					
19	. Малышкин Олег Александрович	16	16					
		1.71%	1.71%					
20	. Миронов Сергей Михайлович	8	8					
		0.85%	0.85%					
21	. Путин Владимир Владимирович	726	726					
		77.56%	77.56%					
22	. Хакамада Ирина Муцуовна	57	57					
		6.09%	6.09%					
23	. Харитонов Николай Михайлович	58	58					
		6.20%	6.20%					
								
24	Против всех	43	43					
		4.59%	4.59%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
