Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Первомайская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524					
1	"Число избирателей, внесенных в список"	10290	670	332	164	173	328	149	146	300	453	273	331	297	445	532	353	183	281	118	713	702	1336	1320	691					
2	Число полученных избирательных бюллетеней	10340	670	336	165	177	335	152	148	302	455	272	332	297	450	546	353	173	282	120	730	675	1330	1350	690					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5471	432	179	95	112	101	71	92	175	239	106	126	180	250	244	132	78	148	53	307	386	860	756	349					
5	"Число избирательных бюллетеней, выданных вне помещения"	1665	54	56	30	44	134	43	17	56	54	88	127	85	20	143	111	54	49	28	240	67	47	59	59					
6	Число погашенных избирательных бюллетеней	3204	184	101	40	21	100	38	39	71	162	78	79	32	180	159	110	41	85	39	183	222	423	535	282					
7	Число избирательных бюллетеней в переносных ящиках	1665	54	56	30	44	134	43	17	56	54	88	127	85	20	143	111	54	49	28	240	67	47	59	59					
8	Число бюллетеней в стационарных ящиках для голосования	5466	432	179	95	112	101	71	92	175	239	106	126	180	250	244	132	78	148	53	307	386	858	754	348					
9	Число недействительных избирательных бюллетеней	72	7	1	9	0	3	0	2	2	7	1	1	0	2	1	1	0	3	0	11	1	1	5	14					
10	Число действительных избирательных бюллетеней	7059	479	234	116	156	232	114	107	229	286	193	252	265	268	386	242	132	194	81	536	452	904	808	393					
11	Число полученных открепительных  удостоверений	300	12	8	5	6	10	5	5	10	15	5	10	15	15	15	10	5	10	4	20	20	35	40	20					
12	Число выданных открепительных удостоверений	31	2	2	0	3	0	1	0	0	0	1	0	0	1	5	2	0	1	0	1	0	9	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	0	0	0	1	0	1	1	1	5	2	0	0	0	0	2	6	1	0	1	0	2	2	0					
14	Число неиспользованных открепительных удостоверений	269	10	6	5	3	10	4	5	10	15	4	10	15	14	10	8	5	9	4	19	20	26	37	20					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	148	3	5	5	1	5	6	1	7	6	1	9	2	7	14	1	8	5	1	10	13	20	11	7					
		2.08%	0.62%	2.13%	4.00%	0.64%	2.13%	5.26%	0.92%	3.03%	2.05%	0.52%	3.56%	0.75%	2.59%	3.62%	0.41%	6.06%	2.54%	1.23%	1.83%	2.87%	2.21%	1.35%	1.72%					
19	. Малышкин Олег Александрович	144	3	5	2	3	8	3	5	7	7	3	3	10	1	9	2	0	3	8	14	7	24	10	7					
		2.02%	0.62%	2.13%	1.60%	1.92%	3.40%	2.63%	4.59%	3.03%	2.39%	1.55%	1.19%	3.77%	0.37%	2.33%	0.82%	0.00%	1.52%	9.88%	2.56%	1.55%	2.65%	1.23%	1.72%					
20	. Миронов Сергей Михайлович	69	4	3	0	1	2	4	0	3	2	2	2	0	5	4	3	0	1	1	5	6	3	10	8					
		0.97%	0.82%	1.28%	0.00%	0.64%	0.85%	3.51%	0.00%	1.30%	0.68%	1.03%	0.79%	0.00%	1.85%	1.03%	1.23%	0.00%	0.51%	1.23%	0.91%	1.32%	0.33%	1.23%	1.97%					
21	. Путин Владимир Владимирович	5643	378	180	94	132	172	70	81	194	223	150	188	221	216	313	218	102	156	54	439	355	713	659	335					
		79.13%	77.78%	76.60%	75.20%	84.62%	73.19%	61.40%	74.31%	83.98%	76.11%	77.32%	74.31%	83.40%	80.00%	80.88%	89.71%	77.27%	79.19%	66.67%	80.26%	78.37%	78.78%	81.06%	82.31%					
22	. Хакамада Ирина Муцуовна	104	4	3	0	3	0	3	0	2	2	1	4	2	2	7	2	7	2	1	7	4	23	21	4					
		1.46%	0.82%	1.28%	0.00%	1.92%	0.00%	2.63%	0.00%	0.87%	0.68%	0.52%	1.58%	0.75%	0.74%	1.81%	0.82%	5.30%	1.02%	1.23%	1.28%	0.88%	2.54%	2.58%	0.98%					
23	. Харитонов Николай Михайлович	831	82	36	13	13	38	23	16	13	42	34	43	23	35	33	13	13	24	15	53	60	108	73	28					
		11.65%	16.87%	15.32%	10.40%	8.33%	16.17%	20.18%	14.68%	5.63%	14.33%	17.53%	17.00%	8.68%	12.96%	8.53%	5.35%	9.85%	12.18%	18.52%	9.69%	13.25%	11.93%	8.98%	6.88%					
																														
24	Против всех	120	5	2	2	3	7	5	4	3	4	2	3	7	2	6	3	2	3	1	8	7	13	24	4					
		1.68%	1.03%	0.85%	1.60%	1.92%	2.98%	4.39%	3.67%	1.30%	1.37%	1.03%	1.19%	2.64%	0.74%	1.55%	1.23%	1.52%	1.52%	1.23%	1.46%	1.55%	1.44%	2.95%	0.98%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
