Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Инсарская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289					
1	"Число избирателей, внесенных в список"	12110	1172	1279	1151	1226	627	678	638	274	52	480	125	283	434	294	278	244	283	152	51	424	72	186	198	274	403	255	65	266	246					
2	Число полученных избирательных бюллетеней	12314	1200	1300	1190	1230	647	689	628	277	54	484	128	288	434	299	286	250	289	152	57	430	76	192	200	278	405	262	67	268	254					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10866	1031	1073	1079	1121	586	632	584	265	42	471	125	263	405	214	245	224	275	142	48	374	66	161	182	226	335	212	55	220	210					
5	"Число избирательных бюллетеней, выданных вне помещения"	1198	137	193	67	102	40	44	38	9	10	9	0	20	29	80	33	20	8	10	3	49	6	25	16	48	68	43	10	45	36					
6	Число погашенных избирательных бюллетеней	250	32	34	44	7	21	13	6	3	2	4	3	5	0	5	8	6	6	0	6	7	4	6	2	4	2	7	2	3	8					
7	Число избирательных бюллетеней в переносных ящиках	1198	137	193	67	102	40	44	38	9	10	9	0	20	29	80	33	20	8	10	3	49	6	25	16	48	68	43	10	45	36					
8	Число бюллетеней в стационарных ящиках для голосования	10866	1031	1073	1079	1121	586	632	584	265	42	471	125	263	405	214	245	224	275	142	48	374	66	161	182	226	335	212	55	220	210					
9	Число недействительных избирательных бюллетеней	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	12061	1168	1264	1146	1223	626	676	622	274	52	480	125	283	434	294	278	244	283	152	51	423	72	186	198	273	403	255	65	265	246					
11	Число полученных открепительных  удостоверений	363	35	35	35	35	20	20	20	8	2	15	4	9	13	9	8	7	8	5	2	13	2	6	6	9	12	8	2	8	7					
12	Число выданных открепительных удостоверений	118	31	13	18	11	5	6	10	0	0	1	0	0	2	0	2	0	3	0	2	1	2	1	0	0	1	2	0	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	4	6	0	7	1	3	4	1	0	0	0	0	0	3	0	0	2	1	0	1	0	0	0	2	2	5	0	1	2					
14	Число неиспользованных открепительных удостоверений	245	4	22	17	24	15	14	10	8	2	14	4	9	11	9	6	7	5	5	0	12	0	5	6	9	11	6	2	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	5	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1					
		0.04%	0.00%	0.00%	0.17%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.41%					
19	. Малышкин Олег Александрович	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.25%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
