Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Белохолуницкая																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74					
1	"Число избирателей, внесенных в список"	17862	1911	1182	1677	2399	1198	730	409	408	134	405	299	462	706	74	164	135	224	95	287	365	801	363	1654	407	92	161	1120					
2	Число полученных избирательных бюллетеней	16290	1800	1000	1500	2300	1100	650	350	350	120	350	270	420	650	70	150	120	200	90	280	350	750	320	1500	350	100	150	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10369	955	637	877	1433	688	395	252	284	97	243	189	270	316	61	128	96	160	71	231	219	471	258	928	301	71	126	612					
5	"Число избирательных бюллетеней, выданных вне помещения"	1109	84	32	67	112	67	50	19	19	11	22	20	39	122	4	7	5	17	11	16	50	102	18	36	30	9	17	123					
6	Число погашенных избирательных бюллетеней	4812	761	331	556	755	345	205	79	47	12	85	61	111	212	5	15	19	23	8	33	81	177	44	536	19	20	7	265					
7	Число избирательных бюллетеней в переносных ящиках	1109	84	32	67	112	67	50	19	19	11	22	20	39	122	4	7	5	17	11	16	50	102	18	36	30	9	17	123					
8	Число бюллетеней в стационарных ящиках для голосования	10365	955	637	877	1429	688	395	252	284	97	243	189	270	316	61	128	96	160	71	231	219	471	258	928	301	71	126	612					
9	Число недействительных избирательных бюллетеней	64	6	9	0	3	2	2	2	3	2	1	0	1	2	0	1	0	2	0	0	0	4	3	12	4	0	0	5					
10	Число действительных избирательных бюллетеней	11410	1033	660	944	1538	753	443	269	300	106	264	209	308	436	65	134	101	175	82	247	269	569	273	952	327	80	143	730					
11	Число полученных открепительных  удостоверений	187	8	5	15	15	5	5	5	5	5	5	15	5	5	3	5	5	13	3	10	8	5	5	9	5	5	5	8					
12	Число выданных открепительных удостоверений	125	8	1	9	7	2	1	3	4	5	5	11	3	5	1	5	5	13	0	7	8	5	2	9	0	1	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	1	1	6	11	3	1	1	2	2	1	1	3	1	1	3	2	3	0	2	0	1	0	2	0	0	1	0					
14	Число неиспользованных открепительных удостоверений	62	0	4	6	8	3	4	2	1	0	0	4	2	0	2	0	0	0	3	3	0	0	3	0	5	4	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	519	62	29	54	99	58	27	6	11	4	13	11	11	8	1	5	2	8	0	9	1	10	9	52	10	2	3	14					
		4.52%	5.97%	4.33%	5.72%	6.42%	7.68%	6.07%	2.21%	3.63%	3.70%	4.91%	5.26%	3.56%	1.83%	1.54%	3.70%	1.98%	4.52%	0.00%	3.64%	0.37%	1.75%	3.26%	5.39%	3.02%	2.50%	2.10%	1.90%					
19	. Малышкин Олег Александрович	361	46	24	44	33	25	11	9	10	5	8	5	8	10	2	6	7	5	5	10	3	21	11	35	5	3	2	8					
		3.15%	4.43%	3.59%	4.66%	2.14%	3.31%	2.47%	3.32%	3.30%	4.63%	3.02%	2.39%	2.59%	2.28%	3.08%	4.44%	6.93%	2.82%	6.10%	4.05%	1.12%	3.66%	3.99%	3.63%	1.51%	3.75%	1.40%	1.09%					
20	. Миронов Сергей Михайлович	109	13	9	9	13	8	5	2	1	1	5	3	2	1	0	2	0	1	0	4	2	2	2	11	1	4	1	7					
		0.95%	1.25%	1.35%	0.95%	0.84%	1.06%	1.12%	0.74%	0.33%	0.93%	1.89%	1.44%	0.65%	0.23%	0.00%	1.48%	0.00%	0.56%	0.00%	1.62%	0.74%	0.35%	0.72%	1.14%	0.30%	5.00%	0.70%	0.95%					
21	. Путин Владимир Владимирович	7133	646	454	564	932	424	279	180	218	72	163	135	227	323	45	85	63	120	52	162	183	341	188	471	222	52	68	464					
		62.17%	62.18%	67.86%	59.75%	60.48%	56.16%	62.70%	66.42%	71.95%	66.67%	61.51%	64.59%	73.46%	73.74%	69.23%	62.96%	62.38%	67.80%	63.41%	65.59%	68.03%	59.51%	68.12%	48.86%	67.07%	65.00%	47.55%	63.13%					
22	. Хакамада Ирина Муцуовна	245	31	7	18	49	13	9	8	1	1	5	1	7	11	0	2	8	0	2	2	6	7	0	36	4	1	2	14					
		2.14%	2.98%	1.05%	1.91%	3.18%	1.72%	2.02%	2.95%	0.33%	0.93%	1.89%	0.48%	2.27%	2.51%	0.00%	1.48%	7.92%	0.00%	2.44%	0.81%	2.23%	1.22%	0.00%	3.73%	1.21%	1.25%	1.40%	1.90%					
23	. Харитонов Николай Михайлович	2802	215	131	225	357	202	103	56	53	20	60	52	52	79	17	34	18	32	19	55	70	181	60	334	81	17	60	219					
		24.42%	20.69%	19.58%	23.83%	23.17%	26.75%	23.15%	20.66%	17.49%	18.52%	22.64%	24.88%	16.83%	18.04%	26.15%	25.19%	17.82%	18.08%	23.17%	22.27%	26.02%	31.59%	21.74%	34.65%	24.47%	21.25%	41.96%	29.80%					
																																		
24	Против всех	241	20	6	30	55	23	9	8	6	3	10	2	1	4	0	0	3	9	4	5	4	7	3	13	4	1	7	4					
		2.10%	1.92%	0.90%	3.18%	3.57%	3.05%	2.02%	2.95%	1.98%	2.78%	3.77%	0.96%	0.32%	0.91%	0.00%	0.00%	2.97%	5.08%	4.88%	2.02%	1.49%	1.22%	1.09%	1.35%	1.21%	1.25%	4.90%	0.54%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
