Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Старошайговская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623					
		0.03%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11830	457	89	296	131	143	213	135	212	69	231	57	518	308	802	107	135	445	141	148	388	389	80	169	2148	1936	85	719	389	105	251	290	244					
		99.05%	99.13%	100.00%	99.33%	93.57%	100.00%	99.07%	99.26%	96.80%	98.57%	99.14%	100.00%	99.42%	99.35%	99.13%	100.00%	100.00%	99.11%	99.30%	94.87%	99.23%	98.48%	97.56%	99.41%	99.44%	99.54%	97.70%	97.29%	99.23%	100.00%	100.00%	99.66%	99.19%					
22	. Хакамада Ирина Муцуовна	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	76	1	0	2	5	0	2	1	2	1	2	0	2	2	6	0	0	1	1	3	2	6	1	0	12	9	1	8	3	0	0	1	2					
		0.64%	0.22%	0.00%	0.67%	3.57%	0.00%	0.93%	0.74%	0.91%	1.43%	0.86%	0.00%	0.38%	0.65%	0.74%	0.00%	0.00%	0.22%	0.70%	1.92%	0.51%	1.52%	1.22%	0.00%	0.56%	0.46%	1.15%	1.08%	0.77%	0.00%	0.00%	0.34%	0.81%					
																																							
24	Против всех	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.05%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
