Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Целинская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №2580					
1	"Число избирателей, внесенных в список"	27566	1475	400	231	2881	1975	1815	2220	744	366	1562	411	244	836	683	763	1023	488	954	209	954	1135	1083	768	997	286	395	2400	268					
2	Число полученных избирательных бюллетеней	27614	1532	402	225	2846	1973	1842	2236	747	373	1562	410	241	859	691	767	1019	488	953	209	952	1137	1079	770	970	286	398	2379	268					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23040	1116	322	175	2644	1780	1726	1605	640	325	1235	259	163	743	633	678	607	185	900	199	848	941	946	628	737	233	320	2233	219					
5	"Число избирательных бюллетеней, выданных вне помещения"	2846	129	36	28	28	52	31	544	47	26	292	140	65	19	22	30	374	290	34	5	54	111	61	93	174	35	34	52	40					
6	Число погашенных избирательных бюллетеней	1728	287	44	22	174	141	85	87	60	22	35	11	13	97	36	59	38	13	19	5	50	85	72	49	59	18	44	94	9					
7	Число избирательных бюллетеней в переносных ящиках	2846	129	36	28	28	52	31	544	47	26	292	140	65	19	22	30	374	290	34	5	54	111	61	93	174	35	34	52	40					
8	Число бюллетеней в стационарных ящиках для голосования	23010	1116	322	175	2644	1780	1726	1605	640	325	1235	259	163	743	633	678	577	185	900	199	848	941	946	628	737	233	320	2233	219					
9	Число недействительных избирательных бюллетеней	38	4	0	2	0	0	6	9	5	0	0	0	0	0	0	0	7	0	0	0	0	1	0	3	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	25818	1241	358	201	2672	1832	1751	2140	682	351	1527	399	228	762	655	708	944	475	934	204	902	1051	1007	718	911	267	354	2285	259					
11	Число полученных открепительных  удостоверений	490	10	10	10	50	50	50	50	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	60	10					
12	Число выданных открепительных удостоверений	65	2	0	0	6	5	13	15	0	0	3	0	0	1	0	0	0	0	6	0	1	1	2	2	5	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	2	0	1	7	5	2	2	1	0	0	1	0	3	1	3	4	0	1	0	0	2	0	0	4	0	1	3	0					
14	Число неиспользованных открепительных удостоверений	425	8	10	10	44	45	37	35	10	10	7	10	10	9	10	10	10	10	4	10	9	9	8	8	5	10	7	60	10					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	132	19	0	2	20	3	45	4	2	2	2	1	0	2	2	5	0	5	5	1	0	2	1	3	0	0	0	5	1					
		0.51%	1.53%	0.00%	0.99%	0.75%	0.16%	2.56%	0.19%	0.29%	0.57%	0.13%	0.25%	0.00%	0.26%	0.31%	0.71%	0.00%	1.05%	0.54%	0.49%	0.00%	0.19%	0.10%	0.42%	0.00%	0.00%	0.00%	0.22%	0.39%					
19	. Малышкин Олег Александрович	73	20	1	4	13	2	2	3	3	2	1	1	0	2	2	6	0	2	0	0	0	2	0	2	0	0	0	3	2					
