Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Юрьевецкая																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854					
1	"Число избирателей, внесенных в список"	15177	2200	743	785	834	821	1721	1690	1751	271	237	741	160	601	145	471	315	130	255	132	361	162	395	256					
2	Число полученных избирательных бюллетеней	14303	2062	685	713	744	741	1559	1636	1598	243	231	703	178	600	168	464	300	161	264	149	329	177	370	228					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7258	989	372	358	385	427	703	725	894	132	146	349	78	320	66	226	180	70	151	66	192	82	213	134					
5	"Число избирательных бюллетеней, выданных вне помещения"	1446	119	35	42	62	30	107	188	94	38	21	129	46	114	37	94	36	33	48	28	46	28	29	42					
6	Число погашенных избирательных бюллетеней	5599	954	278	313	297	284	749	723	610	73	64	225	54	166	65	144	84	58	65	55	91	67	128	52					
7	Число избирательных бюллетеней в переносных ящиках	1446	119	35	42	62	30	107	188	94	38	21	129	46	114	37	94	36	33	48	28	46	28	29	42					
8	Число бюллетеней в стационарных ящиках для голосования	7258	989	372	358	385	427	703	725	894	132	146	349	78	320	66	226	180	70	151	66	192	82	213	134					
9	Число недействительных избирательных бюллетеней	53	10	7	5	3	0	12	4	0	0	1	2	1	3	0	0	0	1	0	0	3	0	0	1					
10	Число действительных избирательных бюллетеней	8651	1098	400	395	444	457	798	909	988	170	166	476	123	431	103	320	216	102	199	94	235	110	242	175					
11	Число полученных открепительных  удостоверений	242	26	5	8	5	10	12	15	20	1	12	20	10	7	15	10	5	5	20	7	5	5	7	12					
12	Число выданных открепительных удостоверений	140	22	0	8	2	5	4	7	16	0	12	10	7	3	0	10	0	3	15	1	3	3	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	9	2	6	2	2	5	3	13	2	0	1	0	5	1	1	2	1	3	0	1	5	1	4					
14	Число неиспользованных открепительных удостоверений	102	4	5	0	3	5	8	8	4	1	0	10	3	4	15	0	5	2	5	6	2	2	4	6					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	1	1	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	301	32	16	19	11	20	38	35	41	5	1	24	4	9	2	8	6	3	6	1	8	1	6	5					
		3.46%	2.89%	3.93%	4.75%	2.46%	4.38%	4.69%	3.83%	4.15%	2.94%	0.60%	5.02%	3.23%	2.07%	1.94%	2.50%	2.78%	2.91%	3.02%	1.06%	3.36%	0.91%	2.48%	2.84%					
19	. Малышкин Олег Александрович	307	35	11	5	12	16	26	35	28	12	8	31	4	20	6	5	8	10	9	3	7	3	6	7					
		3.53%	3.16%	2.70%	1.25%	2.68%	3.50%	3.21%	3.83%	2.83%	7.06%	4.79%	6.49%	3.23%	4.61%	5.83%	1.56%	3.70%	9.71%	4.52%	3.19%	2.94%	2.73%	2.48%	3.98%					
20	. Миронов Сергей Михайлович	98	6	2	8	4	6	10	13	13	1	0	5	0	4	0	1	4	2	6	1	1	5	4	2					
		1.13%	0.54%	0.49%	2.00%	0.89%	1.31%	1.23%	1.42%	1.32%	0.59%	0.00%	1.05%	0.00%	0.92%	0.00%	0.31%	1.85%	1.94%	3.02%	1.06%	0.42%	4.55%	1.65%	1.14%					
21	. Путин Владимир Владимирович	5811	718	273	281	312	280	534	605	634	93	141	320	93	310	76	193	142	75	139	69	189	70	132	132					
		66.76%	64.80%	67.08%	70.25%	69.80%	61.27%	65.93%	66.27%	64.17%	54.71%	84.43%	66.95%	75.00%	71.43%	73.79%	60.31%	65.74%	72.82%	69.85%	73.40%	79.41%	63.64%	54.55%	75.00%					
22	. Хакамада Ирина Муцуовна	164	20	11	14	14	13	22	18	24	2	3	1	0	3	3	2	5	0	2	1	2	1	2	1					
		1.88%	1.81%	2.70%	3.50%	3.13%	2.84%	2.72%	1.97%	2.43%	1.18%	1.80%	0.21%	0.00%	0.69%	2.91%	0.62%	2.31%	0.00%	1.01%	1.06%	0.84%	0.91%	0.83%	0.57%					
23	. Харитонов Николай Михайлович	1745	258	76	65	83	109	153	181	222	47	10	82	19	72	11	99	46	8	35	18	21	27	78	25					
		20.05%	23.29%	18.67%	16.25%	18.57%	23.85%	18.89%	19.82%	22.47%	27.65%	5.99%	17.15%	15.32%	16.59%	10.68%	30.94%	21.30%	7.77%	17.59%	19.15%	8.82%	24.55%	32.23%	14.20%					
																														
24	Против всех	225	29	11	3	8	13	15	22	26	10	3	13	3	13	5	12	5	4	2	1	7	3	14	3					
