Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Солнечногорская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773					
1	"Число избирателей, внесенных в список"	105086	2168	2033	1803	1684	1923	1902	2092	2202	2816	2722	2022	1419	2114	2245	767	1216	1488	2275	336	1353	444	398	442	1550	1785	262	668	386	772	297	870	527	313	2457	2035	2777	2885	849	673	649	658	1942	2555	2362	1205	2100	248	961	868	2751	1208	694	2166	2387	1200	1015	860	1716	1427	1975	1613	2266	2642	3039	2781	607	1409	842	1970					
2	Число полученных избирательных бюллетеней	98480	2000	1850	1650	1550	1750	1750	1950	2050	2550	2650	1850	1350	1950	2050	700	1150	1350	2100	330	1500	400	370	420	1480	1650	240	650	350	730	280	800	480	300	2240	1850	2550	2750	820	650	600	600	1800	2350	2150	1150	1950	230	1250	740	2550	1150	660	1950	2200	1150	950	800	1550	1300	1800	1450	2100	2550	2900	2750	610	1350	870	1930					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	58196	1133	1093	913	948	1059	1090	1109	1217	1496	1277	1065	765	1128	1137	355	573	712	1238	203	787	148	170	212	1085	1053	100	340	175	477	187	614	322	186	1309	1042	1464	1255	501	367	296	423	1048	1458	1315	707	1260	152	728	567	1653	537	448	1120	1193	661	547	456	850	790	933	914	1329	1719	1763	1811	444	912	627	1230					
5	"Число избирательных бюллетеней, выданных вне помещения"	3113	26	26	9	9	19	20	29	32	29	52	23	22	29	43	37	24	38	19	21	193	97	45	49	27	23	41	61	80	67	15	73	2	73	79	11	14	143	6	49	160	94	36	42	24	25	58	20	72	130	41	87	28	32	39	75	55	44	78	33	57	16	23	78	70	24	4	2	0	11					
6	Число погашенных избирательных бюллетеней	37169	841	731	728	593	672	640	812	799	1025	1321	762	563	793	870	308	553	600	843	106	520	155	155	159	368	574	99	249	95	186	78	113	156	41	852	797	1072	1352	313	234	144	83	716	850	811	418	632	58	450	43	856	526	184	798	968	414	348	300	622	477	810	520	748	753	1067	915	162	436	243	689					
7	Число избирательных бюллетеней в переносных ящиках	3113	26	26	9	9	19	20	29	32	29	52	23	22	29	43	37	24	38	19	21	193	97	45	49	27	23	41	61	80	67	15	73	2	73	79	11	14	143	6	49	160	94	36	42	24	25	58	20	72	130	41	87	28	32	39	75	55	44	78	33	57	16	23	78	70	24	4	2	0	11					
8	Число бюллетеней в стационарных ящиках для голосования	58115	1133	1093	913	945	1059	1090	1104	1217	1496	1277	1065	765	1128	1136	355	573	712	1238	203	787	148	170	212	1085	1053	100	340	175	477	187	614	322	186	1309	1039	1464	1255	500	364	296	423	1047	1452	1294	706	1259	152	728	567	1640	537	448	1120	1191	659	547	456	850	790	933	914	1329	1701	1763	1811	444	912	627	1230					
9	Число недействительных избирательных бюллетеней	605	11	13	8	8	4	7	15	11	9	5	6	9	11	6	7	9	6	12	2	13	5	3	5	9	8	2	5	3	7	2	8	5	10	17	5	10	12	4	5	0	4	12	6	14	5	9	3	14	10	29	14	4	18	16	15	3	5	13	12	15	11	16	12	12	7	3	10	5	11					
10	Число действительных избирательных бюллетеней	60623	1148	1106	914	946	1074	1103	1118	1238	1516	1324	1082	778	1146	1173	385	588	744	1245	222	967	240	212	256	1103	1068	139	396	252	537	200	679	319	249	1371	1045	1468	1386	502	408	456	513	1071	1488	1304	726	1308	169	786	687	1652	610	472	1134	1214	719	599	495	915	811	975	919	1336	1767	1821	1828	445	904	622	1230					
