Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Первомайская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338					
1	"Число избирателей, внесенных в список"	20159	172	656	334	560	211	532	194	561	380	192	170	833	69	91	91	84	701	201	213	100	181	733	136	334	834	648	2163	839	1648	1458	329	239	154	125	169	87	264	325	79	596	408	454	280	715	616					
2	Число полученных избирательных бюллетеней	19414	174	640	332	550	213	520	193	550	360	188	171	780	72	96	93	85	660	201	213	102	182	700	136	330	760	630	2000	800	1500	1450	320	240	156	128	169	90	260	320	81	569	390	430	280	700	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13555	133	418	252	370	184	451	186	358	208	128	141	663	67	91	91	84	536	141	164	88	145	472	111	261	510	396	1112	550	890	771	259	173	117	103	154	77	224	258	71	480	322	316	164	414	451					
5	"Число избирательных бюллетеней, выданных вне помещения"	987	5	25	17	54	7	16	0	34	86	27	0	10	0	0	0	0	15	15	6	5	5	45	5	10	71	79	46	7	52	80	0	2	0	0	0	0	0	0	0	11	0	35	53	113	51					
6	Число погашенных избирательных бюллетеней	4872	36	197	63	126	22	53	7	158	66	33	30	107	5	5	2	1	109	45	43	9	32	183	20	59	179	155	842	243	558	599	61	65	39	25	15	13	36	62	10	78	68	79	63	173	98					
7	Число избирательных бюллетеней в переносных ящиках	987	5	25	17	54	7	16	0	34	86	27	0	10	0	0	0	0	15	15	6	5	5	45	5	10	71	79	46	7	52	80	0	2	0	0	0	0	0	0	0	11	0	35	53	113	51					
8	Число бюллетеней в стационарных ящиках для голосования	13555	133	418	252	370	184	451	186	358	208	128	141	663	67	91	91	84	536	141	164	88	145	472	111	261	510	396	1112	550	890	771	259	173	117	103	154	77	224	258	71	480	322	316	164	414	451					
9	Число недействительных избирательных бюллетеней	154	4	2	5	9	2	4	1	4	1	0	1	11	1	0	8	1	7	1	0	2	0	7	0	2	8	3	9	2	7	19	5	2	0	2	1	0	0	1	0	3	4	1	7	4	3					
10	Число действительных избирательных бюллетеней	14388	134	441	264	415	189	463	185	388	293	155	140	662	66	91	83	83	544	155	170	91	150	510	116	269	573	472	1149	555	935	832	254	173	117	101	153	77	224	257	71	488	318	350	210	523	499					
11	Число полученных открепительных  удостоверений	397	5	5	3	5	3	10	3	10	5	3	4	10	3	3	3	3	10	3	3	4	4	10	4	5	8	7	50	50	50	30	5	5	5	5	3	3	5	5	3	10	5	5	3	10	9					
