Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Центральная №16																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766					
1	"Число избирателей, внесенных в список"	97883	1355	1820	2256	2194	2200	1799	1981	1869	1721	1983	1820	1068	1446	1720	1895	1721	2087	1882	1931	1805	1444	1793	1731	1857	1499	1777	1509	1431	1710	1692	1980	1813	2205	1789	1983	2091	2146	1967	2122	1799	2418	2390	1794	2522	2362	2588	1664	1920	2278	2022	2612	422					
2	Число полученных избирательных бюллетеней	91830	1200	1400	1900	2000	2100	1700	1800	2100	1600	1700	1700	1100	1900	1600	1800	1700	2000	1800	1700	1700	1300	1700	1500	1700	1400	1600	1400	1300	1600	1600	1800	1700	2000	1700	1800	2000	1900	1800	2000	1700	2300	2300	1700	2400	2300	2600	1600	1800	2000	1900	2500	430					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	53133	805	1214	1311	1042	1177	964	1033	1188	887	1069	894	617	976	952	1044	923	1107	990	1100	927	831	992	868	1027	879	961	791	786	967	969	1105	1011	1172	913	1057	1073	1223	1104	1090	993	1272	1236	895	1324	1158	1472	808	914	1220	1043	1339	420					
5	"Число избирательных бюллетеней, выданных вне помещения"	1517	39	17	25	68	44	18	105	35	25	28	14	25	24	24	22	24	27	26	29	34	23	16	63	16	18	23	25	21	18	28	34	28	37	32	18	19	29	29	46	39	38	21	14	31	35	32	33	20	42	22	14	0					
6	Число погашенных избирательных бюллетеней	37180	356	169	564	890	879	718	662	877	688	603	792	458	900	624	734	753	866	784	571	739	446	692	569	657	503	616	584	493	615	603	661	661	791	755	725	908	648	667	864	668	990	1043	791	1045	1107	1096	759	866	738	835	1147	10					
7	Число избирательных бюллетеней в переносных ящиках	1517	39	17	25	68	44	18	105	35	25	28	14	25	24	24	22	24	27	26	29	34	23	16	63	16	18	23	25	21	18	28	34	28	37	32	18	19	29	29	46	39	38	21	14	31	35	32	33	20	42	22	14	0					
8	Число бюллетеней в стационарных ящиках для голосования	52995	803	1210	1311	1042	1149	964	1033	1186	887	1067	892	617	976	952	1039	923	1105	990	1100	925	828	992	867	1026	871	961	789	784	961	967	1101	1011	1171	912	1051	1073	1223	1083	1089	990	1270	1230	894	1319	1158	1462	807	914	1220	1041	1339	420					
9	Число недействительных избирательных бюллетеней	251	0	4	4	9	6	0	4	2	8	5	2	6	0	4	5	5	6	1	6	1	3	5	6	3	3	7	2	3	3	6	9	6	6	7	8	4	10	1	7	2	9	13	6	6	8	3	1	4	4	5	12	1					
10	Число действительных избирательных бюллетеней	54261	842	1223	1332	1101	1187	982	1134	1219	904	1090	904	636	1000	972	1056	942	1126	1015	1123	958	848	1003	924	1039	886	977	812	802	976	989	1126	1033	1202	937	1061	1088	1242	1111	1128	1027	1299	1238	902	1344	1185	1491	839	930	1258	1058	1341	419					
