Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    Беринговская											
											
Итоги голосования 											
											
		Сумма	УИК №19	УИК №20	УИК №21	УИК №22					
1	"Число избирателей, внесенных в список"	1965	1235	204	272	254					
2	Число полученных избирательных бюллетеней	1990	1187	254	295	254					
3	"Число избирательных бюллетеней, выданных  досрочно"	8	0	3	0	5					
4	"Число избирательных бюллетеней, выданных в день голосования"	1750	1069	189	249	243					
5	"Число избирательных бюллетеней, выданных вне помещения"	84	45	12	21	6					
6	Число погашенных избирательных бюллетеней	148	73	50	25	0					
7	Число избирательных бюллетеней в переносных ящиках	92	45	15	21	11					
8	Число бюллетеней в стационарных ящиках для голосования	1750	1069	189	249	243					
9	Число недействительных избирательных бюллетеней	6	2	2	0	2					
10	Число действительных избирательных бюллетеней	1836	1112	202	270	252					
11	Число полученных открепительных  удостоверений	100	40	20	20	20					
12	Число выданных открепительных удостоверений	24	7	5	9	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	9	2	0	5					
14	Число неиспользованных открепительных удостоверений	76	33	15	11	17					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	34	33	0	1	0					
		1.85%	2.96%	0.00%	0.37%	0.00%					
19	. Малышкин Олег Александрович	29	24	2	3	0					
		1.57%	2.15%	0.98%	1.11%	0.00%					
20	. Миронов Сергей Михайлович	11	10	0	0	1					
		0.60%	0.90%	0.00%	0.00%	0.39%					
21	. Путин Владимир Владимирович	1704	1004	190	261	249					
		92.51%	90.13%	93.14%	96.67%	98.03%					
22	. Хакамада Ирина Муцуовна	27	15	9	2	1					
		1.47%	1.35%	4.41%	0.74%	0.39%					
23	. Харитонов Николай Михайлович	24	22	0	2	0					
		1.30%	1.97%	0.00%	0.74%	0.00%					
											
24	Против всех	7	4	1	1	1					
		0.38%	0.36%	0.49%	0.37%	0.39%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
