Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Верхотурская 																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331					
1	"Число избирателей, внесенных в список"	12828	395	1772	1681	1862	620	240	1140	881	1030	90	453	340	170	574	397	436	388	158	201					
2	Число полученных избирательных бюллетеней	12400	400	1600	1600	1800	550	250	1100	850	1000	100	450	350	150	550	400	450	400	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6067	240	711	807	842	274	111	593	471	444	71	183	110	109	299	165	216	161	108	152					
5	"Число избирательных бюллетеней, выданных вне помещения"	898	5	116	50	31	39	14	28	25	82	7	120	122	11	19	82	25	91	20	11					
6	Число погашенных избирательных бюллетеней	5435	155	773	743	927	237	125	479	354	474	22	147	118	30	232	153	209	148	72	37					
7	Число избирательных бюллетеней в переносных ящиках	898	5	116	50	31	39	14	28	25	82	7	120	122	11	19	82	25	91	20	11					
8	Число бюллетеней в стационарных ящиках для голосования	6067	240	711	807	842	274	111	593	471	444	71	183	110	109	299	165	216	161	108	152					
9	Число недействительных избирательных бюллетеней	72	0	11	6	8	3	1	6	10	11	0	6	0	0	2	2	5	0	0	1					
10	Число действительных избирательных бюллетеней	6893	245	816	851	865	310	124	615	486	515	78	297	232	120	316	245	236	252	128	162					
11	Число полученных открепительных  удостоверений	290	15	25	25	25	10	10	25	20	15	10	15	15	10	10	15	10	15	10	10					
12	Число выданных открепительных удостоверений	65	2	3	9	9	1	0	1	7	12	0	5	1	0	2	7	2	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	0	10	7	6	2	0	3	3	4	0	1	0	2	1	0	1	2	0	2					
14	Число неиспользованных открепительных удостоверений	225	13	22	16	16	9	10	24	13	3	10	10	14	10	8	8	8	11	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	168	6	26	29	19	9	1	14	9	12	1	12	4	1	7	4	5	9	0	0					
		2.41%	2.45%	3.14%	3.38%	2.18%	2.88%	0.80%	2.25%	1.81%	2.28%	1.28%	3.96%	1.72%	0.83%	2.20%	1.62%	2.07%	3.57%	0.00%	0.00%					
19	. Малышкин Олег Александрович	159	7	22	17	15	5	5	25	9	11	5	7	5	2	7	4	5	2	4	2					
		2.28%	2.86%	2.66%	1.98%	1.72%	1.60%	4.00%	4.03%	1.81%	2.09%	6.41%	2.31%	2.16%	1.67%	2.20%	1.62%	2.07%	0.79%	3.12%	1.23%					
20	. Миронов Сергей Михайлович	52	0	6	6	12	2	0	2	6	3	2	5	1	0	0	2	2	2	1	0					
		0.75%	0.00%	0.73%	0.70%	1.37%	0.64%	0.00%	0.32%	1.21%	0.57%	2.56%	1.65%	0.43%	0.00%	0.00%	0.81%	0.83%	0.79%	0.78%	0.00%					
21	. Путин Владимир Владимирович	5757	205	654	698	691	246	101	529	417	443	58	241	210	112	271	213	203	208	110	147					
		82.66%	83.67%	79.08%	81.45%	79.15%	78.59%	80.80%	85.19%	84.07%	84.22%	74.36%	79.54%	90.52%	93.33%	85.22%	86.23%	84.23%	82.54%	85.94%	90.18%					
22	. Хакамада Ирина Муцуовна	132	10	23	13	19	3	8	11	8	7	1	9	2	2	5	3	1	2	1	4					
		1.90%	4.08%	2.78%	1.52%	2.18%	0.96%	6.40%	1.77%	1.61%	1.33%	1.28%	2.97%	0.86%	1.67%	1.57%	1.21%	0.41%	0.79%	0.78%	2.45%					
23	. Харитонов Николай Михайлович	518	12	70	72	89	41	8	30	28	29	7	18	7	3	23	18	19	24	12	8					
		7.44%	4.90%	8.46%	8.40%	10.19%	13.10%	6.40%	4.83%	5.65%	5.51%	8.97%	5.94%	3.02%	2.50%	7.23%	7.29%	7.88%	9.52%	9.38%	4.91%					
																										
24	Против всех	107	5	15	16	20	4	1	4	9	10	4	5	3	0	3	1	1	5	0	1					
		1.54%	2.04%	1.81%	1.87%	2.29%	1.28%	0.80%	0.64%	1.81%	1.90%	5.13%	1.65%	1.29%	0.00%	0.94%	0.40%	0.41%	1.98%	0.00%	0.61%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
