Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Калачеевская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645					
1	"Число избирателей, внесенных в список избирателей"	46054	2442	1752	2404	1697	2346	2455	1596	2186	336	123	2610	1508	1460	1533	820	489	566	331	118	1605	1661	233	232	508	318	351	99	1683	1363	434	1095	773	1328	656	1473	457	66	560	1788	296	413	678	589	365	258					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47110	2465	1755	2449	1565	2415	2490	1600	2225	345	121	2675	1555	1495	1580	860	495	566	336	121	1715	1665	251	241	524	335	360	105	1730	1435	466	1120	788	1405	694	1520	466	72	573	1850	317	395	702	627	386	255					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	31134	1755	905	1287	895	1741	2146	1173	928	178	55	2206	1336	1110	1269	457	371	389	256	99	1352	1276	126	129	248	218	186	45	964	1286	318	463	349	836	428	751	205	39	385	1167	162	231	523	482	250	159					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5504	203	139	172	183	173	195	129	216	59	23	110	118	119	135	273	26	78	50	14	189	243	40	36	132	50	62	32	121	34	22	216	141	294	172	204	50	8	71	455	81	93	125	89	81	48					
6	Число погашенных избирательных бюллетеней	10472	507	711	990	487	501	149	298	1081	108	43	359	101	266	176	130	98	99	30	8	174	146	85	76	144	67	112	28	645	115	126	441	298	275	94	565	211	25	117	228	74	71	54	56	55	48					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5504	203	139	172	183	173	195	129	216	59	23	110	118	119	135	273	26	78	50	14	189	243	40	36	132	50	62	32	121	34	22	216	141	294	172	204	50	8	71	455	81	93	125	89	81	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31117	1755	904	1283	895	1740	2146	1173	926	178	55	2200	1336	1110	1269	457	371	389	256	99	1352	1276	126	129	248	218	186	45	961	1286	318	463	349	836	428	751	205	39	385	1167	162	231	523	482	250	159					
9	Число недействительных избирательных бюллетеней	279	12	3	25	24	26	8	0	7	5	4	2	5	3	2	10	3	2	5	1	0	14	1	0	5	1	3	0	23	0	2	9	2	10	10	12	2	0	6	0	3	0	8	13	3	5					
10	Число действительных избирательных бюллетеней	36342	1946	1040	1430	1054	1887	2333	1302	1135	232	74	2308	1449	1226	1402	720	394	465	301	112	1541	1505	165	165	375	267	245	77	1059	1320	338	670	488	1120	590	943	253	47	450	1622	240	324	640	558	328	202					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	909	34	20	38	10	48	21	15	20	12	1	36	20	20	22	25	5	4	5	2	85	10	18	13	5	20	10	3	21	50	21	11	11	43	34	35	11	5	8	40	20	12	15	30	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	909	34	20	38	10	48	21	15	20	12	1	36	20	20	22	25	5	4	5	2	85	10	18	13	5	20	10	3	21	50	21	11	11	43	34	35	11	5	8	40	20	12	15	30	15	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	296	30	17	13	10	8	9	19	5	3	3	17	3	7	6	3	2	4	6	3	9	7	3	3	1	4	1	0	7	9	3	5	2	4	4	4	4	4	5	3	4	31	2	5	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	1	1	0	1	5	2	4	1	0	0	5	2	0	2	5	0	0	0	0	2	1	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5306	262	201	323	212	233	282	214	220	38	10	288	187	167	192	73	42	70	59	17	138	224	28	32	53	28	20	8	205	172	72	118	119	118	61	154	68	5	59	220	14	33	87	97	50	33					
