Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Кочубеевская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645					
1	"Число избирателей, внесенных в список"	55720	2400	2172	1979	2639	1959	2162	1708	1650	1193	1754	2500	2671	1066	1141	327	2436	2081	213	554	321	292	806	135	215	1062	1116	1443	1825	1118	516	217	1524	1580	846	522	355	360	191	402	145	277	454	864	439	236	1560	656	2000	617	1021					
2	Число полученных избирательных бюллетеней	59018	2552	2361	2084	2694	2066	2279	1816	1737	1252	1810	2539	2743	1244	1242	351	2547	2229	219	571	341	304	846	135	237	1174	1170	1636	1947	1193	605	265	1469	1575	1000	458	394	411	233	449	175	343	505	968	483	265	1633	664	2102	636	1066					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31791	1290	1302	1145	1429	1191	1347	1111	944	529	827	1237	1352	723	559	181	1295	1110	155	380	269	204	592	119	153	603	470	802	973	667	192	132	808	950	492	251	266	294	134	283	91	185	336	498	264	147	916	457	1175	378	583					
5	"Число избирательных бюллетеней, выданных вне помещения"	3494	160	102	69	165	73	87	75	69	136	168	70	43	54	148	17	68	93	22	23	27	21	38	0	17	71	185	224	75	46	137	22	97	46	43	135	24	14	0	26	4	22	16	83	70	44	43	109	93	54	66					
6	Число погашенных избирательных бюллетеней	23733	1102	957	870	1100	802	845	630	724	587	815	1232	1348	467	535	153	1184	1026	42	168	45	79	216	16	67	500	515	610	899	480	276	111	564	579	465	72	104	103	99	140	80	136	153	387	149	74	674	98	834	204	417					
7	Число избирательных бюллетеней в переносных ящиках	3494	160	102	69	165	73	87	75	69	136	168	70	43	54	148	17	68	93	22	23	27	21	38	0	17	71	185	224	75	46	137	22	97	46	43	135	24	14	0	26	4	22	16	83	70	44	43	109	93	54	66					
8	Число бюллетеней в стационарных ящиках для голосования	31769	1290	1293	1141	1425	1190	1347	1111	941	529	827	1237	1352	723	559	181	1294	1110	155	380	269	204	592	119	153	603	470	802	973	667	192	132	808	950	492	251	266	294	134	283	91	185	336	498	264	147	916	457	1175	378	583					
9	Число недействительных избирательных бюллетеней	225	4	4	7	12	3	8	6	3	2	10	12	14	3	1	0	3	12	0	1	0	4	3	0	1	1	7	6	10	11	3	1	2	9	8	1	6	1	0	3	1	0	3	11	4	1	9	2	6	4	2					
10	Число действительных избирательных бюллетеней	35038	1446	1391	1203	1578	1260	1426	1180	1007	663	985	1295	1381	774	706	198	1359	1191	177	402	296	221	627	119	169	673	648	1020	1038	702	326	153	903	987	527	385	284	307	134	306	94	207	349	570	330	190	950	564	1262	428	647					
11	Число полученных открепительных  удостоверений	445	10	5	10	15	35	20	10	10	10	10	10	10	30	5	5	10	10	5	5	5	5	10	5	5	10	5	10	10	10	5	5	10	10	10	5	5	10	5	5	5	5	5	5	5	5	10	5	20	5	5					
12	Число выданных открепительных удостоверений	297	10	5	9	14	35	19	10	10	0	4	5	9	13	3	0	4	6	4	5	0	0	7	3	2	6	4	7	3	5	0	0	10	5	8	2	2	10	0	3	0	0	5	5	2	0	10	5	18	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	151	3	0	1	12	3	3	2	5	2	1	1	2	12	6	3	2	5	2	5	1	0	2	1	0	0	1	3	2	0	2	1	5	5	2	25	3	0	0	3	1	1	2	0	1	0	6	1	6	5	2					
14	Число неиспользованных открепительных удостоверений	148	0	0	1	1	0	1	0	0	10	6	5	1	17	2	5	6	4	1	0	5	5	3	2	3	4	1	3	7	5	5	5	0	5	2	3	3	0	5	2	5	5	0	0	3	5	0	0	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	52	0	0	2	2	1	5	0	0	1	0	1	2	0	0	0	3	3	0	0	0	0	2	0	0	0	0	1	4	0	0	0	4	4	1	1	0	0	2	0	0	0	0	7	1	0	1	1	0	1	2					
