Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Ивнянская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598					
1	"Число избирателей, внесенных в список"	18541	289	629	1190	722	429	748	522	2920	1382	1402	531	166	642	1101	826	555	120	503	403	924	700	408	450	413	566					
2	Число полученных избирательных бюллетеней	18526	290	630	1190	720	430	740	520	2970	1340	1410	530	166	645	1120	820	555	120	500	400	900	700	415	445	410	560					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13571	168	530	757	510	312	598	259	2487	1008	1067	444	131	495	779	672	339	100	386	289	485	368	319	312	361	395					
5	"Число избирательных бюллетеней, выданных вне помещения"	3404	116	75	299	156	97	85	211	226	237	179	41	21	106	231	89	175	9	97	90	250	267	62	124	16	145					
6	Число погашенных избирательных бюллетеней	1551	6	25	134	54	21	57	50	257	95	164	45	14	44	110	59	41	11	17	21	165	65	34	9	33	20					
7	Число избирательных бюллетеней в переносных ящиках	3404	116	75	299	156	97	85	211	226	237	179	41	21	106	231	89	175	9	97	90	250	267	62	124	16	145					
8	Число бюллетеней в стационарных ящиках для голосования	13571	168	530	757	510	312	598	259	2487	1008	1067	444	131	495	779	672	339	100	386	289	485	368	319	312	361	395					
9	Число недействительных избирательных бюллетеней	522	15	16	4	5	5	10	93	60	22	12	2	7	34	8	94	27	2	3	29	10	10	9	35	5	5					
10	Число действительных избирательных бюллетеней	16453	269	589	1052	661	404	673	377	2653	1223	1234	483	145	567	1002	667	487	107	480	350	725	625	372	401	372	535					
11	Число полученных открепительных  удостоверений	237	5	7	12	8	7	10	7	25	20	20	15	5	8	15	12	7	3	7	5	10	6	10	5	3	5					
12	Число выданных открепительных удостоверений	93	0	0	5	0	0	3	2	22	3	6	4	0	3	15	2	0	1	7	0	3	0	10	2	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	1	0	1	2	1	3	2	6	13	4	1	0	1	1	5	1	0	2	1	6	1	2	3	0	3					
14	Число неиспользованных открепительных удостоверений	144	5	7	7	8	7	7	5	3	17	14	11	5	5	0	10	7	2	0	5	7	6	0	3	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	402	3	10	25	28	5	15	7	82	43	21	12	0	12	31	19	10	4	10	3	23	10	5	9	9	6					
		2.37%	1.06%	1.65%	2.37%	4.20%	1.22%	2.20%	1.49%	3.02%	3.45%	1.69%	2.47%	0.00%	2.00%	3.07%	2.50%	1.95%	3.67%	2.07%	0.79%	3.13%	1.57%	1.31%	2.06%	2.39%	1.11%					
19	. Малышкин Олег Александрович	337	3	0	20	16	5	15	8	38	24	20	15	6	25	27	20	7	3	15	3	8	6	14	11	10	18					
		1.99%	1.06%	0.00%	1.89%	2.40%	1.22%	2.20%	1.70%	1.40%	1.93%	1.61%	3.09%	3.95%	4.16%	2.67%	2.63%	1.36%	2.75%	3.11%	0.79%	1.09%	0.94%	3.67%	2.52%	2.65%	3.33%					
20	. Миронов Сергей Михайлович	100	0	0	3	5	1	7	5	12	9	9	2	0	4	8	6	1	1	6	1	4	3	0	8	1	4					
		0.59%	0.00%	0.00%	0.28%	0.75%	0.24%	1.02%	1.06%	0.44%	0.72%	0.72%	0.41%	0.00%	0.67%	0.79%	0.79%	0.19%	0.92%	1.24%	0.26%	0.54%	0.47%	0.00%	1.83%	0.27%	0.74%					
21	. Путин Владимир Владимирович	11537	213	474	721	387	312	479	260	1984	858	842	321	101	375	666	486	379	65	338	296	428	532	215	194	263	348					
		67.96%	75.00%	78.35%	68.28%	58.11%	76.28%	70.13%	55.32%	73.13%	68.92%	67.58%	66.19%	66.45%	62.40%	65.94%	63.86%	73.74%	59.63%	69.98%	78.10%	58.23%	83.78%	56.43%	44.50%	69.76%	64.44%					
22	. Хакамада Ирина Муцуовна	234	6	0	17	14	3	14	3	38	19	10	11	0	15	15	1	2	2	8	3	14	14	8	10	5	2					
		1.38%	2.11%	0.00%	1.61%	2.10%	0.73%	2.05%	0.64%	1.40%	1.53%	0.80%	2.27%	0.00%	2.50%	1.49%	0.13%	0.39%	1.83%	1.66%	0.79%	1.90%	2.20%	2.10%	2.29%	1.33%	0.37%					
23	. Харитонов Николай Михайлович	3450	40	101	247	188	70	131	86	424	242	290	102	34	128	242	118	68	31	93	41	231	57	119	141	72	154					
		20.32%	14.08%	16.69%	23.39%	28.23%	17.11%	19.18%	18.30%	15.63%	19.44%	23.27%	21.03%	22.37%	21.30%	23.96%	15.51%	13.23%	28.44%	19.25%	10.82%	31.43%	8.98%	31.23%	32.34%	19.10%	28.52%					
																																
24	Против всех	393	4	4	19	23	8	12	8	75	28	42	20	4	8	13	17	20	1	10	3	17	3	11	28	12	3					
		2.32%	1.41%	0.66%	1.80%	3.45%	1.96%	1.76%	1.70%	2.76%	2.25%	3.37%	4.12%	2.63%	1.33%	1.29%	2.23%	3.89%	0.92%	2.07%	0.79%	2.31%	0.47%	2.89%	6.42%	3.18%	0.56%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
